ID	DOCULECT	GLOTTOCODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	INFERRED_CLASS	TURCHINID
40	Jaru	jaru1254	ABOVE		gaŋani	g a ŋ a n i	g a N a n i	K V N V N V	K A N A N I	ABOVE:34	34	ABOVE:KN	8
41	Jaru	jaru1254	ABOVE		gaŋanimaɹaŋo	g a ŋ a n i m a ɹ a ŋ o	g a N a n i m a r a N o	K V N V N V M V R V N V	K A N A N I M A R A N U	ABOVE:34	34	ABOVE:KN	8
43	Djiwarli	djiw1241	ABOVE		jiraɹa	j i r a ɹ a	y i r a r a	J V R V R V	J I R A R A	ABOVE:31	31	ABOVE:JR	5
44	Kalkutung	kalk1246	ABOVE		pirin̪a	p i r i n̪ a	p i r i n a	P V R V N V	P I R I N A	ABOVE:30	30	ABOVE:PR	16
45	Gamilaraay	gami1243	ABOVE		ŋguriba	ŋ g u r i b a	N g u r i b a	N K V R V P V	N K Y R I P A	ABOVE:26	26	ABOVE:NK	13
46	Karadjeri	kara1476	ABOVE		kantiŋka	k a n t i ŋ k a	k a n t i N k a	K V N T V N K V	K A N T I N K A	ABOVE:45	45	ABOVE:KN	8
49	Kartujarra	kart1247	ABOVE		katuwanacanu	k a t u w a n a c a n u	k a t u w a n a T a n u	K V T V W V N V K V N V	K A T Y W A N A C A N Y	ABOVE:55	55	ABOVE:KT	11
51	Kaurna	kaur1267	ABOVE		kara	k a r a	k a r a	K V R V	K A R A	ABOVE:18	18	ABOVE:KR	10
53	Kukatja	kuka1246	ABOVE		gaŋaɹa	g a ŋ a ɹ a	g a N a r a	K V N V R V	K A N A R A	ABOVE:34	34	ABOVE:KN	8
54	Kuku-Yalanji	kuku1273	ABOVE		waŋkaɹwaŋkaɹ	w a ŋ k a ɹ w a ŋ k a ɹ	w a N k a r w a N k a r	W V N K V R W V N K V R	W A N K A R W A N K A R	ABOVE:32	32	ABOVE:WN	22
56	Gurdjar	gurd1238	ABOVE		ŋkaːɖ	ŋ k aː ɖ	N k a d	N K V T	N K A T	ABOVE:32	32	ABOVE:NK	13
57	Gurdjar	gurd1238	ABOVE		ŋkaɖijaŋ	ŋ k a ɖ i j a ŋ	N k a d i y a N	N K V T V J V N	N K A T I J A N	ABOVE:32	32	ABOVE:NK	13
59	Kala Lagaw Ya	kala1377	ABOVE		gimal	g i m a l	g i m a l	K V M V R	K I M A L	ABOVE:57	57	ABOVE:KM	7
64	Martu Wangka	mart1256	ABOVE		kanka	k a n k a	k a n k a	K V N K V	K A N K A	ABOVE:34	34	ABOVE:KN	8
68	Mudburra	mudb1240	ABOVE		dimbu	d i m b u	d i m b u	T V M P V	T I M P Y	ABOVE:23	23	ABOVE:TM	18
70	Muruwari	muru1266	ABOVE		karanta	k a r a n t a	k a r a n t a	K V R V N T V	K A R A N T A	ABOVE:49	49	ABOVE:KR	10
72	Ngaanyatjarra	ngaa1240	ABOVE		kankaɹara	k a n k a ɹ a r a	k a n k a r a r a	K V N K V R V R V	K A N K A R A R A	ABOVE:34	34	ABOVE:KN	8
75	Ngamini	ngam1284	ABOVE		kuɹumu	k u ɹ u m u	k u r u m u	K V R V M V	K Y R Y M Y	ABOVE:24	24	ABOVE:KR	10
77	Ngarinman	ngar1235	ABOVE		dalwir	d a l w i r	d a l w i r	T V R W V R	T A L W I R	ABOVE:1	1	ABOVE:TR	19
79	Ngarluma	ngar1287	ABOVE		gankanmani	g a n k a n m a n i	g a n k a n m a n i	K V N K V N M V N V	K A N K A N M A N I	ABOVE:34	34	ABOVE:KN	8
80	Narrinyeri	narr1259	ABOVE		t̪alwulda	t̪ a l w u l d a	t a l w u l d a	T V R W V R T V	T A L W Y L T A	ABOVE:25	25	ABOVE:TR	19
85	Northern Coastal Nyangumarta	nort2754	ABOVE		kanka	k a n k a	k a n k a	K V N K V	K A N K A	ABOVE:34	34	ABOVE:KN	8
86	Nyamal	nyam1271	ABOVE		kankaɭa	k a n k a ɭ a	k a n k a L a	K V N K V R V	K A N K A L A	ABOVE:34	34	ABOVE:KN	8
87	Nyangumarta	nyan1301	ABOVE		kanka	k a n k a	k a n k a	K V N K V	K A N K A	ABOVE:34	34	ABOVE:KN	8
88	Nyunga	nyun1247	ABOVE		jeaɹeɹ	j e a ɹ e ɹ	y e a r e r	J V V R V R	J E A R E R	ABOVE:1	1	ABOVE:JR	5
91	Panytyima	pany1241	ABOVE		kankala	k a n k a l a	k a n k a l a	K V N K V R V	K A N K A L A	ABOVE:34	34	ABOVE:KN	8
92	Banggarla	bang1339	ABOVE		kakːanːaɹa	k a kː a nː a ɹ a	k a k a n a r a	K V K V N V R V	K A K A N A R A	ABOVE:34	34	ABOVE:KK	6
93	Bayungu	bayu1240	ABOVE		kankaɹa	k a n k a ɹ a	k a n k a r a	K V N K V R V	K A N K A R A	ABOVE:34	34	ABOVE:KN	8
96	Pitjantjatjara	pitj1243	ABOVE		katu	k a t u	k a t u	K V T V	K A T Y	ABOVE:55	55	ABOVE:KT	11
97	Pitta Pitta	pitt1247	ABOVE		jakiɭi_ŋalpa	j a k i ɭ i ŋ a l p a	y a k i L i N a l p a	J V K V R V N V R P V	J A K I L I N A L P A	ABOVE:40	40	ABOVE:JK	3
99	Ritarungo	rita1239	ABOVE		garwaɹ	g a r w a ɹ	g a r w a r	K V R W V R	K A R W A R	ABOVE:56	56	ABOVE:KR	10
100	Dhalandji	dhal1245	ABOVE		kankaɹa	k a n k a ɹ a	k a n k a r a	K V N K V R V	K A N K A R A	ABOVE:34	34	ABOVE:KN	8
101	Dhargari	dhar1247	ABOVE		jiraɹa	j i r a ɹ a	y i r a r a	J V R V R V	J I R A R A	ABOVE:31	31	ABOVE:JR	5
104	Wagaya	waga1260	ABOVE		jupantu	j u p a n t u	y u p a n t u	J V P V N T V	J Y P A N T Y	ABOVE:33	33	ABOVE:JP	4
105	Wagaya	waga1260	ABOVE		kinkaɭ	k i n k a ɭ	k i n k a L	K V N K V R	K I N K A L	ABOVE:33	33	ABOVE:KN	8
106	Wagaya	waga1260	ABOVE		cemantuɹu	c e m a n t u ɹ u	T e m a n t u r u	K V M V N T V R V	C E M A N T Y R Y	ABOVE:33	33	ABOVE:KM	7
112	Ngura	ngur1261	ABOVE		piʈabada	p i ʈ a b a d a	p i t a b a d a	P V T V P V T V	P I T A P A T A	ABOVE:38	38	ABOVE:PT	17
115	Warlpiri	warl1254	ABOVE		kankaɭaɳi	k a n k a ɭ a ɳ i	k a n k a L a n i	K V N K V R V N V	K A N K A L A N I	ABOVE:34	34	ABOVE:KN	8
117	Wanman	wanm1242	ABOVE		kankaɳi	k a n k a ɳ i	k a n k a n i	K V N K V N V	K A N K A N I	ABOVE:34	34	ABOVE:KN	8
118	Wariyangga	wari1262	ABOVE		jiraɹa	j i r a ɹ a	y i r a r a	J V R V R V	J I R A R A	ABOVE:1	1	ABOVE:JR	5
119	Warumungu	waru1265	ABOVE		aʈtinci	a ʈ t i n c i	a t t i n T i	V T T V N K V	A T T I N C I	ABOVE:19	19	ABOVE:HT	2
121	Wathawurrung	wath1238	ABOVE		kobaŋi	k o b a ŋ i	k o b a N i	K V P V N V	K U P A N I	ABOVE:47	47	ABOVE:KP	9
122	Wathawurrung	wath1238	ABOVE		kombaba	k o m b a b a	k o m b a b a	K V M P V P V	K U M P A P A	ABOVE:47	47	ABOVE:KM	7
124	Wik-Mungkan	wikm1247	ABOVE		woɲam	w o ɲ a m	w o H a m	W V N V M	W U N A M	ABOVE:1	1	ABOVE:WN	22
125	Wiradhuri	wira1262	ABOVE		birabaŋ	b i r a b a ŋ	b i r a b a N	P V R V P V N	P I R A P A N	ABOVE:30	30	ABOVE:PR	16
126	Wirangu-Nauo	wira1260	ABOVE		gaɖidja	g a ɖ i d j a	g a d i d y a	K V T V T J V	K A T I T J A	ABOVE:22	22	ABOVE:KT	11
131	Yan-nhangu	yann1237	ABOVE		gaɳgija	g a ɳ g i j a	g a n g i y a	K V N K V J V	K A N K I J A	ABOVE:1	1	ABOVE:KN	8
132	Yandruwandha	yand1253	ABOVE		t̪alka	t̪ a l k a	t a l k a	T V R K V	T A L K A	ABOVE:28	28	ABOVE:TR	19
133	Yandruwandha	yand1253	ABOVE		kanra	k a n r a	k a n r a	K V N R V	K A N R A	ABOVE:28	28	ABOVE:KN	8
136	Yawarawarga	yawa1258	ABOVE		datca	d a t c a	d a t T a	T V T K V	T A T C A	ABOVE:39	39	ABOVE:TT	20
138	Yindjibarndi	yind1247	ABOVE		kankaɭa	k a n k a ɭ a	k a n k a L a	K V N K V R V	K A N K A L A	ABOVE:34	34	ABOVE:KN	8
139	Yorta Yorta	yort1237	ABOVE		pukut	p u k u t	p u k u t	P V K V T	P Y K Y T	ABOVE:14	14	ABOVE:PK	15
141	Yulparitja	yulp1238	ABOVE		kankaɳiŋuɹu	k a n k a ɳ i ŋ u ɹ u	k a n k a n i N u r u	K V N K V N V N V R V	K A N K A N I N Y R Y	ABOVE:34	34	ABOVE:KN	8
142	Yuwaalaraay	yuwa1242	ABOVE		ŋaribaːgili	ŋ a r i b aː g i l i	N a r i b a g i l i	N V R V P V K V R V	N A R I P A K I L I	ABOVE:26	26	ABOVE:NR	14
257	Adnyamathanha	adny1235	ALL		wapu	w a p u	w a p u	W V P V	W A P Y	ALL:133	133	ALL:WP	50
258	Alyawarr	alya1239	ALL		eŋker	e ŋ k e r	e N k e r	V N K V R	E N K E R	ALL:150	150	ALL:HN	24
259	Arabana	arab1267	ALL		pɹatcanta	p ɹ a t c a n t a	p r a t T a n t a	P R V T K V N T V	P R A T C A N T A	ALL:128	128	ALL:PR	43
261	Yugambeh-Bandjalang	band1339	ALL		gumbih	g u m b i h	g u m b i h	K V M P V H	K Y M P I H	ALL:1	1	ALL:KM	29
267	Dhangu	dhan1270	ALL		warpamʔ	w a r p a m ʔ	w a r p a m 7	W V R P V M H	W A R P A M H	ALL:121	121	ALL:WR	51
268	Dhuwal	dhuw1249	ALL		warpamʔ	w a r p a m ʔ	w a r p a m 7	W V R P V M H	W A R P A M H	ALL:121	121	ALL:WR	51
270	Dieri	dier1241	ALL		parcaɳa	p a r c a ɳ a	p a r T a n a	P V R K V N V	P A R C A N A	ALL:128	128	ALL:PR	43
271	Dyaabugay	dyaa1242	ALL		ɲiŋajcada	ɲ i ŋ a j c a d a	H i N a y T a d a	N V N V J K V T V	N I N A J C A T A	ALL:149	149	ALL:NN	39
272	Djambarrpuyngu	djam1256	ALL		bukmak	b u k m a k	b u k m a k	P V K M V K	P Y K M A K	ALL:125	125	ALL:PK	41
277	Gamilaraay	gami1243	ALL		ganu	g a n u	g a n u	K V N V	K A N Y	ALL:131	131	ALL:KN	30
280	Kumbainggar	kumb1268	ALL		biːn	b iː n	b i n	P V N	P I N	ALL:118	118	ALL:PN	42
284	Gupapuyngu	gupa1247	ALL		warpamʔ	w a r p a m ʔ	w a r p a m 7	W V R P V M H	W A R P A M H	ALL:121	121	ALL:WR	51
285	Gurindji	guri1247	ALL		purpːaɳi	p u r pː a ɳ i	p u r p a n i	P V R P V N V	P Y R P A N I	ALL:129	129	ALL:PR	43
287	Guyani	guya1249	ALL		kuɹu	k u ɹ u	k u r u	K V R V	K Y R Y	ALL:133	133	ALL:KR	31
288	Jaru	jaru1254	ALL		waɲcuwuracara	w a ɲ c u w u r a c a r a	w a H T u w u r a T a r a	W V N K V W V R V K V R V	W A N C Y W Y R A C A R A	ALL:137	137	ALL:WN	49
289	Djiwarli	djiw1241	ALL		ɖan	ɖ a n	d a n	T V N	T A N	ALL:153	153	ALL:TN	46
290	Gamilaraay	gami1243	ALL		guno	g u n o	g u n o	K V N V	K Y N U	ALL:131	131	ALL:KN	30
291	Karadjeri	kara1476	ALL		wakac	w a k a c	w a k a T	W V K V K	W A K A C	ALL:165	165	ALL:WK	48
294	Kartujarra	kart1247	ALL		jaɳŋala	j a ɳ ŋ a l a	y a n N a l a	J V N N V R V	J A N N A L A	ALL:1	1	ALL:JN	27
295	Kaurna	kaur1267	ALL		paʈanːa	p a ʈ a nː a	p a t a n a	P V T V N V	P A T A N A	ALL:128	128	ALL:PT	44
296	Kukatja	kuka1246	ALL		laltu	l a l t u	l a l t u	R V R T V	L A L T Y	ALL:120	120	ALL:RR	45
297	Kuku-Yalanji	kuku1273	ALL		wubul	w u b u l	w u b u l	W V P V R	W Y P Y L	ALL:155	155	ALL:WP	50
300	Gurdjar	gurd1238	ALL		wok	w o k	w o k	W V K	W U K	ALL:162	162	ALL:WK	48
301	Gurdjar	gurd1238	ALL		βaːr	β aː r	b a r	P V R	B A R	ALL:162	162	ALL:PR	43
302	Kuuku-Ya'u	kuuk1238	ALL		mukamukan	m u k a m u k a n	m u k a m u k a n	M V K V M V K V N	M Y K A M Y K A N	ALL:122	122	ALL:MK	34
303	Kala Lagaw Ya	kala1377	ALL		muɹa	m u ɹ a	m u r a	M V R V	M Y R A	ALL:123	123	ALL:MR	37
306	Margany	marg1253	ALL		biriɲ	b i r i ɲ	b i r i H	P V R V N	P I R I N	ALL:151	151	ALL:PR	43
307	Martu Wangka	mart1256	ALL		jaɳŋa	j a ɳ ŋ a	y a n N a	J V N N V	J A N N A	ALL:146	146	ALL:JN	27
311	Mudburra	mudb1240	ALL		kuwaɲca	k u w a ɲ c a	k u w a H T a	K V W V N K V	K Y W A N C A	ALL:134	134	ALL:KW	33
313	Muruwari	muru1266	ALL		kurukuru	k u r u k u r u	k u r u k u r u	K V R V K V R V	K Y R Y K Y R Y	ALL:133	133	ALL:KR	31
315	Ngaanyatjarra	ngaa1240	ALL		piɳiɲaʈu	p i ɳ i ɲ a ʈ u	p i n i H a t u	P V N V N V T V	P I N I N A T Y	ALL:118	118	ALL:PN	42
316	Lower Riverland	lowe1402	ALL		m_upːo	m u pː o	m u p o	M V P V	M Y P U	ALL:157	157	ALL:MP	36
317	Ngamini	ngam1284	ALL		parcana	p a r c a n a	p a r T a n a	P V R K V N V	P A R C A N A	ALL:128	128	ALL:PR	43
319	Ngarluma	ngar1287	ALL		cuɭu	c u ɭ u	T u L u	K V R V	C Y L Y	ALL:168	168	ALL:KR	31
320	Narrinyeri	narr1259	ALL		tulda	t u l d a	t u l d a	T V R T V	T Y L T A	ALL:140	140	ALL:TR	47
323	Northern Coastal Nyangumarta	nort2754	ALL		wir	w i r	w i r	W V R	W I R	ALL:167	167	ALL:WR	51
324	Nyamal	nyam1271	ALL		wiːr	w iː r	w i r	W V R	W I R	ALL:1	1	ALL:WR	51
325	Nyangumarta	nyan1301	ALL		wir	w i r	w i r	W V R	W I R	ALL:167	167	ALL:WR	51
326	Nyunga	nyun1247	ALL		bunduŋ	b u n d u ŋ	b u n d u N	P V N T V N	P Y N T Y N	ALL:1	1	ALL:PN	42
327	Paakantyi	darl1243	ALL		gudaguda	g u d a g u d a	g u d a g u d a	K V T V K V T V	K Y T A K Y T A	ALL:126	126	ALL:KT	32
328	Panytyima	pany1241	ALL		cuɭu	c u ɭ u	T u L u	K V R V	C Y L Y	ALL:168	168	ALL:KR	31
329	Banggarla	bang1339	ALL		padlujunu	p a d l u j u n u	p a d l u y u n u	P V T R V J V N V	P A T L Y J Y N Y	ALL:135	135	ALL:PT	44
330	Bayungu	bayu1240	ALL		wurajimpa	w u r a j i m p a	w u r a y i m p a	W V R V J V M P V	W Y R A J I M P A	ALL:1	1	ALL:WR	51
332	Pitjantjatjara	pitj1243	ALL		uwankaɹa	u w a n k a ɹ a	u w a n k a r a	V W V N K V R V	Y W A N K A R A	ALL:119	119	ALL:HW	26
333	Pitjantjatjara	pitj1243	ALL		winki	w i n k i	w i n k i	W V N K V	W I N K I	ALL:119	119	ALL:WN	49
335	Ritarungo	rita1239	ALL		warpamʔ	w a r p a m ʔ	w a r p a m 7	W V R P V M H	W A R P A M H	ALL:121	121	ALL:WR	51
338	Wagaya	waga1260	ALL		mukeɭ	m u k e ɭ	m u k e L	M V K V R	M Y K E L	ALL:148	148	ALL:MK	34
345	Ngura	ngur1261	ALL		maru	m a r u	m a r u	M V R V	M A R Y	ALL:130	130	ALL:MR	37
349	Warlpiri	warl1254	ALL		muku	m u k u	m u k u	M V K V	M Y K Y	ALL:122	122	ALL:MK	34
350	Warumungu	waru1265	ALL		mukːu	m u kː u	m u k u	M V K V	M Y K Y	ALL:122	122	ALL:MK	34
353	Wik-Mungkan	wikm1247	ALL		maˀmaŋkam	m a ˀm a ŋ k a m	m a m a N k a m	M V M V N K V M	M A M A N K A M	ALL:156	156	ALL:MM	35
354	Wiradhuri	wira1262	ALL		bijaŋgalaŋ	b i j a ŋ g a l a ŋ	b i y a N g a l a N	P V J V N K V R V N	P I J A N K A L A N	ALL:147	147	ALL:PJ	40
355	Wirangu-Nauo	wira1260	ALL		jabu	j a b u	y a b u	J V P V	J A P Y	ALL:138	138	ALL:JP	28
357	Yan-nhangu	yann1237	ALL		bukmak	b u k m a k	b u k m a k	P V K M V K	P Y K M A K	ALL:125	125	ALL:PK	41
358	Yandruwandha	yand1253	ALL		malka	m a l k a	m a l k a	M V R K V	M A L K A	ALL:139	139	ALL:MR	37
359	Yandruwandha	yand1253	ALL		pani	p a n i	p a n i	P V N V	P A N I	ALL:139	139	ALL:PN	42
360	Yandruwandha	yand1253	ALL		panina	p a n i n a	p a n i n a	P V N V N V	P A N I N A	ALL:139	139	ALL:PN	42
363	Yawarawarga	yawa1258	ALL		panina	p a n i n a	p a n i n a	P V N V N V	P A N I N A	ALL:152	152	ALL:PN	42
364	Yindjibarndi	yind1247	ALL		culu	c u l u	T u l u	K V R V	C Y L Y	ALL:168	168	ALL:KR	31
365	Yorta Yorta	yort1237	ALL		wuta	w u t a	w u t a	W V T V	W Y T A	ALL:160	160	ALL:WT	52
367	Yulparitja	yulp1238	ALL		laltu	l a l t u	l a l t u	R V R T V	L A L T Y	ALL:120	120	ALL:RR	45
368	Yuwaalaraay	yuwa1242	ALL		ganu	g a n u	g a n u	K V N V	K A N Y	ALL:131	131	ALL:KN	30
369	Yuwaalaraay	yuwa1242	ALL		ganuŋawu	g a n u ŋ a w u	g a n u N a w u	K V N V N V W V	K A N Y N A W Y	ALL:131	131	ALL:KN	30
370	Yuwaalaraay	yuwa1242	ALL		guruguru	g u r u g u r u	g u r u g u r u	K V R V K V R V	K Y R Y K Y R Y	ALL:131	131	ALL:KR	31
371	Yuwaalaraay	yuwa1242	ALL		aːbali	aː b a l i	a b a l i	V P V R V	A P A L I	ALL:131	131	ALL:HP	25
274	Djinang	djin1253	ALL		ŋajama	ŋ a j a m a	N a y a m a	N V J V M V	N A J A M A	ALL:124	124	ALL:NJ	38
372	Adnyamathanha	adny1235	AND		adni	a d n i	a d n i	V T N V	A T N I	AND:202	202	AND:HT	56
373	Arabana	arab1267	AND		ncuɖu	n c u ɖ u	n T u d u	N K V T V	N C Y T Y	AND:204	204	AND:NK	70
375	Yugambeh-Bandjalang	band1339	AND		ŋula	ŋ u l a	N u l a	N V R V	N Y L A	AND:220	220	AND:NR	71
377	Dhangu	dhan1270	AND		ga	g a	g a	K V	K A	AND:223	223	AND:KH	60
380	Dhuwal	dhuw1249	AND		ga	g a	g a	K V	K A	AND:223	223	AND:KH	60
382	Dieri	dier1241	AND		ja	j a	y a	J V	J A	AND:225	225	AND:JH	57
383	Dyaabugay	dyaa1242	AND		cata	c a t a	T a t a	K V T V	C A T A	AND:181	181	AND:KT	66
384	Djambarrpuyngu	djam1256	AND		ga	g a	g a	K V	K A	AND:223	223	AND:KH	60
386	Djinang	djin1253	AND		a	a	a	V	A	AND:224	224	AND:HH	53
389	Gamilaraay	gami1243	AND		jilːibu	j i lː i b u	y i l i b u	J V R V P V	J I L I P Y	AND:1	1	AND:JR	59
391	Kumbainggar	kumb1268	AND		garaː	g a r aː	g a r a	K V R V	K A R A	AND:198	198	AND:KR	65
392	Kumbainggar	kumb1268	AND		waw	w a w	w a w	W V W	W A W	AND:198	198	AND:WW	77
393	Kumbainggar	kumb1268	AND		jurga	j u r g a	y u r g a	J V R K V	J Y R K A	AND:198	198	AND:JR	59
397	Gupapuyngu	gupa1247	AND		ga	g a	g a	K V	K A	AND:223	223	AND:KH	60
398	Gurindji	guri1247	AND		purpur	p u r p u r	p u r p u r	P V R P V R	P Y R P Y R	AND:185	185	AND:PR	74
400	Guyani	guya1249	AND		cudɹu	c u d ɹ u	T u d r u	K V T R V	C Y T R Y	AND:213	213	AND:KT	66
401	Guyani	guya1249	AND		puntuna	p u n t u n a	p u n t u n a	P V N T V N V	P Y N T Y N A	AND:213	213	AND:PN	73
402	Guyani	guya1249	AND		cunpanalu	c u n p a n a l u	T u n p a n a l u	K V N P V N V R V	C Y N P A N A L Y	AND:213	213	AND:KN	63
403	Djiwarli	djiw1241	AND		cibi	c i b i	T i b i	K V P V	C I P I	AND:195	195	AND:KP	64
404	Kalkutung	kalk1246	AND		jana	j a n a	y a n a	J V N V	J A N A	AND:193	193	AND:JN	58
405	Gamilaraay	gami1243	AND		jilːibu	j i lː i b u	y i l i b u	J V R V P V	J I L I P Y	AND:212	212	AND:JR	59
406	Karadjeri	kara1476	AND		pa	p a	p a	P V	P A	AND:211	211	AND:PH	72
409	Kartujarra	kart1247	AND		wituka	w i t u k a	w i t u k a	W V T V K V	W I T Y K A	AND:218	218	AND:WT	76
411	Kaurna	kaur1267	AND		kuma	k u m a	k u m a	K V M V	K Y M A	AND:201	201	AND:KM	62
413	Kukatja	kuka1246	AND		kamu	k a m u	k a m u	K V M V	K A M Y	AND:189	189	AND:KM	62
414	Kuku-Yalanji	kuku1273	AND		ŋara	ŋ a r a	N a r a	N V R V	N A R A	AND:191	191	AND:NR	71
416	Gurdjar	gurd1238	AND		ar	a r	a r	V R	A R	AND:191	191	AND:HR	55
417	Kuuku-Ya'u	kuuk1238	AND		kuji	k u j i	k u y i	K V J V	K Y J I	AND:180	180	AND:KJ	61
418	Kala Lagaw Ya	kala1377	AND		a	a	a	V	A	AND:224	224	AND:HH	53
420	Martu Wangka	mart1256	AND		ka	k a	k a	K V	K A	AND:223	223	AND:KH	60
421	Martu Wangka	mart1256	AND		kaː	k aː	k a	K V	K A	AND:223	223	AND:KH	60
425	Muruwari	muru1266	AND		t̪aka	t̪ a k a	t a k a	T V K V	T A K A	AND:207	207	AND:TK	75
426	Ngaanyatjarra	ngaa1240	AND		ka	k a	k a	K V	K A	AND:223	223	AND:KH	60
428	Lower Riverland	lowe1402	AND		meːto	m eː t o	m e t o	M V T V	M E T U	AND:200	200	AND:MT	68
429	Lower Riverland	lowe1402	AND		metko	m e t k o	m e t k o	M V T K V	M E T K U	AND:200	200	AND:MT	68
430	Ngamini	ngam1284	AND		ja	j a	y a	J V	J A	AND:225	225	AND:JH	57
431	Narrinyeri	narr1259	AND		uŋenaŋ	u ŋ e n a ŋ	u N e n a N	V N V N V N	Y N E N A N	AND:187	187	AND:HN	54
435	Northern Coastal Nyangumarta	nort2754	AND		pa	p a	p a	P V	P A	AND:211	211	AND:PH	72
436	Nyamal	nyam1271	AND		pa	p a	p a	P V	P A	AND:1	1	AND:PH	72
437	Nyangumarta	nyan1301	AND		pa	p a	p a	P V	P A	AND:211	211	AND:PH	72
438	Nyunga	nyun1247	AND		guɖciɹ	g u ɖ c i ɹ	g u d T i r	K V T K V R	K Y T C I R	AND:190	190	AND:KT	66
439	Paakantyi	darl1243	AND		ŋa	ŋ a	N a	N V	N A	AND:184	184	AND:NH	69
440	Panytyima	pany1241	AND		kunu	k u n u	k u n u	K V N V	K Y N Y	AND:203	203	AND:KN	63
441	Banggarla	bang1339	AND		into	i n t o	i n t o	V N T V	I N T U	AND:215	215	AND:HN	54
442	Bayungu	bayu1240	AND		cibi	c i b i	T i b i	K V P V	C I P I	AND:195	195	AND:KP	64
443	Pitjantjatjara	pitj1243	AND		munu	m u n u	m u n u	M V N V	M Y N Y	AND:221	221	AND:MN	67
444	Ritarungo	rita1239	AND		bili	b i l i	b i l i	P V R V	P I L I	AND:182	182	AND:PR	74
445	Dhalandji	dhal1245	AND		cibi	c i b i	T i b i	K V P V	C I P I	AND:195	195	AND:KP	64
446	Dhargari	dhar1247	AND		paɹu	p a ɹ u	p a r u	P V R V	P A R Y	AND:196	196	AND:PR	74
448	Wagaya	waga1260	AND		pa	p a	p a	P V	P A	AND:211	211	AND:PH	72
456	Warlpiri	warl1254	AND		manu	m a n u	m a n u	M V N V	M A N Y	AND:221	221	AND:MN	67
457	Wanman	wanm1242	AND		kamu	k a m u	k a m u	K V M V	K A M Y	AND:189	189	AND:KM	62
458	Wariyangga	wari1262	AND		cipi	c i p i	T i p i	K V P V	C I P I	AND:195	195	AND:KP	64
459	Warumungu	waru1265	AND		kami	k a m i	k a m i	K V M V	K A M I	AND:189	189	AND:KM	62
460	Warumungu	waru1265	AND		kapi	k a p i	k a p i	K V P V	K A P I	AND:189	189	AND:KP	64
