ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	INFERRED_CLASS	TURCHINID
6944	Kui(Sriwises1978)	kdt	I, me		kaw	k a w	k a w	K V W	K A W	10	2	I, me:KW	8
6945	Kui(Sriwises1978)	kdt	I, me		haj	h a j	h a y	H V J	H A J	9	12	I, me:HJ	2
6946	Kui(Huffman1979)	kdt	I, me		kʌw	k ʌ w	k o w	K V W	K E W	10	2	I, me:KW	8
6948	Mankong	sss	I, me		kɨ̤ʔ	k ɨ̤ ʔ	k I 7	K V H	K I H	10	2	I, me:KH	6
6949	Nge'	ngt	I, me		kəw	k ə w	k I w	K V W	K E W	10	2	I, me:KW	8
6950	Pacoh	pac	I, me		kɯː	k ɯː	k u	K V	K I	10	2	I, me:KH	6
6951	So-Khammouane	sss	I, me		ŋko̤aʔ	ŋ k o̤a ʔ	N k o 7	N K V H	N K U H	10	2	I, me:NK	11
6952	So-SakonNakhon	sss	I, me		ŋkɑ̤ʔ	ŋ k ɑ̤ ʔ	N k o 7	N K V H	N K A H	10	2	I, me:NK	11
6953	So-SakonNakhon	sss	I, me		hiʔ	h i ʔ	h i 7	H V H	H I H	9	12	I, me:HH	1
6954	Souei-Saravan	kdt	I, me		kɨː	k ɨː	k I	K V	K I	10	2	I, me:KH	6
6955	TaOi	tto	I, me		kɨː	k ɨː	k I	K V	K I	10	2	I, me:KH	6
6956	Pnar	pbv	I, me		ʔɔ	ʔ ɔ	7 o	H V	H U	11	3	I, me:HH	1
6957	Khmer-Surin	kxm	I, me		ʔaɲ	ʔ a ɲ	7 a H	H V N	H A N	1	1	I, me:HN	3
6958	Khmer-Standard	khm	I, me		kʰɲum	kʰ ɲ u m	k H u m	K N V M	K N Y M	12	4	I, me:KN	7
6959	Idu	tyh	I, me		naʔɛ̰̂ːŋ	n a ʔ ɛ̰̂ː ŋ	n a 7 E N	N V H V N	N A H E N	13	5	I, me:NH	10
6960	Khmu-Cuang	kjg	I, me		ʔoʔ	ʔ o ʔ	7 o 7	H V H	H U H	11	3	I, me:HH	1
6962	Khmu-Yuan	kjg	I, me		ʔòʔ	ʔ ò ʔ	7 o 7	H V H	H U H	11	3	I, me:HH	1
6964	Mal-T'in	mlf	I, me		ʔəɲ	ʔ ə ɲ	7 I H	H V N	H E N	1	1	I, me:HN	3
6970	Bugan	bbh	I, me		ɔ̱³¹	ɔ̱	o	V	U	11	3	I, me:HH	1
6971	Mang	zng	I, me		ʔuː⁴	ʔ uː	7 u	H V	H Y	11	3	I, me:HH	1
6972	Nyahkur	cbn	I, me		wɛ́j	w ɛ́ j	w E y	W V J	W E J	14	6	I, me:WJ	14
6973	Mon	mnw	I, me		ʔoa	ʔ oa	7 o	H V	H U	14	6	I, me:HH	1
6976	Gorum	pcj	I, me		miŋ	m i ŋ	m i N	M V N	M I N	1	1	I, me:MN	9
6979	Kharia	khr	I, me		iŋ	i ŋ	i N	V N	I N	1	1	I, me:HN	3
6983	Santali	sat	I, me		ʔɤʔ	ʔ ɤ ʔ	7 o 7	H V H	H E H	11	3	I, me:HH	1
6984	Sora	srb	I, me		iɲ	i ɲ	i H	V N	I N	1	1	I, me:HN	3
6985	Sora	srb	I, me		ɲen	ɲ e n	H e n	N V N	N E N	1	1	I, me:NN	12
6986	Car	caq	I, me		cin	c i n	T i n	K V N	C I N	15	7	I, me:KN	7
6988	Nancowri	ncb	I, me		ca	c a	T a	K V	C A	15	7	I, me:KH	6
6989	Nancowri	ncb	I, me		cɯa	c ɯa	T u	K V	C I	15	7	I, me:KH	6
6999	Lawa(Ratanakul)	lcp	I, me		ʔe	ʔ e	7 e	H V	H E	11	3	I, me:HH	1
7001	ManMet	mml	I, me		ɔʔ⁵³	ɔ ʔ	o 7	V H	U H	11	3	I, me:HH	1
7003	Palaung-Dara'ang	pce	I, me		Ɂo	Ɂ o	7 o	H V	H U	11	3	I, me:HH	1
7004	Palaung-Kalaw	pce	I, me		ʔowniː	ʔow niː	7 n	H N	H N	11	3	I, me:HN	3
7006	Palaung-Namhsan	pce	I, me		ʔɔ	ʔ ɔ	7 o	H V	H U	11	3	I, me:HH	1
7007	Riang-Sak	ril	I, me		ʔoʔ¹	ʔ o ʔ	7 o 7	H V H	H U H	11	3	I, me:HH	1
7011	Wa-Praok	prk	I, me		aə	aə	a	V	A	11	3	I, me:HH	1
7018	Karii	pkt	I, me		tɛːʔ	t ɛː ʔ	t E 7	T V H	T E H	18	8	I, me:TH	13
7021	Ruc	scb	I, me		ho	h o	h o	H V	H U	18	8	I, me:HH	1
2	Bahnar-Golar	bdq	alcohol/liquor		hədroː	h ə d r oː	h I d r o	H V T R V	H E T R U	2	18	alcohol/liquor:HT	17
3	Bahnar-Kontum	bdq	alcohol/liquor		siːk	s iː k	s i k	S V K	S I K	3	26	alcohol/liquor:SK	30
4	Bahnar-Pleiku	bdq	alcohol/liquor		siːk	s iː k	s i k	S V K	S I K	3	26	alcohol/liquor:SK	30
5	Jeh	jeh	alcohol/liquor		nnah	nn a h	n a h	N V H	N A H	42	33	alcohol/liquor:NH	22
8	Sre	kpm	alcohol/liquor		tərnom	t ə r n o m	t I r n o m	T V R N V M	T E R N U M	5	34	alcohol/liquor:TR	34
9	Bru-Ubon	bru	alcohol/liquor		blɔŋ	b l ɔ ŋ	b l o N	P R V N	P L U N	6	35	alcohol/liquor:PR	25
10	Katang	kgd	alcohol/liquor		blɔŋ	b l ɔ ŋ	b l o N	P R V N	P L U N	6	35	alcohol/liquor:PR	25
15	Kui(Sriwises1978)	kdt	alcohol/liquor		blɔŋ	b l ɔ ŋ	b l o N	P R V N	P L U N	6	35	alcohol/liquor:PR	25
16	Kui(Huffman1979)	kdt	alcohol/liquor		blɑŋ	b l ɑ ŋ	b l o N	P R V N	P L A N	6	35	alcohol/liquor:PR	25
17	Mankong	sss	alcohol/liquor		blɑŋ	b l ɑ ŋ	b l o N	P R V N	P L A N	6	35	alcohol/liquor:PR	25
18	Nge'	ngt	alcohol/liquor		riːw	r iː w	r i w	R V W	R I W	39	31	alcohol/liquor:RW	29
19	Pacoh	pac	alcohol/liquor		ʔariəw	ʔ a r iə w	7 a r i w	H V R V W	H A R I W	39	31	alcohol/liquor:HR	16
20	So-Khammouane	sss	alcohol/liquor		blɑŋ	b l ɑ ŋ	b l o N	P R V N	P L A N	6	35	alcohol/liquor:PR	25
21	So-SakonNakhon	sss	alcohol/liquor		blɑŋ	b l ɑ ŋ	b l o N	P R V N	P L A N	6	35	alcohol/liquor:PR	25
22	Souei-Saravan	kdt	alcohol/liquor		blɔŋ	b l ɔ ŋ	b l o N	P R V N	P L U N	6	35	alcohol/liquor:PR	25
23	TaOi	tto	alcohol/liquor		riːw	r iː w	r i w	R V W	R I W	8	36	alcohol/liquor:RW	29
24	Khasi	khi	alcohol/liquor		kʔiat	k ʔ ia t	k 7 i t	K H V T	K H I T	12	13	alcohol/liquor:KH	18
26	Pnar	pbv	alcohol/liquor		kiat	k ia t	k i t	K V T	K I T	12	13	alcohol/liquor:KT	21
27	War-Lamin	aml	alcohol/liquor		rʊə	r ʊə	r u	R V	R Y	13	14	alcohol/liquor:RH	28
28	Khmer-Surin	kxm	alcohol/liquor		sraː	s r aː	s r a	S R V	S R A	14	15	alcohol/liquor:SR	31
29	Khmer-Standard	khm	alcohol/liquor		sraː	s r aː	s r a	S R V	S R A	14	15	alcohol/liquor:SR	31
30	Idu	tyh	alcohol/liquor		brâ̰ːj	b r â̰ː j	b r a y	P R V J	P R A J	15	16	alcohol/liquor:PR	25
31	Khmu-Cuang	kjg	alcohol/liquor		buːc	b uː c	b u T	P V K	P Y C	16	17	alcohol/liquor:PK	24
33	Khmu-Yuan	kjg	alcohol/liquor		pùːc	p uː c	p u T	P V K	P Y C	16	17	alcohol/liquor:PK	24
34	Mal-T'in	mlf	alcohol/liquor		puc	p u c	p u T	P V K	P Y C	16	17	alcohol/liquor:PK	24
39	Bugan	bbh	alcohol/liquor		ʦa³³	ʦ a	c a	K V	C A	20	19	alcohol/liquor:KH	18
40	Mon	mnw	alcohol/liquor		ʔarèak	ʔ a r èa k	7 a r e k	H V R V K	H A R E K	21	20	alcohol/liquor:HR	16
41	Nyahkur	cbn	alcohol/liquor		cʰəra̤ːʔ	cʰ ə r a̤ː ʔ	T I r a 7	K V R V H	C E R A H	21	20	alcohol/liquor:KR	20
44	Gorum	pcj	alcohol/liquor		ali	a l i	a l i	V R V	A L I	22	21	alcohol/liquor:HR	16
46	Kharia	khr	alcohol/liquor		dakh	d a k h	d a k h	T V K H	T A K H	24	22	alcohol/liquor:TK	32
47	Kharia	khr	alcohol/liquor		daru	d a r u	d a r u	T V R V	T A R Y	25	23	alcohol/liquor:TR	34
52	Santali	sat	alcohol/liquor		hãɖi	h ã ɖ i	h a d i	H V T V	H A T I	28	24	alcohol/liquor:HT	17
53	Sora	srb	alcohol/liquor		ʌli	ʌ l i	o l i	V R V	E L I	22	21	alcohol/liquor:HR	16
54	Car	caq	alcohol/liquor		ʔajɛ̃ː	ʔ a j ɛ̃ː	7 a y E	H V J V	H A J E	29	25	alcohol/liquor:HJ	15
63	Lawa(Ratanakul)	lcp	alcohol/liquor		plaj	p l a j	p l a y	P R V J	P L A J	34	28	alcohol/liquor:PR	25
65	ManMet	mml	alcohol/liquor		tɔn³¹	t ɔ n	t o n	T V N	T U N	40	32	alcohol/liquor:TN	33
66	Palaung-Dara'ang	pce	alcohol/liquor		pawh	p a w h	p a w h	P V W H	P A W H	35	29	alcohol/liquor:PW	27
67	Palaung-Kalaw	pce	alcohol/liquor		paoh	p ao h	p a h	P V H	P A H	35	29	alcohol/liquor:PH	23
69	Palaung-Namhsan	pce	alcohol/liquor		bah	b a h	b a h	P V H	P A H	35	29	alcohol/liquor:PH	23
70	Riang-Sak	ril	alcohol/liquor		kᵊɗɑw¹	kᵊ ɗ ɑ w	k d o w	K T V W	K T A W	32	27	alcohol/liquor:KT	21
73	Wa-Praok	prk	alcohol/liquor		plai	p l ai	p l a	P R V	P L A	34	28	alcohol/liquor:PR	25
80	Karii	pkt	alcohol/liquor		kɨ̀nʔ	k ɨ̀ n ʔ	k I n 7	K V N H	K I N H	38	30	alcohol/liquor:KN	19
82	Ruc	scb	alcohol/liquor		pədoː¹	p ə d oː	p I d o	P V T V	P E T U	32	27	alcohol/liquor:PT	26
85	Vietnamese	vie	alcohol/liquor		rượu	r u o u	r u o u	R V V V	R Y U Y	39	31	alcohol/liquor:RH	28
96	Alak	alk	alive/live		pʻroːs	pʻ r oː s	p r o s	P R V S	P R U S	4	51	alive/live:PR	54
97	Bahnar-Golar	bdq	alive/live		hədrih	h ə d r i h	h I d r i h	H V T R V H	H E T R I H	2	42	alive/live:HT	39
98	Bahnar-Kontum	bdq	alive/live		ʔadrih	ʔ a d r i h	7 a d r i h	H V T R V H	H A T R I H	2	42	alive/live:HT	39
99	Bahnar-Pleiku	bdq	alive/live		ʔadrih	ʔ a d r i h	7 a d r i h	H V T R V H	H A T R I H	2	42	alive/live:HT	39
100	Brao	brb	alive/live		ɲiw	ɲ i w	H i w	N V W	N I W	4	51	alive/live:NW	51
103	Cua	cua	alive/live		rilh	r i l h	r i l h	R V R H	R I L H	2	42	alive/live:RR	56
104	Halang	hal	alive/live		pe̤ːn	p e̤ː n	p e n	P V N	P E N	5	52	alive/live:PN	53
105	Jeh	jeh	alive/live		pe̤ːn	p e̤ː n	p e n	P V N	P E N	5	52	alive/live:PN	53
106	Jru-Laven	lbo	alive/live		dɛj	d ɛ j	d E y	T V J	T E J	6	53	alive/live:TJ	59
107	Mnong-Rölöm	mng	alive/live		breh	b r e h	b r e h	P R V H	P R E H	2	42	alive/live:PR	54
108	Nyaheun	nev	alive/live		ɲiw	ɲ i w	H i w	N V W	N I W	4	51	alive/live:NW	51
109	Rengao	ren	alive/live		həri̤h	h ə r i̤ h	h I r i h	H V R V H	H E R I H	2	42	alive/live:HR	38
110	Sedang	sed	alive/live		rɛh	r ɛ h	r E h	R V H	R E H	2	42	alive/live:RH	55
111	Sre	kpm	alive/live		ris	r i s	r i s	R V S	R I S	2	42	alive/live:RS	57
112	Stieng	sti	alive/live		reh	r e h	r e h	R V H	R E H	2	42	alive/live:RH	55
115	Bru-Talan	oog	alive/live		moŋʔ	m o ŋ ʔ	m o N 7	M V N H	M U N H	7	54	alive/live:MN	47
116	Bru-Ubon	bru	alive/live		nɔ̤ŋʔaːmɔ̤ŋ	nɔ̤ŋ ʔaːmɔ̤ŋ	n 7	N H	N H	7	54	alive/live:NH	48
117	In	irr	alive/live		naŋmoŋˀ	naŋ moŋˀ	n m	N M	N M	7	54	alive/live:NM	49
118	Katu-AnDiem	ktv	alive/live		mamoŋ	m a m o ŋ	m a m o N	M V M V N	M A M U N	7	54	alive/live:MM	46
120	Kui(Sriwises1978)	kdt	alive/live		təmoŋ	t ə m o ŋ	t I m o N	T V M V N	T E M U N	7	54	alive/live:TM	60
121	Kui(Huffman1979)	kdt	alive/live		təmɑŋ	t ə m ɑ ŋ	t I m o N	T V M V N	T E M A N	7	54	alive/live:TM	60
123	Nge'	ngt	alive/live		moŋ	m o ŋ	m o N	M V N	M U N	7	54	alive/live:MN	47
124	Pacoh	pac	alive/live		tumo̰ŋ	t u m o̰ ŋ	t u m o N	T V M V N	T Y M U N	7	54	alive/live:TM	60
125	So-Khammouane	sss	alive/live		ʔəːtpanʔəːt	ʔəːt pan ʔəːt	7 p 7	H P H	H P H	8	55	alive/live:HP	37
126	So-SakonNakhon	sss	alive/live		ʔəːt	ʔ əː t	7 I t	H V T	H E T	8	55	alive/live:HT	39
127	Souei-Saravan	kdt	alive/live		nɔŋ	n ɔ ŋ	n o N	N V N	N U N	9	56	alive/live:NN	50
128	TaOi	tto	alive/live		moŋˀ	m o ŋˀ	m o N	M V N	M U N	7	54	alive/live:MN	47
129	Khasi	khi	alive/live		ʔim	ʔ i m	7 i m	H V M	H I M	10	37	alive/live:HM	36
131	Pnar	pbv	alive/live		ʔim	ʔ i m	7 i m	H V M	H I M	10	37	alive/live:HM	36
132	War-Lamin	aml	alive/live		pʔem	p ʔ e m	p 7 e m	P H V M	P H E M	10	37	alive/live:PH	52
133	Khmer-Surin	kxm	alive/live		ruah	r ua h	r u h	R V H	R Y H	2	42	alive/live:RH	55
134	Khmer-Standard	khm	alive/live		rʊəh	r ʊə h	r u h	R V H	R Y H	2	42	alive/live:RH	55
135	Idu	tyh	alive/live		rîəh	r îə h	r i h	R V H	R I H	2	42	alive/live:RH	55
136	Khmu-Cuang	kjg	alive/live		blɨər	b l ɨə r	b l I r	P R V R	P L I R	11	38	alive/live:PR	54
138	Khmu-Yuan	kjg	alive/live		prɨal	p r ɨa l	p r I l	P R V R	P R I L	11	38	alive/live:PR	54
140	Mal-T'in	mlf	alive/live		jih	j i h	y i h	J V H	J I H	2	42	alive/live:JH	40
146	Bugan	bbh	alive/live		kai³³	k ai	k a	K V	K A	17	39	alive/live:KH	41
147	Mang	zng	alive/live		miːn¹	m iː n	m i n	M V N	M I N	18	40	alive/live:MN	47
148	Nyahkur	cbn	alive/live		kʰəɲùŋ	kʰ ə ɲ u ŋ	k I H u N	K V N V N	K E N Y N	19	41	alive/live:KN	43
149	Mon	mnw	alive/live		càŋ	c à ŋ	T a N	K V N	C A N	20	43	alive/live:KN	43
151	Gorum	pcj	alive/live		mḛŋ	m ḛ ŋ	m e N	M V N	M E N	22	44	alive/live:MN	47
155	Kharia	khr	alive/live		bɔˈrɔl	b ɔ ˈr ɔ l	b o r o l	P V R V R	P U R U L	26	46	alive/live:PR	54
156	Kharia	khr	alive/live		ɟan	ɟ a n	C a n	K V N	C A N	27	47	alive/live:KN	43
157	Kharia	khr	alive/live		kaca	k a c a	k a T a	K V K V	K A C A	25	45	alive/live:KK	42
161	Santali	sat	alive/live		waɲcaw	w a ɲ c a w	w a H T a w	W V N K V W	W A N C A W	30	48	alive/live:WN	61
162	Sora	srb	alive/live		mʔɛŋ	m ʔ ɛ ŋ	m 7 E N	M H V N	M H E N	22	44	alive/live:MH	45
163	Car	caq	alive/live		ʔãh	ʔ ã h	7 a h	H V H	H A H	2	42	alive/live:HH	35
165	Nancowri	ncb	alive/live		ʔæ̃h	ʔ æ̃ h	7 E h	H V H	H E H	2	42	alive/live:HH	35
172	Lawa(Ratanakul)	lcp	alive/live		ʔaɨt	ʔ aɨ t	7 a t	H V T	H A T	34	49	alive/live:HT	39
174	ManMet	mml	alive/live		im³⁵	i m	i m	V M	I M	10	37	alive/live:HM	36
176	Palaung-Dara'ang	pce	alive/live		Ɂim	Ɂ i m	7 i m	H V M	H I M	10	37	alive/live:HM	36
177	Palaung-Namhsan	pce	alive/live		ʔim	ʔ i m	7 i m	H V M	H I M	10	37	alive/live:HM	36
178	Riang-Sak	ril	alive/live		ʔim¹	ʔ i m	7 i m	H V M	H I M	10	37	alive/live:HM	36
181	Wa-Praok	prk	alive/live		ʔim	ʔ i m	7 i m	H V M	H I M	10	37	alive/live:HM	36
186	Karii	pkt	alive/live		clɔ̀ŋʔ	c l ɔ̀ ŋ ʔ	T l o N 7	K R V N H	C L U N H	36	50	alive/live:KR	44
189	Ruc	scb	alive/live		kloːŋ³	k l oː ŋ	k l o N	K R V N	K L U N	36	50	alive/live:KR	44
191	Vietnamese	vie	alive/live		sống	s o n g	s o n g	S V N K	S U N K	36	50	alive/live:SN	58
199	Alak	alk	ant		mboːc	m b oː c	m b o T	M P V K	M P U C	3	68	ant:MP	69
200	Bahnar-Golar	bdq	ant		hmoːc	h m oː c	h m o T	H M V K	H M U C	3	68	ant:HM	63
201	Bahnar-Kontum	bdq	ant		hmoc	h m o c	h m o T	H M V K	H M U C	3	68	ant:HM	63
202	Bahnar-Pleiku	bdq	ant		hmoːc	h m oː c	h m o T	H M V K	H M U C	3	68	ant:HM	63
203	Brao	brb	ant		moːc	m oː c	m o T	M V K	M U C	3	68	ant:MK	67
205	Cua	cua	ant		ramuːt	r a m uː t	r a m u t	R V M V T	R A M Y T	3	68	ant:RM	73
206	Halang	hal	ant		muːt	m uː t	m u t	M V T	M Y T	3	68	ant:MT	70
207	Jeh	jeh	ant		mut	m u t	m u t	M V T	M Y T	3	68	ant:MT	70
208	Jru-Laven	lbo	ant		hmoːc	h m oː c	h m o T	H M V K	H M U C	3	68	ant:HM	63
210	Mnong-Rölöm	mng	ant		saːm	s aː m	s a m	S V M	S A M	5	69	ant:SM	75
211	Nyaheun	nev	ant		hmoːc	h m oː c	h m o T	H M V K	H M U C	3	68	ant:HM	63
214	Sedang	sed	ant		hmuj	h m u j	h m u y	H M V J	H M Y J	3	68	ant:HM	63
215	Sedang	sed	ant		kəmuə	k ə m uə	k I m u	K V M V	K E M Y	3	68	ant:KM	64
216	Sre	kpm	ant		ŋɔɲ	ŋ ɔ ɲ	N o H	N V N	N U N	7	70	ant:NN	71
217	Stieng	sti	ant		cʰiam	cʰ ia m	T i m	K V M	C I M	5	69	ant:KM	64
219	Bru-Talan	oog	ant		mic	m i c	m i T	M V K	M I C	3	68	ant:MK	67
220	Bru-Ubon	bru	ant		səmuːc	s ə m uː c	s I m u T	S V M V K	S E M Y C	3	68	ant:SM	75
221	In	irr	ant		mit	m i t	m i t	M V T	M I T	3	68	ant:MT	70
222	Katang	kgd	ant		həmʊjʔ	h ə m ʊ j ʔ	h I m u y 7	H V M V J H	H E M Y J H	3	68	ant:HM	63
223	Katu-AnDiem	ktv	ant		ʔaʄɛn	ʔ a ʄ ɛ n	7 a C E n	H V K V N	H A C E N	8	71	ant:HK	62
225	Kui(Sriwises1978)	kdt	ant		mhoːc	m h oː c	m h o T	M H V K	M H U C	3	68	ant:MH	66
226	Kui(Huffman1979)	kdt	ant		səmoːc	s ə m oː c	s I m o T	S V M V K	S E M U C	3	68	ant:SM	75
227	Mankong	sss	ant		səmuːjʔ	s ə m uː j ʔ	s I m u y 7	S V M V J H	S E M Y J H	3	68	ant:SM	75
228	Nge'	ngt	ant		mic	m i c	m i T	M V K	M I C	3	68	ant:MK	67
229	Pacoh	pac	ant		ʔamuːjʔ	ʔ a m uː j ʔ	7 a m u y 7	H V M V J H	H A M Y J H	3	68	ant:HM	63
230	So-Khammouane	sss	ant		simuːc	s i m uː c	s i m u T	S V M V K	S I M Y C	3	68	ant:SM	75
231	So-SakonNakhon	sss	ant		səmuːt	s ə m uː t	s I m u t	S V M V T	S E M Y T	3	68	ant:SM	75
232	Souei-Saravan	kdt	ant		səmuːc	s ə m uː c	s I m u T	S V M V K	S E M Y C	3	68	ant:SM	75
233	TaOi	tto	ant		mic	m i c	m i T	M V K	M I C	3	68	ant:MK	67
234	Khasi	khi	ant		dkʰiew	d kʰ ie w	d k i w	T K V W	T K I W	9	72	ant:TK	77
235	Pnar	pbv	ant		tkʰu	t kʰ u	t k u	T K V	T K Y	10	57	ant:TK	77
236	War-Lamin	aml	ant		lənti	l ə n t i	l I n t i	R V N T V	L E N T I	11	58	ant:RN	74
237	Khmer-Surin	kxm	ant		smɔːc	s m ɔː c	s m o T	S M V K	S M U C	3	68	ant:SM	75
238	Khmer-Standard	khm	ant		srɑmaoc	s r ɑ m ao c	s r o m a T	S R V M V K	S R A M A C	3	68	ant:SR	76
239	Idu	tyh	ant		mɛ́ʔ	m ɛ́ ʔ	m E 7	M V H	M E H	12	59	ant:MH	66
240	Khmu-Cuang	kjg	ant		ʰmuːc	ʰm uː c	m u T	M V K	M Y C	3	68	ant:MK	67
242	Khmu-Yuan	kjg	ant		múːc	m úː c	m u T	M V K	M Y C	3	68	ant:MK	67
244	Mal-T'in	mlf	ant		moːc	m oː c	m o T	M V K	M U C	3	68	ant:MK	67
248	Bugan	bbh	ant		ɣen³¹	ɣ e n	x e n	K V N	G E N	13	60	ant:KN	65
249	Mang	zng	ant		ʔaŋ²maj⁶	ʔaŋ² maj⁶	7 m	H M	H M	14	61	ant:HM	63
250	Mon	mnw	ant		həmo̱t	h ə m o̱ t	h I m o t	H V M V T	H E M U T	3	68	ant:HM	63
251	Nyahkur	cbn	ant		hmu̱ac	h m u̱a c	h m u T	H M V K	H M Y C	3	68	ant:HM	63
254	Gorum	pcj	ant		mumoj	m u m o j	m u m o y	M V M V J	M Y M U J	3	68	ant:MM	68
256	Kharia	khr	ant		muˀɟɖɑʔ	m uˀ ɟ ɖ ɑ ʔ	m u C d o 7	M V K T V H	M Y C T A H	3	68	ant:MK	67
262	Santali	sat	ant		muc˺	m u c˺	m u T	M V K	M Y C	3	68	ant:MK	67
263	Sora	srb	ant		muɟ	m u ɟ	m u C	M V K	M Y C	3	68	ant:MK	67
264	Car	caq	ant		talkuc	t a l k u c	t a l k u T	T V R K V K	T A L K Y C	18	62	ant:TR	79
265	Nancowri	ncb	ant		taɲ	t a ɲ	t a H	T V N	T A N	29	67	ant:TN	78
273	Lawa(Ratanakul)	lcp	ant		ʔmɔic	ʔ m ɔi c	7 m o T	H M V K	H M U C	3	68	ant:HM	63
275	ManMet	mml	ant		aʨɔh³¹	a ʨɔh³¹	a C	V K	A C	24	64	ant:HK	62
277	Palaung-Dara'ang	pce	ant		mapruɲ	ma pruɲ	m p	M P	M P	23	63	ant:MP	69
278	Palaung-Kalaw	pce	ant		mapruːŋ	ma pruːŋ	m p	M P	M P	23	63	ant:MP	69
279	Palaung-Namhsan	pce	ant		briŋ	b r i ŋ	b r i N	P R V N	P R I N	23	63	ant:PR	72
280	Riang-Sak	ril	ant		pruɲ²	p r u ɲ	p r u H	P R V N	P R Y N	23	63	ant:PR	72
283	Wa-Praok	prk	ant		mɯc	m ɯ c	m u T	M V K	M I C	3	68	ant:MK	67
289	Karii	pkt	ant		kaɲàːrʔ	k a ɲ àː r ʔ	k a H a r 7	K V N V R H	K A N A R H	26	65	ant:KN	65
292	Ruc	scb	ant		kiḛ̀m	k i ḛ̀ m	k i e m	K V V M	K I E M	28	66	ant:KM	64
295	Vietnamese	vie	ant		kiến	k i e n	k i e n	K V V N	K I E N	28	66	ant:KN	65
299	Alak	alk	arrow		plaː	p l aː	p l a	P R V	P L A	2	80	arrow:PR	93
300	Bahnar-Golar	bdq	arrow		mrɔm	m r ɔ m	m r o m	M R V M	M R U M	3	86	arrow:MR	89
301	Bahnar-Kontum	bdq	arrow		mrɔm	m r ɔ m	m r o m	M R V M	M R U M	3	86	arrow:MR	89
302	Bahnar-Pleiku	bdq	arrow		ɓrəm	ɓ r ə m	b r I m	P R V M	P R E M	3	86	arrow:PR	93
303	Brao	brb	arrow		draŋ	d r a ŋ	d r a N	T R V N	T R A N	4	87	arrow:TR	100
307	Cua	cua	arrow		rʌŋ	r ʌ ŋ	r o N	R V N	R E N	4	87	arrow:RN	95
308	Cua	cua	arrow		nɔːk	n ɔː k	n o k	N V K	N U K	7	90	arrow:NK	90
309	Halang	hal	arrow		sɔar	s ɔa r	s o r	S V R	S U R	8	91	arrow:SR	97
310	Jeh	jeh	arrow		plaː	p l aː	p l a	P R V	P L A	2	80	arrow:PR	93
311	Jru-Laven	lbo	arrow		tɔŋ	t ɔ ŋ	t o N	T V N	T U N	9	92	arrow:TN	99
314	Mnong-Rölöm	mng	arrow		kamtlak	kam tlak	k t	K T	K T	6	89	arrow:KT	88
315	Nyaheun	nev	arrow		tɔːŋ	t ɔː ŋ	t o N	T V N	T U N	9	92	arrow:TN	99
