ID	DOCULECT	GLOTTOCODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	INFERRED_CLASS	INFOMAPID
24	Djinang	djin1253	ABOVE		gurgi	g u r g i	K V R K V	g u r g i	K Y R K I	ABOVE:15	15	ABOVE:13	13
43	Djiwarli	djiw1241	ABOVE		jiraɹa	j i r a ɹ a	J V R V R V	y i r a r a	J I R A R A	ABOVE:31	31	ABOVE:5	5
21	Dyaabugay	dyaa1242	ABOVE		waŋgaɹ	w a ŋ g a ɹ	W V N K V R	w a N g a r	W A N K A R	ABOVE:32	32	ABOVE:14	14
27	Gamilaraay	gami1243	ABOVE		ŋuriba	ŋ u r i b a	N V R V P V	N u r i b a	N Y R I P A	ABOVE:26	26	ABOVE:4	4
45	Gamilaraay	gami1243	ABOVE		ŋguriba	ŋ g u r i b a	N K V R V P V	N g u r i b a	N K Y R I P A	ABOVE:26	26	ABOVE:4	4
35	Gupapuyngu	gupa1247	ABOVE		garwaɹ	g a r w a ɹ	K V R W V R	g a r w a r	K A R W A R	ABOVE:56	56	ABOVE:2	2
56	Gurdjar	gurd1238	ABOVE		ŋkaːɖ	ŋ k aː ɖ	N K V T	N k a d	N K A T	ABOVE:32	32	ABOVE:7	7
57	Gurdjar	gurd1238	ABOVE		ŋkaɖijaŋ	ŋ k a ɖ i j a ŋ	N K V T V J V N	N k a d i y a N	N K A T I J A N	ABOVE:32	32	ABOVE:7	7
36	Gurindji	guri1247	ABOVE		kankula	k a n k u l a	K V N K V R V	k a n k u l a	K A N K Y L A	ABOVE:34	34	ABOVE:1	1
38	Guyani	guya1249	ABOVE		kaɹa	k a ɹ a	K V R V	k a r a	K A R A	ABOVE:18	18	ABOVE:2	2
40	Jaru	jaru1254	ABOVE		gaŋani	g a ŋ a n i	K V N V N V	g a N a n i	K A N A N I	ABOVE:34	34	ABOVE:6	6
41	Jaru	jaru1254	ABOVE		gaŋanimaɹaŋo	g a ŋ a n i m a ɹ a ŋ o	K V N V N V M V R V N V	g a N a n i m a r a N o	K A N A N I M A R A N U	ABOVE:34	34	ABOVE:6	6
59	Kala Lagaw Ya	kala1377	ABOVE		gimal	g i m a l	K V M V R	g i m a l	K I M A L	ABOVE:57	57	ABOVE:15	15
44	Kalkutung	kalk1246	ABOVE		pirin̪a	p i r i n̪ a	P V R V N V	p i r i n a	P I R I N A	ABOVE:30	30	ABOVE:3	3
46	Karadjeri	kara1476	ABOVE		kantiŋka	k a n t i ŋ k a	K V N T V N K V	k a n t i N k a	K A N T I N K A	ABOVE:45	45	ABOVE:1	1
49	Kartujarra	kart1247	ABOVE		katuwanacanu	k a t u w a n a c a n u	K V T V W V N V K V N V	k a t u w a n a T a n u	K A T Y W A N A C A N Y	ABOVE:55	55	ABOVE:16	16
51	Kaurna	kaur1267	ABOVE		kara	k a r a	K V R V	k a r a	K A R A	ABOVE:18	18	ABOVE:11	11
53	Kukatja	kuka1246	ABOVE		gaŋaɹa	g a ŋ a ɹ a	K V N V R V	g a N a r a	K A N A R A	ABOVE:34	34	ABOVE:6	6
54	Kuku-Yalanji	kuku1273	ABOVE		waŋkaɹwaŋkaɹ	w a ŋ k a ɹ w a ŋ k a ɹ	W V N K V R W V N K V R	w a N k a r w a N k a r	W A N K A R W A N K A R	ABOVE:32	32	ABOVE:17	17
31	Kumbainggar	kumb1268	ABOVE		waɹu	w a ɹ u	W V R V	w a r u	W A R Y	ABOVE:13	13	ABOVE:9	9
64	Martu Wangka	mart1256	ABOVE		kanka	k a n k a	K V N K V	k a n k a	K A N K A	ABOVE:34	34	ABOVE:1	1
68	Mudburra	mudb1240	ABOVE		dimbu	d i m b u	T V M P V	d i m b u	T I M P Y	ABOVE:23	23	ABOVE:18	18
70	Muruwari	muru1266	ABOVE		karanta	k a r a n t a	K V R V N T V	k a r a n t a	K A R A N T A	ABOVE:49	49	ABOVE:19	19
80	Narrinyeri	narr1259	ABOVE		t̪alwulda	t̪ a l w u l d a	T V R W V R T V	t a l w u l d a	T A L W Y L T A	ABOVE:25	25	ABOVE:2	2
72	Ngaanyatjarra	ngaa1240	ABOVE		kankaɹara	k a n k a ɹ a r a	K V N K V R V R V	k a n k a r a r a	K A N K A R A R A	ABOVE:34	34	ABOVE:1	1
75	Ngamini	ngam1284	ABOVE		kuɹumu	k u ɹ u m u	K V R V M V	k u r u m u	K Y R Y M Y	ABOVE:24	24	ABOVE:20	20
77	Ngarinman	ngar1235	ABOVE		dalwir	d a l w i r	T V R W V R	d a l w i r	T A L W I R	ABOVE:1	1	ABOVE:2	2
79	Ngarluma	ngar1287	ABOVE		gankanmani	g a n k a n m a n i	K V N K V N M V N V	g a n k a n m a n i	K A N K A N M A N I	ABOVE:34	34	ABOVE:1	1
112	Ngura	ngur1261	ABOVE		piʈabada	p i ʈ a b a d a	P V T V P V T V	p i t a b a d a	P I T A P A T A	ABOVE:38	38	ABOVE:21	21
85	Northern Coastal Nyangumarta	nort2754	ABOVE		kanka	k a n k a	K V N K V	k a n k a	K A N K A	ABOVE:34	34	ABOVE:1	1
86	Nyamal	nyam1271	ABOVE		kankaɭa	k a n k a ɭ a	K V N K V R V	k a n k a L a	K A N K A L A	ABOVE:34	34	ABOVE:1	1
87	Nyangumarta	nyan1301	ABOVE		kanka	k a n k a	K V N K V	k a n k a	K A N K A	ABOVE:34	34	ABOVE:1	1
88	Nyunga	nyun1247	ABOVE		jeaɹeɹ	j e a ɹ e ɹ	J V V R V R	y e a r e r	J E A R E R	ABOVE:1	1	ABOVE:22	22
91	Panytyima	pany1241	ABOVE		kankala	k a n k a l a	K V N K V R V	k a n k a l a	K A N K A L A	ABOVE:34	34	ABOVE:1	1
96	Pitjantjatjara	pitj1243	ABOVE		katu	k a t u	K V T V	k a t u	K A T Y	ABOVE:55	55	ABOVE:23	23
97	Pitta Pitta	pitt1247	ABOVE		jakiɭi_ŋalpa	j a k i ɭ i ŋ a l p a	J V K V R V N V R P V	y a k i L i N a l p a	J A K I L I N A L P A	ABOVE:40	40	ABOVE:24	24
99	Ritarungo	rita1239	ABOVE		garwaɹ	g a r w a ɹ	K V R W V R	g a r w a r	K A R W A R	ABOVE:56	56	ABOVE:2	2
16	Sydney	sydn1236	ABOVE		buɹawa	b u ɹ a w a	P V R V W V	b u r a w a	P Y R A W A	ABOVE:27	27	ABOVE:3	3
39	Sydney	sydn1236	ABOVE		buɹawɔ	b u ɹ a w ɔ	P V R V W V	b u r a w o	P Y R A W U	ABOVE:1	1	ABOVE:3	3
104	Wagaya	waga1260	ABOVE		jupantu	j u p a n t u	J V P V N T V	y u p a n t u	J Y P A N T Y	ABOVE:33	33	ABOVE:25	25
105	Wagaya	waga1260	ABOVE		kinkaɭ	k i n k a ɭ	K V N K V R	k i n k a L	K I N K A L	ABOVE:33	33	ABOVE:1	1
106	Wagaya	waga1260	ABOVE		cemantuɹu	c e m a n t u ɹ u	K V M V N T V R V	T e m a n t u r u	C E M A N T Y R Y	ABOVE:33	33	ABOVE:33	33
117	Wanman	wanm1242	ABOVE		kankaɳi	k a n k a ɳ i	K V N K V N V	k a n k a n i	K A N K A N I	ABOVE:34	34	ABOVE:1	1
118	Wariyangga	wari1262	ABOVE		jiraɹa	j i r a ɹ a	J V R V R V	y i r a r a	J I R A R A	ABOVE:1	1	ABOVE:5	5
115	Warlpiri	warl1254	ABOVE		kankaɭaɳi	k a n k a ɭ a ɳ i	K V N K V R V N V	k a n k a L a n i	K A N K A L A N I	ABOVE:34	34	ABOVE:1	1
119	Warumungu	waru1265	ABOVE		aʈtinci	a ʈ t i n c i	V T T V N K V	a t t i n T i	A T T I N C I	ABOVE:19	19	ABOVE:26	26
121	Wathawurrung	wath1238	ABOVE		kobaŋi	k o b a ŋ i	K V P V N V	k o b a N i	K U P A N I	ABOVE:47	47	ABOVE:27	27
122	Wathawurrung	wath1238	ABOVE		kombaba	k o m b a b a	K V M P V P V	k o m b a b a	K U M P A P A	ABOVE:47	47	ABOVE:32	32
124	Wik-Mungkan	wikm1247	ABOVE		woɲam	w o ɲ a m	W V N V M	w o H a m	W U N A M	ABOVE:1	1	ABOVE:28	28
125	Wiradhuri	wira1262	ABOVE		birabaŋ	b i r a b a ŋ	P V R V P V N	b i r a b a N	P I R A P A N	ABOVE:30	30	ABOVE:29	29
126	Wirangu-Nauo	wira1260	ABOVE		gaɖidja	g a ɖ i d j a	K V T V T J V	g a d i d y a	K A T I T J A	ABOVE:22	22	ABOVE:30	30
131	Yan-nhangu	yann1237	ABOVE		gaɳgija	g a ɳ g i j a	K V N K V J V	g a n g i y a	K A N K I J A	ABOVE:1	1	ABOVE:1	1
132	Yandruwandha	yand1253	ABOVE		t̪alka	t̪ a l k a	T V R K V	t a l k a	T A L K A	ABOVE:28	28	ABOVE:8	8
133	Yandruwandha	yand1253	ABOVE		kanra	k a n r a	K V N R V	k a n r a	K A N R A	ABOVE:28	28	ABOVE:6	6
136	Yawarawarga	yawa1258	ABOVE		datca	d a t c a	T V T K V	d a t T a	T A T C A	ABOVE:39	39	ABOVE:8	8
138	Yindjibarndi	yind1247	ABOVE		kankaɭa	k a n k a ɭ a	K V N K V R V	k a n k a L a	K A N K A L A	ABOVE:34	34	ABOVE:1	1
139	Yorta Yorta	yort1237	ABOVE		pukut	p u k u t	P V K V T	p u k u t	P Y K Y T	ABOVE:14	14	ABOVE:31	31
8	Yugambeh-Bandjalang	band1339	ABOVE		waj	w a j	W V J	w a y	W A J	ABOVE:42	42	ABOVE:9	9
141	Yulparitja	yulp1238	ABOVE		kankaɳiŋuɹu	k a n k a ɳ i ŋ u ɹ u	K V N K V N V N V R V	k a n k a n i N u r u	K A N K A N I N Y R Y	ABOVE:34	34	ABOVE:1	1
142	Yuwaalaraay	yuwa1242	ABOVE		ŋaribaːgili	ŋ a r i b aː g i l i	N V R V P V K V R V	N a r i b a g i l i	N A R I P A K I L I	ABOVE:26	26	ABOVE:4	4
257	Adnyamathanha	adny1235	ALL		wapu	w a p u	W V P V	w a p u	W A P Y	ALL:133	133	ALL:45	45
258	Alyawarr	alya1239	ALL		eŋker	e ŋ k e r	V N K V R	e N k e r	E N K E R	ALL:150	150	ALL:63	63
259	Arabana	arab1267	ALL		pɹatcanta	p ɹ a t c a n t a	P R V T K V N T V	p r a t T a n t a	P R A T C A N T A	ALL:128	128	ALL:64	64
329	Banggarla	bang1339	ALL		padlujunu	p a d l u j u n u	P V T R V J V N V	p a d l u y u n u	P A T L Y J Y N Y	ALL:135	135	ALL:65	65
330	Bayungu	bayu1240	ALL		wurajimpa	w u r a j i m p a	W V R V J V M P V	w u r a y i m p a	W Y R A J I M P A	ALL:1	1	ALL:66	66
267	Dhangu	dhan1270	ALL		warpamʔ	w a r p a m ʔ	W V R P V M H	w a r p a m 7	W A R P A M H	ALL:121	121	ALL:35	35
268	Dhuwal	dhuw1249	ALL		warpamʔ	w a r p a m ʔ	W V R P V M H	w a r p a m 7	W A R P A M H	ALL:121	121	ALL:35	35
270	Dieri	dier1241	ALL		parcaɳa	p a r c a ɳ a	P V R K V N V	p a r T a n a	P A R C A N A	ALL:128	128	ALL:34	34
272	Djambarrpuyngu	djam1256	ALL		bukmak	b u k m a k	P V K M V K	b u k m a k	P Y K M A K	ALL:125	125	ALL:41	41
274	Djinang	djin1253	ALL		ŋajama	ŋ a j a m a	N V J V M V	N a y a m a	N A J A M A	ALL:124	124	ALL:48	48
289	Djiwarli	djiw1241	ALL		ɖan	ɖ a n	T V N	d a n	T A N	ALL:153	153	ALL:67	67
271	Dyaabugay	dyaa1242	ALL		ɲiŋajcada	ɲ i ŋ a j c a d a	N V N V J K V T V	H i N a y T a d a	N I N A J C A T A	ALL:149	149	ALL:68	68
277	Gamilaraay	gami1243	ALL		ganu	g a n u	K V N V	g a n u	K A N Y	ALL:131	131	ALL:38	38
290	Gamilaraay	gami1243	ALL		guno	g u n o	K V N V	g u n o	K Y N U	ALL:131	131	ALL:38	38
284	Gupapuyngu	gupa1247	ALL		warpamʔ	w a r p a m ʔ	W V R P V M H	w a r p a m 7	W A R P A M H	ALL:121	121	ALL:35	35
300	Gurdjar	gurd1238	ALL		wok	w o k	W V K	w o k	W U K	ALL:162	162	ALL:69	69
301	Gurdjar	gurd1238	ALL		βaːr	β aː r	P V R	b a r	B A R	ALL:162	162	ALL:36	36
285	Gurindji	guri1247	ALL		purpːaɳi	p u r pː a ɳ i	P V R P V N V	p u r p a n i	P Y R P A N I	ALL:129	129	ALL:47	47
287	Guyani	guya1249	ALL		kuɹu	k u ɹ u	K V R V	k u r u	K Y R Y	ALL:133	133	ALL:49	49
288	Jaru	jaru1254	ALL		waɲcuwuracara	w a ɲ c u w u r a c a r a	W V N K V W V R V K V R V	w a H T u w u r a T a r a	W A N C Y W Y R A C A R A	ALL:137	137	ALL:50	50
303	Kala Lagaw Ya	kala1377	ALL		muɹa	m u ɹ a	M V R V	m u r a	M Y R A	ALL:123	123	ALL:42	42
291	Karadjeri	kara1476	ALL		wakac	w a k a c	W V K V K	w a k a T	W A K A C	ALL:165	165	ALL:51	51
294	Kartujarra	kart1247	ALL		jaɳŋala	j a ɳ ŋ a l a	J V N N V R V	y a n N a l a	J A N N A L A	ALL:1	1	ALL:43	43
295	Kaurna	kaur1267	ALL		paʈanːa	p a ʈ a nː a	P V T V N V	p a t a n a	P A T A N A	ALL:128	128	ALL:34	34
296	Kukatja	kuka1246	ALL		laltu	l a l t u	R V R T V	l a l t u	L A L T Y	ALL:120	120	ALL:44	44
297	Kuku-Yalanji	kuku1273	ALL		wubul	w u b u l	W V P V R	w u b u l	W Y P Y L	ALL:155	155	ALL:45	45
280	Kumbainggar	kumb1268	ALL		biːn	b iː n	P V N	b i n	P I N	ALL:118	118	ALL:34	34
302	Kuuku-Ya'u	kuuk1238	ALL		mukamukan	m u k a m u k a n	M V K V M V K V N	m u k a m u k a n	M Y K A M Y K A N	ALL:122	122	ALL:52	52
316	Lower Riverland	lowe1402	ALL		m_upːo	m u pː o	M V P V	m u p o	M Y P U	ALL:157	157	ALL:53	53
306	Margany	marg1253	ALL		biriɲ	b i r i ɲ	P V R V N	b i r i H	P I R I N	ALL:151	151	ALL:54	54
307	Martu Wangka	mart1256	ALL		jaɳŋa	j a ɳ ŋ a	J V N N V	y a n N a	J A N N A	ALL:146	146	ALL:43	43
311	Mudburra	mudb1240	ALL		kuwaɲca	k u w a ɲ c a	K V W V N K V	k u w a H T a	K Y W A N C A	ALL:134	134	ALL:40	40
313	Muruwari	muru1266	ALL		kurukuru	k u r u k u r u	K V R V K V R V	k u r u k u r u	K Y R Y K Y R Y	ALL:133	133	ALL:46	46
320	Narrinyeri	narr1259	ALL		tulda	t u l d a	T V R T V	t u l d a	T Y L T A	ALL:140	140	ALL:55	55
315	Ngaanyatjarra	ngaa1240	ALL		piɳiɲaʈu	p i ɳ i ɲ a ʈ u	P V N V N V T V	p i n i H a t u	P I N I N A T Y	ALL:118	118	ALL:34	34
317	Ngamini	ngam1284	ALL		parcana	p a r c a n a	P V R K V N V	p a r T a n a	P A R C A N A	ALL:128	128	ALL:47	47
319	Ngarluma	ngar1287	ALL		cuɭu	c u ɭ u	K V R V	T u L u	C Y L Y	ALL:168	168	ALL:39	39
345	Ngura	ngur1261	ALL		maru	m a r u	M V R V	m a r u	M A R Y	ALL:130	130	ALL:42	42
323	Northern Coastal Nyangumarta	nort2754	ALL		wir	w i r	W V R	w i r	W I R	ALL:167	167	ALL:36	36
324	Nyamal	nyam1271	ALL		wiːr	w iː r	W V R	w i r	W I R	ALL:1	1	ALL:36	36
325	Nyangumarta	nyan1301	ALL		wir	w i r	W V R	w i r	W I R	ALL:167	167	ALL:36	36
326	Nyunga	nyun1247	ALL		bunduŋ	b u n d u ŋ	P V N T V N	b u n d u N	P Y N T Y N	ALL:1	1	ALL:34	34
327	Paakantyi	darl1243	ALL		gudaguda	g u d a g u d a	K V T V K V T V	g u d a g u d a	K Y T A K Y T A	ALL:126	126	ALL:56	56
328	Panytyima	pany1241	ALL		cuɭu	c u ɭ u	K V R V	T u L u	C Y L Y	ALL:168	168	ALL:39	39
332	Pitjantjatjara	pitj1243	ALL		uwankaɹa	u w a n k a ɹ a	V W V N K V R V	u w a n k a r a	Y W A N K A R A	ALL:119	119	ALL:40	40
333	Pitjantjatjara	pitj1243	ALL		winki	w i n k i	W V N K V	w i n k i	W I N K I	ALL:119	119	ALL:40	40
335	Ritarungo	rita1239	ALL		warpamʔ	w a r p a m ʔ	W V R P V M H	w a r p a m 7	W A R P A M H	ALL:121	121	ALL:35	35
338	Wagaya	waga1260	ALL		mukeɭ	m u k e ɭ	M V K V R	m u k e L	M Y K E L	ALL:148	148	ALL:37	37
349	Warlpiri	warl1254	ALL		muku	m u k u	M V K V	m u k u	M Y K Y	ALL:122	122	ALL:37	37
350	Warumungu	waru1265	ALL		mukːu	m u kː u	M V K V	m u k u	M Y K Y	ALL:122	122	ALL:37	37
353	Wik-Mungkan	wikm1247	ALL		maˀmaŋkam	m a ˀm a ŋ k a m	M V M V N K V M	m a m a N k a m	M A M A N K A M	ALL:156	156	ALL:57	57
354	Wiradhuri	wira1262	ALL		bijaŋgalaŋ	b i j a ŋ g a l a ŋ	P V J V N K V R V N	b i y a N g a l a N	P I J A N K A L A N	ALL:147	147	ALL:58	58
355	Wirangu-Nauo	wira1260	ALL		jabu	j a b u	J V P V	y a b u	J A P Y	ALL:138	138	ALL:59	59
357	Yan-nhangu	yann1237	ALL		bukmak	b u k m a k	P V K M V K	b u k m a k	P Y K M A K	ALL:125	125	ALL:41	41
358	Yandruwandha	yand1253	ALL		malka	m a l k a	M V R K V	m a l k a	M A L K A	ALL:139	139	ALL:37	37
359	Yandruwandha	yand1253	ALL		pani	p a n i	P V N V	p a n i	P A N I	ALL:139	139	ALL:34	34
360	Yandruwandha	yand1253	ALL		panina	p a n i n a	P V N V N V	p a n i n a	P A N I N A	ALL:139	139	ALL:34	34
363	Yawarawarga	yawa1258	ALL		panina	p a n i n a	P V N V N V	p a n i n a	P A N I N A	ALL:152	152	ALL:34	34
364	Yindjibarndi	yind1247	ALL		culu	c u l u	K V R V	T u l u	C Y L Y	ALL:168	168	ALL:39	39
365	Yorta Yorta	yort1237	ALL		wuta	w u t a	W V T V	w u t a	W Y T A	ALL:160	160	ALL:60	60
261	Yugambeh-Bandjalang	band1339	ALL		gumbih	g u m b i h	K V M P V H	g u m b i h	K Y M P I H	ALL:1	1	ALL:61	61
367	Yulparitja	yulp1238	ALL		laltu	l a l t u	R V R T V	l a l t u	L A L T Y	ALL:120	120	ALL:44	44
368	Yuwaalaraay	yuwa1242	ALL		ganu	g a n u	K V N V	g a n u	K A N Y	ALL:131	131	ALL:38	38
369	Yuwaalaraay	yuwa1242	ALL		ganuŋawu	g a n u ŋ a w u	K V N V N V W V	g a n u N a w u	K A N Y N A W Y	ALL:131	131	ALL:38	38
370	Yuwaalaraay	yuwa1242	ALL		guruguru	g u r u g u r u	K V R V K V R V	g u r u g u r u	K Y R Y K Y R Y	ALL:131	131	ALL:46	46
371	Yuwaalaraay	yuwa1242	ALL		aːbali	aː b a l i	V P V R V	a b a l i	A P A L I	ALL:131	131	ALL:62	62
372	Adnyamathanha	adny1235	AND		adni	a d n i	V T N V	a d n i	A T N I	AND:202	202	AND:99	99
373	Arabana	arab1267	AND		ncuɖu	n c u ɖ u	N K V T V	n T u d u	N C Y T Y	AND:204	204	AND:100	100
441	Banggarla	bang1339	AND		into	i n t o	V N T V	i n t o	I N T U	AND:215	215	AND:101	101
442	Bayungu	bayu1240	AND		cibi	c i b i	K V P V	T i b i	C I P I	AND:195	195	AND:73	73
445	Dhalandji	dhal1245	AND		cibi	c i b i	K V P V	T i b i	C I P I	AND:195	195	AND:73	73
377	Dhangu	dhan1270	AND		ga	g a	K V	g a	K A	AND:223	223	AND:70	70
446	Dhargari	dhar1247	AND		paɹu	p a ɹ u	P V R V	p a r u	P A R Y	AND:196	196	AND:71	71
380	Dhuwal	dhuw1249	AND		ga	g a	K V	g a	K A	AND:223	223	AND:70	70
382	Dieri	dier1241	AND		ja	j a	J V	y a	J A	AND:225	225	AND:75	75
384	Djambarrpuyngu	djam1256	AND		ga	g a	K V	g a	K A	AND:223	223	AND:70	70
386	Djinang	djin1253	AND		a	a	V	a	A	AND:224	224	AND:81	81
403	Djiwarli	djiw1241	AND		cibi	c i b i	K V P V	T i b i	C I P I	AND:195	195	AND:73	73
383	Dyaabugay	dyaa1242	AND		cata	c a t a	K V T V	T a t a	C A T A	AND:181	181	AND:82	82
389	Gamilaraay	gami1243	AND		jilːibu	j i lː i b u	J V R V P V	y i l i b u	J I L I P Y	AND:1	1	AND:77	77
405	Gamilaraay	gami1243	AND		jilːibu	j i lː i b u	J V R V P V	y i l i b u	J I L I P Y	AND:212	212	AND:77	77
397	Gupapuyngu	gupa1247	AND		ga	g a	K V	g a	K A	AND:223	223	AND:70	70
416	Gurdjar	gurd1238	AND		ar	a r	V R	a r	A R	AND:191	191	AND:80	80
398	Gurindji	guri1247	AND		purpur	p u r p u r	P V R P V R	p u r p u r	P Y R P Y R	AND:185	185	AND:102	102
400	Guyani	guya1249	AND		cudɹu	c u d ɹ u	K V T R V	T u d r u	C Y T R Y	AND:213	213	AND:83	83
401	Guyani	guya1249	AND		puntuna	p u n t u n a	P V N T V N V	p u n t u n a	P Y N T Y N A	AND:213	213	AND:95	95
402	Guyani	guya1249	AND		cunpanalu	c u n p a n a l u	K V N P V N V R V	T u n p a n a l u	C Y N P A N A L Y	AND:213	213	AND:97	97
418	Kala Lagaw Ya	kala1377	AND		a	a	V	a	A	AND:224	224	AND:103	103
404	Kalkutung	kalk1246	AND		jana	j a n a	J V N V	y a n a	J A N A	AND:193	193	AND:74	74
406	Karadjeri	kara1476	AND		pa	p a	P V	p a	P A	AND:211	211	AND:71	71
409	Kartujarra	kart1247	AND		wituka	w i t u k a	W V T V K V	w i t u k a	W I T Y K A	AND:218	218	AND:84	84
411	Kaurna	kaur1267	AND		kuma	k u m a	K V M V	k u m a	K Y M A	AND:201	201	AND:72	72
413	Kukatja	kuka1246	AND		kamu	k a m u	K V M V	k a m u	K A M Y	AND:189	189	AND:72	72
414	Kuku-Yalanji	kuku1273	AND		ŋara	ŋ a r a	N V R V	N a r a	N A R A	AND:191	191	AND:85	85
391	Kumbainggar	kumb1268	AND		garaː	g a r aː	K V R V	g a r a	K A R A	AND:198	198	AND:70	70
392	Kumbainggar	kumb1268	AND		waw	w a w	W V W	w a w	W A W	AND:198	198	AND:96	96
393	Kumbainggar	kumb1268	AND		jurga	j u r g a	J V R K V	y u r g a	J Y R K A	AND:198	198	AND:98	98
417	Kuuku-Ya'u	kuuk1238	AND		kuji	k u j i	K V J V	k u y i	K Y J I	AND:180	180	AND:86	86
428	Lower Riverland	lowe1402	AND		meːto	m eː t o	M V T V	m e t o	M E T U	AND:200	200	AND:78	78
429	Lower Riverland	lowe1402	AND		metko	m e t k o	M V T K V	m e t k o	M E T K U	AND:200	200	AND:78	78
420	Martu Wangka	mart1256	AND		ka	k a	K V	k a	K A	AND:223	223	AND:70	70
421	Martu Wangka	mart1256	AND		kaː	k aː	K V	k a	K A	AND:223	223	AND:70	70
425	Muruwari	muru1266	AND		t̪aka	t̪ a k a	T V K V	t a k a	T A K A	AND:207	207	AND:87	87
431	Narrinyeri	narr1259	AND		uŋenaŋ	u ŋ e n a ŋ	V N V N V N	u N e n a N	Y N E N A N	AND:187	187	AND:88	88
426	Ngaanyatjarra	ngaa1240	AND		ka	k a	K V	k a	K A	AND:223	223	AND:70	70
430	Ngamini	ngam1284	AND		ja	j a	J V	y a	J A	AND:225	225	AND:75	75
435	Northern Coastal Nyangumarta	nort2754	AND		pa	p a	P V	p a	P A	AND:211	211	AND:71	71
436	Nyamal	nyam1271	AND		pa	p a	P V	p a	P A	AND:1	1	AND:71	71
437	Nyangumarta	nyan1301	AND		pa	p a	P V	p a	P A	AND:211	211	AND:71	71
438	Nyunga	nyun1247	AND		guɖciɹ	g u ɖ c i ɹ	K V T K V R	g u d T i r	K Y T C I R	AND:190	190	AND:89	89
439	Paakantyi	darl1243	AND		ŋa	ŋ a	N V	N a	N A	AND:184	184	AND:79	79
440	Panytyima	pany1241	AND		kunu	k u n u	K V N V	k u n u	K Y N Y	AND:203	203	AND:76	76
443	Pitjantjatjara	pitj1243	AND		munu	m u n u	M V N V	m u n u	M Y N Y	AND:221	221	AND:74	74
444	Ritarungo	rita1239	AND		bili	b i l i	P V R V	b i l i	P I L I	AND:182	182	AND:90	90
448	Wagaya	waga1260	AND		pa	p a	P V	p a	P A	AND:211	211	AND:71	71
457	Wanman	wanm1242	AND		kamu	k a m u	K V M V	k a m u	K A M Y	AND:189	189	AND:72	72
458	Wariyangga	wari1262	AND		cipi	c i p i	K V P V	T i p i	C I P I	AND:195	195	AND:73	73
456	Warlpiri	warl1254	AND		manu	m a n u	M V N V	m a n u	M A N Y	AND:221	221	AND:74	74
459	Warumungu	waru1265	AND		kami	k a m i	K V M V	k a m i	K A M I	AND:189	189	AND:72	72
460	Warumungu	waru1265	AND		kapi	k a p i	K V P V	k a p i	K A P I	AND:189	189	AND:73	73
461	Wathawurrung	wath1238	AND		baː	b aː	P V	b a	P A	AND:211	211	AND:71	71
463	Wik-Mungkan	wikm1247	AND		aʔ	a ʔ	V H	a 7	A H	AND:224	224	AND:91	91
464	Wiradhuri	wira1262	AND		gan̪aŋ	g a n̪ a ŋ	K V N V N	g a n a N	K A N A N	AND:217	217	AND:76	76
465	Wirangu-Nauo	wira1260	AND		ba	b a	P V	b a	P A	AND:211	211	AND:71	71
