ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	INFERRED_CLASS	EDITID
18783	Rarotongan	?	above		runga	r u n g a	R V N K V	r u n g a	R Y N K A	9	6	above:1	1
34850	Rennellese	?	above		a/gunga/	a g u n g a	V K V N K V	a g u n g a	A K Y N K A	9	6	above:1	1
51646	Rurutuan	?	above		nuʔa	n u ʔ a	N V H V	n u 7 a	N Y H A	9	6	above:1	1
61579	Tagalog	?	above		ibabaw	i b a b a w	V P V P V W	i b a b a w	I P A P A W	2	5	above:4	4
61580	Tagalog	?	above		itaas	i t aa s	V T V S	i t a s	I T A S	1	1	above:2	2
43191	TagalogAnthonydelaPaz	?	above		ibabaw	i b a b a w	V P V P V W	i b a b a w	I P A P A W	2	5	above:4	4
43192	TagalogAnthonydelaPaz	?	above		itaas	i t aa s	V T V S	i t a s	I T A S	1	1	above:2	2
30012	TahitianModern	?	above		nia	n ia	N V	n i	N I	9	6	above:25	25
22491	Tuamotu	?	above		ruŋa	r u ŋ a	R V N V	r u N a	R Y N A	9	6	above:1	1
28401	UveaEast	?	above		o/luga/	o l u g a	V R V K V	o l u g a	U L Y K A	9	6	above:1	1
30193	WesternBukidnonManobo	?	above		divavew	d i v a v e w	T V W V W V W	d i v a v e w	T I B A B E W	2	5	above:4	4
54886	Woleai	?	above		woa	w oa	W V	w o	W U	2	5	above:3	3
812	Yami	?	above		tiŋatoʔ	t i ŋ a t o ʔ	T V N V T V H	t i N a t o 7	T I N A T U H	16	3	above:8	8
35390	Anuta	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7	all:26	26
25676	BanjareseMalay	?	all		samuaan	s a m uaa n	S V M V N	s a m u n	S A M Y N	33	14	all:27	27
18444	Cebuano	?	all		tanan	t a n a n	T V N V N	t a n a n	T A N A N	24	11	all:27	27
12483	Chuukese	?	all		meyinisin	m eyi n i s i n	M V N V S V N	m e n i s i n	M E N I S I N	3	13	all:29	29
55232	ChuukeseAKATrukese	?	all		menisin	m e n i s i n	M V N V S V N	m e n i s i n	M E N I S I N	3	13	all:29	29
29030	DayakNgaju	?	all		uras	u r a s	V R V S	u r a s	Y R A S	23	10	all:31	31
40310	FutunaEast	?	all		fuli	f u l i	P V R V	f u l i	B Y L I	14	8	all:32	32
40311	FutunaEast	?	all		kaatoa	k aa t oa	K V T V	k a t o	K A T U	13	7	all:26	26
28170	Imorod	?	all		akani	a k a n i	V K V N V	a k a n i	A K A N I	25	12	all:26	26
29089	Indonesian	?	all		semua	s e m ua	S V M V	s e m u	S E M Y	33	14	all:34	34
33295	Iraralay	?	all		kano	k a n o	K V N V	k a n o	K A N U	25	12	all:26	26
740	Isamorong	?	all		kani	k a n i	K V N V	k a n i	K A N I	25	12	all:26	26
49324	Itbayat	?	all		kanira	k a n i r a	K V N V R V	k a n i r a	K A N I R A	25	12	all:26	26
65483	Ivasay	?	all		kano	k a n o	K V N V	k a n o	K A N U	25	12	all:26	26
31546	Katingan	?	all		uras	u r a s	V R V S	u r a s	Y R A S	23	10	all:31	31
20079	Lakalai	?	all		tomi	t o m i	T V M V	t o m i	T U M I	18	9	all:34	34
63722	Luangiua	?	all		h/aakoa	h aa k oa	H V K V	h a k o	H A K U	13	7	all:41	41
12209	MalayBahasaIndonesia	?	all		semua	s e m ua	S V M V	s e m u	S E M Y	33	14	all:34	34
35886	Maori	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7	all:26	26
41099	NakanaiBilekiDialect	?	all		tomi	t o m i	T V M V	t o m i	T U M I	18	9	all:34	34
52384	Niue	?	all		gotoa	g o t oa	K V T V	g o t o	K U T U	13	7	all:26	26
12025	Penrhyn	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7	all:26	26
53793	Rarotongan	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7	all:26	26
29853	Rennellese	?	all		hugi	h u g i	H V K V	h u g i	H Y K I	14	8	all:32	32
29854	Rennellese	?	all		kaatoa	k aa t oa	K V T V	k a t o	K A T U	13	7	all:26	26
46811	Rurutuan	?	all		paaʔaatoʔa	p aa ʔ aa t o ʔ a	P V H V T V H V	p a 7 a t o 7 a	P A H A T U H A	13	7	all:49	49
14698	Samoan	?	all		ʔatoa	ʔ a t oa	H V T V	7 a t o	H A T U	13	7	all:26	26
11258	Sikaiana	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7	all:26	26
35312	Surigaonon	?	all		tanan	t a n a n	T V N V N	t a n a n	T A N A N	24	11	all:27	27
1925	Tagalog	?	all		lahat	l a h a t	R V H V T	l a h a t	L A H A T	37	15	all:27	27
6931	TagalogAnthonydelaPaz	?	all		lahat	l a h a t	R V H V T	l a h a t	L A H A T	37	15	all:27	27
6714	TahitianModern	?	all		atoa	a t oa	V T V	a t o	A T U	13	7	all:26	26
16204	Tikopia	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7	all:26	26
41571	Tongan	?	all		kotoa	k o t oa	K V T V	k o t o	K U T U	13	7	all:26	26
22992	Tuamotu	?	all		katoŋa	k a t o ŋ a	K V T V N V	k a t o N a	K A T U N A	13	7	all:26	26
26293	UveaEast	?	all		fulifuli	f u l i f u l i	P V R V P V R V	f u l i f u l i	B Y L I B Y L I	14	8	all:32	32
26294	UveaEast	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7	all:26	26
62449	WesternBukidnonManobo	?	all		laŋun	l a ŋ u n	R V N V N	l a N u n	L A N Y N	40	16	all:27	27
62450	WesternBukidnonManobo	?	all		elin	e l i n	V R V N	e l i n	E L I N	41	17	all:29	29
42852	Anuta	?	and		maa	m aa	M V	m a	M A	2	21	and:50	50
42853	Anuta	?	and		mo	m o	M V	m o	M U	9	27	and:50	50
42568	BanjareseMalay	?	and		dan	d a n	T V N	d a n	T A N	18	20	and:51	51
12159	Carolinian	?	and		me	m e	M V	m e	M E	2	21	and:50	50
12160	Carolinian	?	and		nge	n g e	N K V	n g e	N K E	10	19	and:53	53
43525	Cebuano	?	and		ug	u g	V K	u g	Y K	25	23	and:53	53
19705	Chuukese	?	and		me	m e	M V	m e	M E	2	21	and:50	50
19706	Chuukese	?	and		nge	n g e	N K V	n g e	N K E	10	19	and:53	53
41071	ChuukeseAKATrukese	?	and		me	m e	M V	m e	M E	2	21	and:50	50
41072	ChuukeseAKATrukese	?	and		ŋe	ŋ e	N V	N e	N E	10	19	and:94	94
17844	DayakNgaju	?	and		tuntang	t u n t a n g	T V N T V N K	t u n t a n g	T Y N T A N K	23	22	and:56	56
66624	EastSumbaneseKamberaSoutherndialect	?	and		dangu	d a n g u	T V N K V	d a n g u	T A N K Y	4	25	and:51	51
67117	EastSumbaneseUmbuRatuNggaidialect	?	and		dangu	d a n g u	T V N K V	d a n g u	T A N K Y	4	25	and:51	51
33892	FutunaEast	?	and		mo	m o	M V	m o	M U	9	27	and:50	50
19497	Imorod	?	and		akanira	a k a n i r a	V K V N V R V	a k a n i r a	A K A N I R A	1	18	and:51	51
56124	Indonesian	?	and		dan	d a n	T V N	d a n	T A N	18	20	and:51	51
29256	Iraralay	?	and		akanira	a k a n i r a	V K V N V R V	a k a n i r a	A K A N I R A	1	18	and:51	51
24595	Isamorong	?	and		kani	k a n i	K V N V	k a n i	K A N I	1	18	and:51	51
43561	Itbayat	?	and		kani	k a n i	K V N V	k a n i	K A N I	1	18	and:51	51
5843	Itbayaten	?	and		ka|n	k a| n	K V N	k a n	K A N	1	18	and:51	51
52433	Ivasay	?	and		kani	k a n i	K V N V	k a n i	K A N I	1	18	and:51	51
2553	Katingan	?	and		tutaŋ	t u t a ŋ	T V T V N	t u t a N	T Y T A N	23	22	and:56	56
25488	Lakalai	?	and		me	m e	M V	m e	M E	2	21	and:50	50
26998	Luangiua	?	and		maa	m aa	M V	m a	M A	2	21	and:50	50
40693	MalayBahasaIndonesia	?	and		dan	d a n	T V N	d a n	T A N	18	20	and:51	51
7969	Maori	?	and		me	m e	M V	m e	M E	2	21	and:50	50
53125	Marquesan	?	and		maa	m aa	M V	m a	M A	2	21	and:50	50
45296	Minangkabau	?	and		dan	d a n	T V N	d a n	T A N	18	20	and:51	51
24476	NakanaiBilekiDialect	?	and		me	m e	M V	m e	M E	2	21	and:50	50
51250	Niue	?	and		ma	m a	M V	m a	M A	2	21	and:50	50
51251	Niue	?	and		mo	m o	M V	m o	M U	9	27	and:50	50
30520	Penrhyn	?	and		ma	m a	M V	m a	M A	2	21	and:50	50
20189	RapanuiEasterIsland	?	and		ma	m a	M V	m a	M A	2	21	and:50	50
53233	Rarotongan	?	and		maa	m aa	M V	m a	M A	2	21	and:50	50
20376	Rennellese	?	and		ma	m a	M V	m a	M A	2	21	and:50	50
10914	Rurutuan	?	and		ʔee	ʔ ee	H V	7 e	H E	8	26	and:80	80
63326	Samoan	?	and		ma	m a	M V	m a	M A	2	21	and:50	50
29380	Sikaiana	?	and		ma	m a	M V	m a	M A	2	21	and:50	50
33519	Tagalog	?	and		at	a t	V T	a t	A T	26	24	and:83	83
18109	TagalogAnthonydelaPaz	?	and		at	a t	V T	a t	A T	26	24	and:83	83
8015	TahitianModern	?	and		ee	ee	V	e	E	8	26	and:80	80
9925	Tikopia	?	and		ma	m a	M V	m a	M A	2	21	and:50	50
9926	Tikopia	?	and		mo	m o	M V	m o	M U	9	27	and:50	50
4203	Tongan	?	and		mo	m o	M V	m o	M U	9	27	and:50	50
31504	UveaEast	?	and		mo	m o	M V	m o	M U	9	27	and:50	50
48113	Woleai	?	and		me	m e	M V	m e	M E	2	21	and:50	50
48114	Woleai	?	and		nge	n g e	N K V	n g e	N K E	10	19	and:53	53
54392	Yami	?	and		kanuʔ	k a n u ʔ	K V N V H	k a n u 7	K A N Y H	1	18	and:51	51
24574	Anuta	?	ash		repu	r e p u	R V P V	r e p u	R E P Y	1	28	ash:95	95
26985	BanjareseMalay	?	ash		habu	h a b u	H V P V	h a b u	H A P Y	1	28	ash:96	96
16872	Carolinian	?	ash		falang	f a l a n g	P V R V N K	f a l a n g	B A L A N K	8	31	ash:97	97
20332	Cebuano	?	ash		agiw	a g i w	V K V W	a g i w	A K I W	1	28	ash:98	98
10616	Chuukese	?	ash		fanang	f a n a n g	P V N V N K	f a n a n g	B A N A N K	8	31	ash:97	97
13741	ChuukeseAKATrukese	?	ash		fanaŋ	f a n a ŋ	P V N V N	f a n a N	B A N A N	8	31	ash:97	97
85	DayakNgaju	?	ash		kawu	k a w u	K V W V	k a w u	K A W Y	1	28	ash:96	96
32731	EastSumbaneseKamberaSoutherndialect	?	ash		au	au	V	a	A	1	28	ash:102	102
62813	EastSumbaneseUmbuRatuNggaidialect	?	ash		awu	a w u	V W V	a w u	A W Y	1	28	ash:96	96
25870	FutunaEast	?	ash		lafu	l a f u	R V P V	l a f u	L A B Y	1	28	ash:96	96
39721	Imorod	?	ash		avo	a v o	V W V	a v o	A B U	1	28	ash:96	96
64363	Indonesian	?	ash		abu	a b u	V P V	a b u	A P Y	1	28	ash:96	96
34733	Iraralay	?	ash		avo	a v o	V W V	a v o	A B U	1	28	ash:96	96
26780	Isamorong	?	ash		avo	a v o	V W V	a v o	A B U	1	28	ash:96	96
43260	Itbayat	?	ash		avo	a v o	V W V	a v o	A B U	1	28	ash:96	96
59208	Itbayaten	?	ash		qavuq	q a v u q	K V W V K	q a v u q	K A B Y K	1	28	ash:96	96
46767	Ivasay	?	ash		avo	a v o	V W V	a v o	A B U	1	28	ash:96	96
57475	Katingan	?	ash		kawuʔ	k a w u ʔ	K V W V H	k a w u 7	K A W Y H	1	28	ash:96	96
46191	Lakalai	?	ash		buburo	b u b u r o	P V P V R V	b u b u r o	P Y P Y R U	14	29	ash:113	113
44670	Luangiua	?	ash		lehu	l e h u	R V H V	l e h u	L E H Y	1	28	ash:95	95
63523	MalayBahasaIndonesia	?	ash		abu	a b u	V P V	a b u	A P Y	1	28	ash:96	96
46735	Maori	?	ash		pungarehu	p u n g a r e h u	P V N K V R V H V	p u n g a r e h u	P Y N K A R E H Y	1	28	ash:95	95
44950	Marquesan	?	ash		ke/ehu/	k e e h u	K V V H V	k e e h u	K E E H Y	1	28	ash:95	95
8823	Minangkabau	?	ash		abu	a b u	V P V	a b u	A P Y	1	28	ash:96	96
22952	NakanaiBilekiDialect	?	ash		buburo	b u b u r o	P V P V R V	b u b u r o	P Y P Y R U	14	29	ash:113	113
17940	Niue	?	ash		efu/efu	e f u e f u	V P V V P V	e f u e f u	E B Y E B Y	1	28	ash:95	95
43654	Ogan	?	ash		abu	a b u	V P V	a b u	A P Y	1	28	ash:96	96
23749	Penrhyn	?	ash		rehu	r e h u	R V H V	r e h u	R E H Y	1	28	ash:95	95
66796	RapanuiEasterIsland	?	ash		eoeo	eoeo	V	e	E	1	28	ash:123	123
40482	Rarotongan	?	ash		reu	r eu	R V	r e	R E	1	28	ash:124	124
41396	Rennellese	?	ash		gehu	g e h u	K V H V	g e h u	K E H Y	1	28	ash:95	95
13662	Rurutuan	?	ash		reʔu	r e ʔ u	R V H V	r e 7 u	R E H Y	1	28	ash:95	95
1367	Samoan	?	ash		lefulefu	l e f u l e f u	R V P V R V P V	l e f u l e f u	L E B Y L E B Y	1	28	ash:95	95
59929	Sikaiana	?	ash		lehu	l e h u	R V H V	l e h u	L E H Y	1	28	ash:95	95
47376	Surigaonon	?	ash		abo	a b o	V P V	a b o	A P U	1	28	ash:96	96
62862	Tagalog	?	ash		abo	a b o	V P V	a b o	A P U	1	28	ash:96	96
55179	TagalogAnthonydelaPaz	?	ash		abo	a b o	V P V	a b o	A P U	1	28	ash:96	96
64323	TahitianModern	?	ash		rehu	r e h u	R V H V	r e h u	R E H Y	1	28	ash:95	95
35463	Tikopia	?	ash		refu	r e f u	R V P V	r e f u	R E B Y	1	28	ash:95	95
51030	Tongan	?	ash		efuefu	e f ue f u	V P V P V	e f u f u	E B Y B Y	1	28	ash:95	95
13843	Tuamotu	?	ash		rehu	r e h u	R V H V	r e h u	R E H Y	1	28	ash:95	95
24344	UveaEast	?	ash		lefu/lefu	l e f u l e f u	R V P V R V P V	l e f u l e f u	L E B Y L E B Y	1	28	ash:95	95
53590	Woleai	?	ash		peyasa	p eya s a	P V S V	p e s a	P E S A	7	30	ash:137	137
53591	Woleai	?	ash		felanga	f e l a n g a	P V R V N K V	f e l a n g a	B E L A N K A	8	31	ash:97	97
58656	Yami	?	ash		avo	a v o	V W V	a v o	A B U	1	28	ash:96	96
29172	Anuta	?	at		i	i	V	i	I	1	32	at:138	138
65431	BanjareseMalay	?	at		di	d i	T V	d i	T I	20	35	at:138	138
52638	Carolinian	?	at		i	i	V	i	I	1	32	at:138	138
52639	Carolinian	?	at		lee	l ee	R V	l e	L E	20	35	at:173	173
25194	Cebuano	?	at		sa	s a	S V	s a	S A	14	33	at:141	141
37607	Chuukese	?	at		i	i	V	i	I	1	32	at:138	138
7547	ChuukeseAKATrukese	?	at		i	i	V	i	I	1	32	at:138	138
44975	DayakNgaju	?	at		hung	h u n g	H V N K	h u n g	H Y N K	22	36	at:144	144
33578	EastSumbaneseKamberaSoutherndialect	?	at		la	l a	R V	l a	L A	2	34	at:141	141
41529	EastSumbaneseUmbuRatuNggaidialect	?	at		ta	t a	T V	t a	T A	2	34	at:141	141
54260	FutunaEast	?	at		i	i	V	i	I	1	32	at:138	138
54261	FutunaEast	?	at		ki	k i	K V	k i	K I	5	37	at:138	138
29425	Indonesian	?	at		di	d i	T V	d i	T I	20	35	at:138	138
65850	Luangiua	?	at		i	i	V	i	I	1	32	at:138	138
42765	MalayBahasaIndonesia	?	at		di	d i	T V	d i	T I	20	35	at:138	138
61045	Maori	?	at		i	i	V	i	I	1	32	at:138	138
61046	Maori	?	at		hei	h ei	H V	h e	H E	5	37	at:175	175
48002	Marquesan	?	at		i	i	V	i	I	1	32	at:138	138
34997	Minangkabau	?	at		di	d i	T V	d i	T I	20	35	at:138	138
13033	Niue	?	at		i	i	V	i	I	1	32	at:138	138
16678	Ogan	?	at		di	d i	T V	d i	T I	20	35	at:138	138
36883	Penrhyn	?	at		i	i	V	i	I	1	32	at:138	138
7652	RapanuiEasterIsland	?	at		i	i	V	i	I	1	32	at:138	138
8678	Rarotongan	?	at		i	i	V	i	I	1	32	at:138	138
8679	Rarotongan	?	at		tei	t ei	T V	t e	T E	5	37	at:175	175
66871	Rennellese	?	at		i	i	V	i	I	1	32	at:138	138
51862	Rurutuan	?	at		i	i	V	i	I	1	32	at:138	138
58269	Samoan	?	at		i	i	V	i	I	1	32	at:138	138
2858	Sikaiana	?	at		i	i	V	i	I	1	32	at:138	138
11434	Surigaonon	?	at		sa	s a	S V	s a	S A	14	33	at:141	141
51740	Tagalog	?	at		sa	s a	S V	s a	S A	14	33	at:141	141
25680	TagalogAnthonydelaPaz	?	at		sa	s a	S V	s a	S A	14	33	at:141	141
56979	TahitianModern	?	at		i	i	V	i	I	1	32	at:138	138
2951	Tikopia	?	at		i	i	V	i	I	1	32	at:138	138
59584	Tongan	?	at		ʔi	ʔ i	H V	7 i	H I	1	32	at:138	138
425	Tuamotu	?	at		i	i	V	i	I	1	32	at:138	138
426	Tuamotu	?	at		tei	t ei	T V	t e	T E	5	37	at:175	175
51586	UveaEast	?	at		i	i	V	i	I	1	32	at:138	138
51587	UveaEast	?	at		tei	t ei	T V	t e	T E	5	37	at:175	175
12607	WesternBukidnonManobo	?	at		di	d i	T V	d i	T I	20	35	at:138	138
19788	Woleai	?	at		i	i	V	i	I	1	32	at:138	138
19789	Woleai	?	at		lee	l ee	R V	l e	L E	20	35	at:173	173
57419	BanjareseMalay	?	back		balakang	b a l a k a n g	P V R V K V N K	b a l a k a n g	P A L A K A N K	27	43	back:176	176
43852	Carolinian	?	back		saghur	s a g h u r	S V K H V R	s a g h u r	S A K H Y R	12	40	back:177	177
59328	Cebuano	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38	back:178	178
14382	Chuukese	?	back		sekur	s e k u r	S V K V R	s e k u r	S E K Y R	12	40	back:177	177
26266	ChuukeseAKATrukese	?	back		sukur	s u k u r	S V K V R	s u k u r	S Y K Y R	12	40	back:177	177
64603	DayakNgaju	?	back		likut	l i k u t	R V K V T	l i k u t	L I K Y T	1	38	back:178	178
175	EastSumbaneseKamberaSoutherndialect	?	back		wonggu	w o n gg u	W V N K V	w o n g u	W U N K Y	6	45	back:182	182
38803	FutunaEast	?	back		tua	t ua	T V	t u	T Y	11	39	back:183	183
24032	Imorod	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38	back:178	178
23733	Indonesian	?	back		belakaŋ	b e l a k a ŋ	P V R V K V N	b e l a k a N	P E L A K A N	27	43	back:176	176
55706	Iraralay	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38	back:178	178
29843	Isamorong	?	back		dicod	d i c o d	T V K V T	d i T o d	T I C U T	1	38	back:178	178
65498	Itbayat	?	back		licod	l i c o d	R V K V T	l i T o d	L I C U T	1	38	back:178	178
11050	Itbayaten	?	back		licud	l i c u d	R V K V T	l i T u d	L I C Y T	1	38	back:178	178
2334	Ivasay	?	back		dicod	d i c o d	T V K V T	d i T o d	T I C U T	1	38	back:178	178
61693	Katingan	?	back		likur	l i k u r	R V K V R	l i k u r	L I K Y R	1	38	back:178	178
7303	Lakalai	?	back		poke	p o k e	P V K V	p o k e	P U K E	19	41	back:192	192
57815	Luangiua	?	back		aŋa/kua	a ŋ a k ua	V N V K V	a N a k u	A N A K Y	11	39	back:176	176
18260	MalayBahasaIndonesia	?	back		punggung	p u n gg u n g	P V N K V N K	p u n g u n g	P Y N K Y N K	24	42	back:182	182
56828	Maori	?	back		tuaraa	t ua r aa	T V R V	t u r a	T Y R A	11	39	back:183	183
7536	Marquesan	?	back		tua	t ua	T V	t u	T Y	11	39	back:183	183
29362	Minangkabau	?	back		puŋguaŋ	p u ŋ g ua ŋ	P V N K V N	p u N g u N	P Y N K Y N	24	42	back:197	197
3287	NakanaiBilekiDialect	?	back		poke	p o k e	P V K V	p o k e	P U K E	19	41	back:192	192
25294	Ogan	?	back		puŋguŋ	p u ŋ g u ŋ	P V N K V N	p u N g u N	P Y N K Y N	24	42	back:197	197
18882	RapanuiEasterIsland	?	back		tuaivi	t uai v i	T V W V	t u v i	T Y B I	11	39	back:200	200
14389	Rarotongan	?	back		mokotua	m o k o t ua	M V K V T V	m o k o t u	M U K U T Y	11	39	back:183	183
13755	Rennellese	?	back		tuʔa	t u ʔ a	T V H V	t u 7 a	T Y H A	11	39	back:200	200
61658	Rurutuan	?	back		tautua	t au t ua	T V T V	t a t u	T A T Y	12	40	back:183	183
63527	Samoan	?	back		tua	t ua	T V	t u	T Y	11	39	back:183	183
11662	Sikaiana	?	back		tua	t ua	T V	t u	T Y	11	39	back:183	183
20272	Surigaonon	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38	back:178	178
46213	Tagalog	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38	back:178	178
20047	TagalogAnthonydelaPaz	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38	back:178	178
48296	TahitianModern	?	back		tua	t ua	T V	t u	T Y	11	39	back:183	183
8593	Tikopia	?	back		tua	t ua	T V	t u	T Y	11	39	back:183	183
3441	Tongan	?	back		tuʔa	t u ʔ a	T V H V	t u 7 a	T Y H A	11	39	back:200	200
20113	Tuamotu	?	back		papatua	p a p a t ua	P V P V T V	p a p a t u	P A P A T Y	11	39	back:176	176
61623	UveaEast	?	back		tua	t ua	T V	t u	T Y	11	39	back:183	183
42535	WesternBukidnonManobo	?	back		peka	p e k a	P V K V	p e k a	P E K A	48	44	back:192	192
53486	Woleai	?	back		tagiurɪʊ	t a g iu r ɪʊ	T V K V R V	t a g i r i	T A K I R I	12	40	back:215	215
52459	Yami	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38	back:178	178
50924	Anuta	?	bad,evil		kovi	k o v i	K V W V	k o v i	K U B I	10	47	bad,evil:216	216
4729	Carolinian	?	bad,evil		ngngaw	n g n g a w	N K N K V W	n g n g a w	N K N K A W	11	48	bad,evil:217	217
45884	Chuukese	?	bad,evil		ngngaw	n g n g a w	N K N K V W	n g n g a w	N K N K A W	11	48	bad,evil:217	217
47045	DayakNgaju	?	bad,evil		papa	p a p a	P V P V	p a p a	P A P A	26	49	bad,evil:219	219
12893	EastSumbaneseKamberaSoutherndialect	?	bad,evil		kabulak	k a b u l a k	K V P V R V K	k a b u l a k	K A P Y L A K	5	54	bad,evil:220	220
29386	EastSumbaneseUmbuRatuNggaidialect	?	bad,evil		kabulak	k a b u l a k	K V P V R V K	k a b u l a k	K A P Y L A K	5	54	bad,evil:220	220
46837	FutunaEast	?	bad,evil		kino	k i n o	K V N V	k i n o	K I N U	9	55	bad,evil:222	222
56308	Imorod	?	bad,evil		marahet	m a r a h e t	M V R V H V T	m a r a h e t	M A R A H E T	1	46	bad,evil:219	219
9782	Indonesian	?	bad,evil		jahat	j a h a t	J V H V T	y a h a t	J A H A T	1	46	bad,evil:219	219
30017	Iraralay	?	bad,evil		marahet	m a r a h e t	M V R V H V T	m a r a h e t	M A R A H E T	1	46	bad,evil:219	219
40849	Isamorong	?	bad,evil		marahet	m a r a h e t	M V R V H V T	m a r a h e t	M A R A H E T	1	46	bad,evil:219	219
57222	Itbayat	?	bad,evil		marawet	m a r a w e t	M V R V W V T	m a r a w e t	M A R A W E T	1	46	bad,evil:219	219
11294	Itbayaten	?	bad,evil		maraɨt	m a r aɨ t	M V R V T	m a r a t	M A R A T	1	46	bad,evil:219	219
155	Ivasay	?	bad,evil		marahet	m a r a h e t	M V R V H V T	m a r a h e t	M A R A H E T	1	46	bad,evil:219	219
43206	Luangiua	?	bad,evil		sa/iŋo	s a i ŋ o	S V V N V	s a i N o	S A I N U	1	46	bad,evil:222	222
51549	MalayBahasaIndonesia	?	bad,evil		jahat	j a h a t	J V H V T	y a h a t	J A H A T	1	46	bad,evil:219	219
7778	Maori	?	bad,evil		kino	k i n o	K V N V	k i n o	K I N U	9	55	bad,evil:222	222
32138	Marquesan	?	bad,evil		hauhau	h au h au	H V H V	h a h a	H A H A	32	52	bad,evil:233	233
32139	Marquesan	?	bad,evil		ino	i n o	V N V	i n o	I N U	9	55	bad,evil:222	222
25995	Minangkabau	?	bad,evil		jaeʔ	j ae ʔ	J V H	y a 7	J A H	1	46	bad,evil:234	234
55591	Ogan	?	bad,evil		jahat	j a h a t	J V H V T	y a h a t	J A H A T	1	46	bad,evil:219	219
2103	Penrhyn	?	bad,evil		kino	k i n o	K V N V	k i n o	K I N U	9	55	bad,evil:222	222
46829	RapanuiEasterIsland	?	bad,evil		kino	k i n o	K V N V	k i n o	K I N U	9	55	bad,evil:222	222
49785	Rarotongan	?	bad,evil		kino	k i n o	K V N V	k i n o	K I N U	9	55	bad,evil:222	222
50707	Rennellese	?	bad,evil		maseʔi	m a s e ʔ i	M V S V H V	m a s e 7 i	M A S E H I	42	53	bad,evil:219	219
48927	Rurutuan	?	bad,evil		manuenu	m a n ue n u	M V N V N V	m a n u n u	M A N Y N Y	9	55	bad,evil:219	219
27725	Samoan	?	bad,evil		inoino	i n oi n o	V N V N V	i n o n o	I N U N U	9	55	bad,evil:222	222
60623	Surigaonon	?	bad,evil		mayaut	m ayau t	M V T	m a t	M A T	31	51	bad,evil:242	242
