ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	INFERRED_CLASS	SCAID
18783	Rarotongan	?	above		runga	r u n g a	R V N K V	r u n g a	R Y N K A	9	6	above:7	7
34850	Rennellese	?	above		a/gunga/	a g u n g a	V K V N K V	a g u n g a	A K Y N K A	9	6	above:7	7
51646	Rurutuan	?	above		nuʔa	n u ʔ a	N V H V	n u 7 a	N Y H A	9	6	above:22	22
61579	Tagalog	?	above		ibabaw	i b a b a w	V P V P V W	i b a b a w	I P A P A W	2	5	above:4	4
61580	Tagalog	?	above		itaas	i t aa s	V T V S	i t a s	I T A S	1	1	above:2	2
43191	TagalogAnthonydelaPaz	?	above		ibabaw	i b a b a w	V P V P V W	i b a b a w	I P A P A W	2	5	above:4	4
43192	TagalogAnthonydelaPaz	?	above		itaas	i t aa s	V T V S	i t a s	I T A S	1	1	above:2	2
30012	TahitianModern	?	above		nia	n ia	N V	n i	N I	9	6	above:22	22
22491	Tuamotu	?	above		ruŋa	r u ŋ a	R V N V	r u N a	R Y N A	9	6	above:1	1
28401	UveaEast	?	above		o/luga/	o l u g a	V R V K V	o l u g a	U L Y K A	9	6	above:7	7
30193	WesternBukidnonManobo	?	above		divavew	d i v a v e w	T V W V W V W	d i v a v e w	T I B A B E W	2	5	above:4	4
54886	Woleai	?	above		woa	w oa	W V	w o	W U	2	5	above:3	3
812	Yami	?	above		tiŋatoʔ	t i ŋ a t o ʔ	T V N V T V H	t i N a t o 7	T I N A T U H	16	3	above:8	8
35390	Anuta	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7	all:23	23
25676	BanjareseMalay	?	all		samuaan	s a m uaa n	S V M V N	s a m u n	S A M Y N	33	14	all:24	24
18444	Cebuano	?	all		tanan	t a n a n	T V N V N	t a n a n	T A N A N	24	11	all:25	25
12483	Chuukese	?	all		meyinisin	m eyi n i s i n	M V N V S V N	m e n i s i n	M E N I S I N	3	13	all:26	26
55232	ChuukeseAKATrukese	?	all		menisin	m e n i s i n	M V N V S V N	m e n i s i n	M E N I S I N	3	13	all:26	26
29030	DayakNgaju	?	all		uras	u r a s	V R V S	u r a s	Y R A S	23	10	all:28	28
40310	FutunaEast	?	all		fuli	f u l i	P V R V	f u l i	B Y L I	14	8	all:29	29
40311	FutunaEast	?	all		kaatoa	k aa t oa	K V T V	k a t o	K A T U	13	7	all:23	23
28170	Imorod	?	all		akani	a k a n i	V K V N V	a k a n i	A K A N I	25	12	all:30	30
29089	Indonesian	?	all		semua	s e m ua	S V M V	s e m u	S E M Y	33	14	all:24	24
33295	Iraralay	?	all		kano	k a n o	K V N V	k a n o	K A N U	25	12	all:30	30
740	Isamorong	?	all		kani	k a n i	K V N V	k a n i	K A N I	25	12	all:30	30
49324	Itbayat	?	all		kanira	k a n i r a	K V N V R V	k a n i r a	K A N I R A	25	12	all:30	30
65483	Ivasay	?	all		kano	k a n o	K V N V	k a n o	K A N U	25	12	all:30	30
31546	Katingan	?	all		uras	u r a s	V R V S	u r a s	Y R A S	23	10	all:28	28
20079	Lakalai	?	all		tomi	t o m i	T V M V	t o m i	T U M I	18	9	all:24	24
63722	Luangiua	?	all		h/aakoa	h aa k oa	H V K V	h a k o	H A K U	13	7	all:38	38
12209	MalayBahasaIndonesia	?	all		semua	s e m ua	S V M V	s e m u	S E M Y	33	14	all:24	24
35886	Maori	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7	all:23	23
41099	NakanaiBilekiDialect	?	all		tomi	t o m i	T V M V	t o m i	T U M I	18	9	all:24	24
52384	Niue	?	all		gotoa	g o t oa	K V T V	g o t o	K U T U	13	7	all:23	23
12025	Penrhyn	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7	all:23	23
53793	Rarotongan	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7	all:23	23
29853	Rennellese	?	all		hugi	h u g i	H V K V	h u g i	H Y K I	14	8	all:38	38
29854	Rennellese	?	all		kaatoa	k aa t oa	K V T V	k a t o	K A T U	13	7	all:23	23
46811	Rurutuan	?	all		paaʔaatoʔa	p aa ʔ aa t o ʔ a	P V H V T V H V	p a 7 a t o 7 a	P A H A T U H A	13	7	all:46	46
14698	Samoan	?	all		ʔatoa	ʔ a t oa	H V T V	7 a t o	H A T U	13	7	all:23	23
11258	Sikaiana	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7	all:23	23
35312	Surigaonon	?	all		tanan	t a n a n	T V N V N	t a n a n	T A N A N	24	11	all:25	25
1925	Tagalog	?	all		lahat	l a h a t	R V H V T	l a h a t	L A H A T	37	15	all:46	46
6931	TagalogAnthonydelaPaz	?	all		lahat	l a h a t	R V H V T	l a h a t	L A H A T	37	15	all:46	46
6714	TahitianModern	?	all		atoa	a t oa	V T V	a t o	A T U	13	7	all:23	23
16204	Tikopia	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7	all:23	23
41571	Tongan	?	all		kotoa	k o t oa	K V T V	k o t o	K U T U	13	7	all:23	23
22992	Tuamotu	?	all		katoŋa	k a t o ŋ a	K V T V N V	k a t o N a	K A T U N A	13	7	all:23	23
26293	UveaEast	?	all		fulifuli	f u l i f u l i	P V R V P V R V	f u l i f u l i	B Y L I B Y L I	14	8	all:29	29
26294	UveaEast	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7	all:23	23
62449	WesternBukidnonManobo	?	all		laŋun	l a ŋ u n	R V N V N	l a N u n	L A N Y N	40	16	all:25	25
62450	WesternBukidnonManobo	?	all		elin	e l i n	V R V N	e l i n	E L I N	41	17	all:61	61
42852	Anuta	?	and		maa	m aa	M V	m a	M A	2	21	and:62	62
42853	Anuta	?	and		mo	m o	M V	m o	M U	9	27	and:62	62
42568	BanjareseMalay	?	and		dan	d a n	T V N	d a n	T A N	18	20	and:63	63
12159	Carolinian	?	and		me	m e	M V	m e	M E	2	21	and:62	62
12160	Carolinian	?	and		nge	n g e	N K V	n g e	N K E	10	19	and:104	104
43525	Cebuano	?	and		ug	u g	V K	u g	Y K	25	23	and:65	65
19705	Chuukese	?	and		me	m e	M V	m e	M E	2	21	and:62	62
19706	Chuukese	?	and		nge	n g e	N K V	n g e	N K E	10	19	and:104	104
41071	ChuukeseAKATrukese	?	and		me	m e	M V	m e	M E	2	21	and:62	62
41072	ChuukeseAKATrukese	?	and		ŋe	ŋ e	N V	N e	N E	10	19	and:104	104
17844	DayakNgaju	?	and		tuntang	t u n t a n g	T V N T V N K	t u n t a n g	T Y N T A N K	23	22	and:63	63
66624	EastSumbaneseKamberaSoutherndialect	?	and		dangu	d a n g u	T V N K V	d a n g u	T A N K Y	4	25	and:63	63
67117	EastSumbaneseUmbuRatuNggaidialect	?	and		dangu	d a n g u	T V N K V	d a n g u	T A N K Y	4	25	and:63	63
33892	FutunaEast	?	and		mo	m o	M V	m o	M U	9	27	and:62	62
19497	Imorod	?	and		akanira	a k a n i r a	V K V N V R V	a k a n i r a	A K A N I R A	1	18	and:72	72
56124	Indonesian	?	and		dan	d a n	T V N	d a n	T A N	18	20	and:63	63
29256	Iraralay	?	and		akanira	a k a n i r a	V K V N V R V	a k a n i r a	A K A N I R A	1	18	and:72	72
24595	Isamorong	?	and		kani	k a n i	K V N V	k a n i	K A N I	1	18	and:72	72
43561	Itbayat	?	and		kani	k a n i	K V N V	k a n i	K A N I	1	18	and:72	72
5843	Itbayaten	?	and		ka|n	k a| n	K V N	k a n	K A N	1	18	and:72	72
52433	Ivasay	?	and		kani	k a n i	K V N V	k a n i	K A N I	1	18	and:72	72
2553	Katingan	?	and		tutaŋ	t u t a ŋ	T V T V N	t u t a N	T Y T A N	23	22	and:63	63
25488	Lakalai	?	and		me	m e	M V	m e	M E	2	21	and:62	62
26998	Luangiua	?	and		maa	m aa	M V	m a	M A	2	21	and:62	62
40693	MalayBahasaIndonesia	?	and		dan	d a n	T V N	d a n	T A N	18	20	and:63	63
7969	Maori	?	and		me	m e	M V	m e	M E	2	21	and:62	62
53125	Marquesan	?	and		maa	m aa	M V	m a	M A	2	21	and:62	62
45296	Minangkabau	?	and		dan	d a n	T V N	d a n	T A N	18	20	and:63	63
24476	NakanaiBilekiDialect	?	and		me	m e	M V	m e	M E	2	21	and:62	62
51250	Niue	?	and		ma	m a	M V	m a	M A	2	21	and:62	62
51251	Niue	?	and		mo	m o	M V	m o	M U	9	27	and:62	62
30520	Penrhyn	?	and		ma	m a	M V	m a	M A	2	21	and:62	62
20189	RapanuiEasterIsland	?	and		ma	m a	M V	m a	M A	2	21	and:62	62
53233	Rarotongan	?	and		maa	m aa	M V	m a	M A	2	21	and:62	62
20376	Rennellese	?	and		ma	m a	M V	m a	M A	2	21	and:62	62
10914	Rurutuan	?	and		ʔee	ʔ ee	H V	7 e	H E	8	26	and:92	92
63326	Samoan	?	and		ma	m a	M V	m a	M A	2	21	and:62	62
29380	Sikaiana	?	and		ma	m a	M V	m a	M A	2	21	and:62	62
33519	Tagalog	?	and		at	a t	V T	a t	A T	26	24	and:95	95
18109	TagalogAnthonydelaPaz	?	and		at	a t	V T	a t	A T	26	24	and:95	95
8015	TahitianModern	?	and		ee	ee	V	e	E	8	26	and:97	97
9925	Tikopia	?	and		ma	m a	M V	m a	M A	2	21	and:62	62
9926	Tikopia	?	and		mo	m o	M V	m o	M U	9	27	and:62	62
4203	Tongan	?	and		mo	m o	M V	m o	M U	9	27	and:62	62
31504	UveaEast	?	and		mo	m o	M V	m o	M U	9	27	and:62	62
48113	Woleai	?	and		me	m e	M V	m e	M E	2	21	and:62	62
48114	Woleai	?	and		nge	n g e	N K V	n g e	N K E	10	19	and:104	104
54392	Yami	?	and		kanuʔ	k a n u ʔ	K V N V H	k a n u 7	K A N Y H	1	18	and:72	72
24574	Anuta	?	ash		repu	r e p u	R V P V	r e p u	R E P Y	1	28	ash:105	105
26985	BanjareseMalay	?	ash		habu	h a b u	H V P V	h a b u	H A P Y	1	28	ash:106	106
16872	Carolinian	?	ash		falang	f a l a n g	P V R V N K	f a l a n g	B A L A N K	8	31	ash:107	107
20332	Cebuano	?	ash		agiw	a g i w	V K V W	a g i w	A K I W	1	28	ash:108	108
10616	Chuukese	?	ash		fanang	f a n a n g	P V N V N K	f a n a n g	B A N A N K	8	31	ash:107	107
13741	ChuukeseAKATrukese	?	ash		fanaŋ	f a n a ŋ	P V N V N	f a n a N	B A N A N	8	31	ash:107	107
85	DayakNgaju	?	ash		kawu	k a w u	K V W V	k a w u	K A W Y	1	28	ash:108	108
32731	EastSumbaneseKamberaSoutherndialect	?	ash		au	au	V	a	A	1	28	ash:112	112
62813	EastSumbaneseUmbuRatuNggaidialect	?	ash		awu	a w u	V W V	a w u	A W Y	1	28	ash:106	106
25870	FutunaEast	?	ash		lafu	l a f u	R V P V	l a f u	L A B Y	1	28	ash:106	106
39721	Imorod	?	ash		avo	a v o	V W V	a v o	A B U	1	28	ash:106	106
64363	Indonesian	?	ash		abu	a b u	V P V	a b u	A P Y	1	28	ash:106	106
34733	Iraralay	?	ash		avo	a v o	V W V	a v o	A B U	1	28	ash:106	106
26780	Isamorong	?	ash		avo	a v o	V W V	a v o	A B U	1	28	ash:106	106
43260	Itbayat	?	ash		avo	a v o	V W V	a v o	A B U	1	28	ash:106	106
59208	Itbayaten	?	ash		qavuq	q a v u q	K V W V K	q a v u q	K A B Y K	1	28	ash:108	108
46767	Ivasay	?	ash		avo	a v o	V W V	a v o	A B U	1	28	ash:106	106
57475	Katingan	?	ash		kawuʔ	k a w u ʔ	K V W V H	k a w u 7	K A W Y H	1	28	ash:108	108
46191	Lakalai	?	ash		buburo	b u b u r o	P V P V R V	b u b u r o	P Y P Y R U	14	29	ash:123	123
44670	Luangiua	?	ash		lehu	l e h u	R V H V	l e h u	L E H Y	1	28	ash:124	124
63523	MalayBahasaIndonesia	?	ash		abu	a b u	V P V	a b u	A P Y	1	28	ash:106	106
46735	Maori	?	ash		pungarehu	p u n g a r e h u	P V N K V R V H V	p u n g a r e h u	P Y N K A R E H Y	1	28	ash:126	126
44950	Marquesan	?	ash		ke/ehu/	k e e h u	K V V H V	k e e h u	K E E H Y	1	28	ash:124	124
8823	Minangkabau	?	ash		abu	a b u	V P V	a b u	A P Y	1	28	ash:106	106
22952	NakanaiBilekiDialect	?	ash		buburo	b u b u r o	P V P V R V	b u b u r o	P Y P Y R U	14	29	ash:123	123
17940	Niue	?	ash		efu/efu	e f u e f u	V P V V P V	e f u e f u	E B Y E B Y	1	28	ash:130	130
43654	Ogan	?	ash		abu	a b u	V P V	a b u	A P Y	1	28	ash:106	106
23749	Penrhyn	?	ash		rehu	r e h u	R V H V	r e h u	R E H Y	1	28	ash:124	124
66796	RapanuiEasterIsland	?	ash		eoeo	eoeo	V	e	E	1	28	ash:112	112
40482	Rarotongan	?	ash		reu	r eu	R V	r e	R E	1	28	ash:105	105
41396	Rennellese	?	ash		gehu	g e h u	K V H V	g e h u	K E H Y	1	28	ash:124	124
13662	Rurutuan	?	ash		reʔu	r e ʔ u	R V H V	r e 7 u	R E H Y	1	28	ash:124	124
1367	Samoan	?	ash		lefulefu	l e f u l e f u	R V P V R V P V	l e f u l e f u	L E B Y L E B Y	1	28	ash:130	130
59929	Sikaiana	?	ash		lehu	l e h u	R V H V	l e h u	L E H Y	1	28	ash:124	124
47376	Surigaonon	?	ash		abo	a b o	V P V	a b o	A P U	1	28	ash:106	106
62862	Tagalog	?	ash		abo	a b o	V P V	a b o	A P U	1	28	ash:106	106
55179	TagalogAnthonydelaPaz	?	ash		abo	a b o	V P V	a b o	A P U	1	28	ash:106	106
64323	TahitianModern	?	ash		rehu	r e h u	R V H V	r e h u	R E H Y	1	28	ash:124	124
35463	Tikopia	?	ash		refu	r e f u	R V P V	r e f u	R E B Y	1	28	ash:105	105
51030	Tongan	?	ash		efuefu	e f ue f u	V P V P V	e f u f u	E B Y B Y	1	28	ash:130	130
13843	Tuamotu	?	ash		rehu	r e h u	R V H V	r e h u	R E H Y	1	28	ash:124	124
24344	UveaEast	?	ash		lefu/lefu	l e f u l e f u	R V P V R V P V	l e f u l e f u	L E B Y L E B Y	1	28	ash:130	130
53590	Woleai	?	ash		peyasa	p eya s a	P V S V	p e s a	P E S A	7	30	ash:147	147
53591	Woleai	?	ash		felanga	f e l a n g a	P V R V N K V	f e l a n g a	B E L A N K A	8	31	ash:107	107
58656	Yami	?	ash		avo	a v o	V W V	a v o	A B U	1	28	ash:106	106
29172	Anuta	?	at		i	i	V	i	I	1	32	at:148	148
65431	BanjareseMalay	?	at		di	d i	T V	d i	T I	20	35	at:149	149
52638	Carolinian	?	at		i	i	V	i	I	1	32	at:148	148
52639	Carolinian	?	at		lee	l ee	R V	l e	L E	20	35	at:155	155
25194	Cebuano	?	at		sa	s a	S V	s a	S A	14	33	at:151	151
37607	Chuukese	?	at		i	i	V	i	I	1	32	at:148	148
7547	ChuukeseAKATrukese	?	at		i	i	V	i	I	1	32	at:148	148
44975	DayakNgaju	?	at		hung	h u n g	H V N K	h u n g	H Y N K	22	36	at:154	154
33578	EastSumbaneseKamberaSoutherndialect	?	at		la	l a	R V	l a	L A	2	34	at:155	155
41529	EastSumbaneseUmbuRatuNggaidialect	?	at		ta	t a	T V	t a	T A	2	34	at:149	149
54260	FutunaEast	?	at		i	i	V	i	I	1	32	at:148	148
54261	FutunaEast	?	at		ki	k i	K V	k i	K I	5	37	at:184	184
29425	Indonesian	?	at		di	d i	T V	d i	T I	20	35	at:149	149
65850	Luangiua	?	at		i	i	V	i	I	1	32	at:148	148
42765	MalayBahasaIndonesia	?	at		di	d i	T V	d i	T I	20	35	at:149	149
61045	Maori	?	at		i	i	V	i	I	1	32	at:148	148
61046	Maori	?	at		hei	h ei	H V	h e	H E	5	37	at:151	151
48002	Marquesan	?	at		i	i	V	i	I	1	32	at:148	148
34997	Minangkabau	?	at		di	d i	T V	d i	T I	20	35	at:149	149
13033	Niue	?	at		i	i	V	i	I	1	32	at:148	148
16678	Ogan	?	at		di	d i	T V	d i	T I	20	35	at:149	149
36883	Penrhyn	?	at		i	i	V	i	I	1	32	at:148	148
7652	RapanuiEasterIsland	?	at		i	i	V	i	I	1	32	at:148	148
8678	Rarotongan	?	at		i	i	V	i	I	1	32	at:148	148
8679	Rarotongan	?	at		tei	t ei	T V	t e	T E	5	37	at:149	149
66871	Rennellese	?	at		i	i	V	i	I	1	32	at:148	148
51862	Rurutuan	?	at		i	i	V	i	I	1	32	at:148	148
58269	Samoan	?	at		i	i	V	i	I	1	32	at:148	148
2858	Sikaiana	?	at		i	i	V	i	I	1	32	at:148	148
11434	Surigaonon	?	at		sa	s a	S V	s a	S A	14	33	at:151	151
51740	Tagalog	?	at		sa	s a	S V	s a	S A	14	33	at:151	151
25680	TagalogAnthonydelaPaz	?	at		sa	s a	S V	s a	S A	14	33	at:151	151
56979	TahitianModern	?	at		i	i	V	i	I	1	32	at:148	148
2951	Tikopia	?	at		i	i	V	i	I	1	32	at:148	148
59584	Tongan	?	at		ʔi	ʔ i	H V	7 i	H I	1	32	at:151	151
425	Tuamotu	?	at		i	i	V	i	I	1	32	at:148	148
426	Tuamotu	?	at		tei	t ei	T V	t e	T E	5	37	at:149	149
51586	UveaEast	?	at		i	i	V	i	I	1	32	at:148	148
51587	UveaEast	?	at		tei	t ei	T V	t e	T E	5	37	at:149	149
12607	WesternBukidnonManobo	?	at		di	d i	T V	d i	T I	20	35	at:149	149
19788	Woleai	?	at		i	i	V	i	I	1	32	at:148	148
19789	Woleai	?	at		lee	l ee	R V	l e	L E	20	35	at:155	155
57419	BanjareseMalay	?	back		balakang	b a l a k a n g	P V R V K V N K	b a l a k a n g	P A L A K A N K	27	43	back:185	185
43852	Carolinian	?	back		saghur	s a g h u r	S V K H V R	s a g h u r	S A K H Y R	12	40	back:186	186
59328	Cebuano	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38	back:187	187
14382	Chuukese	?	back		sekur	s e k u r	S V K V R	s e k u r	S E K Y R	12	40	back:186	186
26266	ChuukeseAKATrukese	?	back		sukur	s u k u r	S V K V R	s u k u r	S Y K Y R	12	40	back:186	186
64603	DayakNgaju	?	back		likut	l i k u t	R V K V T	l i k u t	L I K Y T	1	38	back:187	187
175	EastSumbaneseKamberaSoutherndialect	?	back		wonggu	w o n gg u	W V N K V	w o n g u	W U N K Y	6	45	back:191	191
38803	FutunaEast	?	back		tua	t ua	T V	t u	T Y	11	39	back:192	192
24032	Imorod	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38	back:187	187
23733	Indonesian	?	back		belakaŋ	b e l a k a ŋ	P V R V K V N	b e l a k a N	P E L A K A N	27	43	back:185	185
55706	Iraralay	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38	back:187	187
29843	Isamorong	?	back		dicod	d i c o d	T V K V T	d i T o d	T I C U T	1	38	back:196	196
65498	Itbayat	?	back		licod	l i c o d	R V K V T	l i T o d	L I C U T	1	38	back:187	187
11050	Itbayaten	?	back		licud	l i c u d	R V K V T	l i T u d	L I C Y T	1	38	back:187	187
2334	Ivasay	?	back		dicod	d i c o d	T V K V T	d i T o d	T I C U T	1	38	back:196	196
61693	Katingan	?	back		likur	l i k u r	R V K V R	l i k u r	L I K Y R	1	38	back:187	187
7303	Lakalai	?	back		poke	p o k e	P V K V	p o k e	P U K E	19	41	back:185	185
57815	Luangiua	?	back		aŋa/kua	a ŋ a k ua	V N V K V	a N a k u	A N A K Y	11	39	back:191	191
18260	MalayBahasaIndonesia	?	back		punggung	p u n gg u n g	P V N K V N K	p u n g u n g	P Y N K Y N K	24	42	back:185	185
56828	Maori	?	back		tuaraa	t ua r aa	T V R V	t u r a	T Y R A	11	39	back:192	192
7536	Marquesan	?	back		tua	t ua	T V	t u	T Y	11	39	back:192	192
29362	Minangkabau	?	back		puŋguaŋ	p u ŋ g ua ŋ	P V N K V N	p u N g u N	P Y N K Y N	24	42	back:185	185
3287	NakanaiBilekiDialect	?	back		poke	p o k e	P V K V	p o k e	P U K E	19	41	back:185	185
25294	Ogan	?	back		puŋguŋ	p u ŋ g u ŋ	P V N K V N	p u N g u N	P Y N K Y N	24	42	back:185	185
18882	RapanuiEasterIsland	?	back		tuaivi	t uai v i	T V W V	t u v i	T Y B I	11	39	back:192	192
14389	Rarotongan	?	back		mokotua	m o k o t ua	M V K V T V	m o k o t u	M U K U T Y	11	39	back:187	187
13755	Rennellese	?	back		tuʔa	t u ʔ a	T V H V	t u 7 a	T Y H A	11	39	back:192	192
61658	Rurutuan	?	back		tautua	t au t ua	T V T V	t a t u	T A T Y	12	40	back:196	196
63527	Samoan	?	back		tua	t ua	T V	t u	T Y	11	39	back:192	192
11662	Sikaiana	?	back		tua	t ua	T V	t u	T Y	11	39	back:192	192
20272	Surigaonon	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38	back:187	187
46213	Tagalog	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38	back:187	187
20047	TagalogAnthonydelaPaz	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38	back:187	187
48296	TahitianModern	?	back		tua	t ua	T V	t u	T Y	11	39	back:192	192
8593	Tikopia	?	back		tua	t ua	T V	t u	T Y	11	39	back:192	192
3441	Tongan	?	back		tuʔa	t u ʔ a	T V H V	t u 7 a	T Y H A	11	39	back:192	192
20113	Tuamotu	?	back		papatua	p a p a t ua	P V P V T V	p a p a t u	P A P A T Y	11	39	back:221	221
61623	UveaEast	?	back		tua	t ua	T V	t u	T Y	11	39	back:192	192
42535	WesternBukidnonManobo	?	back		peka	p e k a	P V K V	p e k a	P E K A	48	44	back:185	185
53486	Woleai	?	back		tagiurɪʊ	t a g iu r ɪʊ	T V K V R V	t a g i r i	T A K I R I	12	40	back:186	186
52459	Yami	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38	back:187	187
50924	Anuta	?	bad,evil		kovi	k o v i	K V W V	k o v i	K U B I	10	47	bad,evil:222	222
4729	Carolinian	?	bad,evil		ngngaw	n g n g a w	N K N K V W	n g n g a w	N K N K A W	11	48	bad,evil:223	223
45884	Chuukese	?	bad,evil		ngngaw	n g n g a w	N K N K V W	n g n g a w	N K N K A W	11	48	bad,evil:223	223
47045	DayakNgaju	?	bad,evil		papa	p a p a	P V P V	p a p a	P A P A	26	49	bad,evil:225	225
12893	EastSumbaneseKamberaSoutherndialect	?	bad,evil		kabulak	k a b u l a k	K V P V R V K	k a b u l a k	K A P Y L A K	5	54	bad,evil:222	222
29386	EastSumbaneseUmbuRatuNggaidialect	?	bad,evil		kabulak	k a b u l a k	K V P V R V K	k a b u l a k	K A P Y L A K	5	54	bad,evil:222	222
46837	FutunaEast	?	bad,evil		kino	k i n o	K V N V	k i n o	K I N U	9	55	bad,evil:228	228
56308	Imorod	?	bad,evil		marahet	m a r a h e t	M V R V H V T	m a r a h e t	M A R A H E T	1	46	bad,evil:229	229
9782	Indonesian	?	bad,evil		jahat	j a h a t	J V H V T	y a h a t	J A H A T	1	46	bad,evil:230	230
30017	Iraralay	?	bad,evil		marahet	m a r a h e t	M V R V H V T	m a r a h e t	M A R A H E T	1	46	bad,evil:229	229
40849	Isamorong	?	bad,evil		marahet	m a r a h e t	M V R V H V T	m a r a h e t	M A R A H E T	1	46	bad,evil:229	229
57222	Itbayat	?	bad,evil		marawet	m a r a w e t	M V R V W V T	m a r a w e t	M A R A W E T	1	46	bad,evil:229	229
11294	Itbayaten	?	bad,evil		maraɨt	m a r aɨ t	M V R V T	m a r a t	M A R A T	1	46	bad,evil:229	229
155	Ivasay	?	bad,evil		marahet	m a r a h e t	M V R V H V T	m a r a h e t	M A R A H E T	1	46	bad,evil:229	229
43206	Luangiua	?	bad,evil		sa/iŋo	s a i ŋ o	S V V N V	s a i N o	S A I N U	1	46	bad,evil:228	228
51549	MalayBahasaIndonesia	?	bad,evil		jahat	j a h a t	J V H V T	y a h a t	J A H A T	1	46	bad,evil:230	230
7778	Maori	?	bad,evil		kino	k i n o	K V N V	k i n o	K I N U	9	55	bad,evil:228	228
32138	Marquesan	?	bad,evil		hauhau	h au h au	H V H V	h a h a	H A H A	32	52	bad,evil:239	239
32139	Marquesan	?	bad,evil		ino	i n o	V N V	i n o	I N U	9	55	bad,evil:228	228
25995	Minangkabau	?	bad,evil		jaeʔ	j ae ʔ	J V H	y a 7	J A H	1	46	bad,evil:230	230
55591	Ogan	?	bad,evil		jahat	j a h a t	J V H V T	y a h a t	J A H A T	1	46	bad,evil:230	230
2103	Penrhyn	?	bad,evil		kino	k i n o	K V N V	k i n o	K I N U	9	55	bad,evil:228	228
46829	RapanuiEasterIsland	?	bad,evil		kino	k i n o	K V N V	k i n o	K I N U	9	55	bad,evil:228	228
49785	Rarotongan	?	bad,evil		kino	k i n o	K V N V	k i n o	K I N U	9	55	bad,evil:228	228
50707	Rennellese	?	bad,evil		maseʔi	m a s e ʔ i	M V S V H V	m a s e 7 i	M A S E H I	42	53	bad,evil:245	245
48927	Rurutuan	?	bad,evil		manuenu	m a n ue n u	M V N V N V	m a n u n u	M A N Y N Y	9	55	bad,evil:228	228
27725	Samoan	?	bad,evil		inoino	i n oi n o	V N V N V	i n o n o	I N U N U	9	55	bad,evil:228	228
60623	Surigaonon	?	bad,evil		mayaut	m ayau t	M V T	m a t	M A T	31	51	bad,evil:248	248
