language	iso_code	gloss	global_id	local_id	transcription	cognate_class
BugineseSoppengDialect	?	wife	?	?	baine	5
Maori	?	sea	?	?	tai	1
Maori	?	sea	?	?	moana	10
KahuaMami	?	tosplit	?	?	sitaria	55
Sasak	?	who?	?	?	sai	1
Erai	?	root	?	?	akar	2
Kaidipang	?	dust	?	?	rʔikavuko	1
Samoan	?	dry	?	?	maŋo	1
UveaEast	?	fire	?	?	afi	1
Ivasay	?	bad,evil	?	?	marahet	1
Sangir	?	husband	?	?	kawiŋ	33
AklanonBisayan	?	what?	?	?	ʔanuh	2
Manggarai	?	correct,true	?	?	tuʔu	6
Canala	?	ear	?	?	nɛnɛ	1
SubanunSindangan	?	tocount	?	?	mɨgbilang	1
Fataluku	?	six	?	?	neme	1
BontokGuinaang	?	todie,bedead	?	?	matəy	1
SyeErromangan	?	hair	?	?	novlinompu	31
Mota	?	good	?	?	wia	1
Nduke	?	liver	?	?	kolana	8
Luangiua	?	tocut,hack	?	?	oki	9
Luangiua	?	tocut,hack	?	?	sele	16
Luangiua	?	tocut,hack	?	?	vahi	13
Lahanan	?	back	?	?	likut	1
Ivasay	?	correct,true	?	?	hosto	25
Ivasay	?	correct,true	?	?	oyod	21
Aiwoo	?	neck	?	?	nulo	23
SangirTabukangDialect	?	all	?	?	kɨbiq	43
Manam	?	long	?	?	salaga	20
EastSumbaneseKamberaSoutherndialect	?	back	?	?	wonggu	6
Gabadi	?	rat	?	?	kaua	34
FutunaEast	?	water	?	?	vai	2
Saaroa	?	short	?	?	manitəkə	2
Kiribati	?	bird	?	?	mæn	1
KenyahLongAnap	?	eye	?	?	mata	1
Ilokano	?	thou	?	?	sika	1
Kodi	?	man/male	?	?	kabani	6
Nukuoro	?	blood	?	?	dodo	4
Tontemboan	?	yellow	?	?	kuniʔ	1
LihirSunglik	?	tohear	?	?	lan	1
LihirSunglik	?	tohear	?	?	lan	36
KaulongAuVillage	?	eye	?	?	mata	1
CiuliAtayal	?	heavy	?	?	ʔazusu	2
Marshallese	?	green	?	?	mahrew	13
Iranun	?	thick	?	?	makapal	1
Gabadi	?	tocount	?	?	evaauvaauva	29
ProtoCentralMalayoPolynesian	?	shoulder	?	?	qabaʀa	1
Madara	?	rope	?	?	sua	41
NumbamiSiboma	?	correct,true	?	?	biŋano	17
TaeSToraja	?	feather	?	?	bulu	1
Sengseng	?	below	?	?	ahet	16
Tagabili	?	liver	?	?	katay	1
Sewa	?	leg/foot	?	?	kae	1
Teun	?	tofly	?	?	nima	7
Bonfia	?	moon	?	?	fulan	1
Kaidipang	?	nose	?	?	uyuŋo	1
Buma	?	lightning	?	?	meŋgilɔ	22
Lahanan	?	tongue	?	?	jillaʔ	4
Iraralay	?	correct,true	?	?	oyod	21
Uruava	?	fruit	?	?	uana	1
Tape	?	short	?	?	bəɣ	11
MelayuBruneiDialect	?	tosqueeze	?	?	mamaras	1
GhariNggeri	?	tongue	?	?	lapina	21
Binukid	?	tostand	?	?	hitindɨg	20
Rotuman	?	all	?	?	atakoa	13
Hawaiian	?	woman/female	?	?	wahine	1
ProtoSouthernMindanaon	?	lake	?	?	lanaw	1
Molima	?	totieup,fasten	?	?	yowona	37
WewewaTanaRighudialect	?	who?	?	?	garai	5
Sonsorolese	?	mosquito	?	?	raamwu	1
Ogan	?	toeat	?	?	makan	1
ManoboWesternBukidnon	?	tosee	?	?	qahaq	39
Wogeo	?	child	?	?	natu	5
EastSumbaneseUmbuRatuNggaidialect	?	tosit	?	?	mandidung	6
Wogeo	?	dry	?	?	mamasa	11
Torau	?	one	?	?	idai	1
Roro	?	tosit	?	?	momiasi	84
Roro	?	tosit	?	?	momiasi	26
Wuna	?	correct,true	?	?	nokotuhu	6
Tugun	?	leaf	?	?	airon	1
DayakNgaju	?	red	?	?	randang	27
Kisar	?	tobreathe	?	?	warna	31
Ngadha	?	branch	?	?	daa	1
BauroHaununu	?	todrink	?	?	tono	35
Indonesian	?	dull,blunt	?	?	tumpul	3
SantaCatalina	?	child	?	?	kare	40
Sewa	?	towalk	?	?	taya	67
Mwotlap	?	nine	?	?	lɛßɛßɛt	20
Yakan	?	tofear	?	?	tinalew	34
Werinama	?	tothrow	?	?	idutv	7
Bwaidoga	?	dry	?	?	yayana	69
Ghari	?	this	?	?	iani	1
Teanu	?	one	?	?	iune	19
Jawe	?	breast	?	?	thin	1
Tigak	?	water	?	?	rurum	1
Giman	?	hand	?	?	komu	34
LampungNyoAbungKotabumi	?	toeat	?	?	məŋɑn	1
LampungNyoAbungKotabumi	?	toeat	?	?	məŋɑn	14
Canala	?	tobite	?	?	kɛkɛ	1
Maori	?	tostand	?	?	tuu	2
Agta	?	far	?	?	qʌdayu	25
Rennellese	?	tocut,hack	?	?	koti	9
Rennellese	?	tocut,hack	?	?	motu	14
Rennellese	?	tocut,hack	?	?	sege	16
Sekar	?	heavy	?	?	ma|berat	1
KelabitBario	?	flower	?	?	busak	23
LamaholotIleMandiriFloresTimur	?	five	?	?	lema	1
OldChinese	?	tosuck	?	?	ttsəp	1
Anuta	?	branch	?	?	raakau	1
ProtoOceanicPawley	?	when?	?	?	ŋaijan	1
Kerinci	?	tocook	?	?	masoʔ	19
ElatKeiBesar	?	toturn	?	?	mbutor	1
ProtoAustronesian	?	ear	?	?	Caliŋa	1
Katingan	?	day	?	?	andau	1
GhariNggae	?	tovomit	?	?	mumuta	1
VarisiGhone	?	tocome	?	?	lama	1
Namakir	?	nose	?	?	kinih	1
Rotuman	?	who?	?	?	sei	1
PunanKelai	?	hair	?	?	wok	1
Kerinci	?	tofall	?	?	jatewh	38
Sekar	?	yellow	?	?	kuniŋ	1
MelayuBruneiDialect	?	tochoose	?	?	mamilih	1
KenyahLongAnap	?	bad,evil	?	?	jaʔet	1
KakidugenIlongot	?	thunder	?	?	kiduǥ	2
Baree	?	tocry	?	?	taŋi	1
Carolinian	?	tocut,hack	?	?	ghopiiy	20
Carolinian	?	tocut,hack	?	?	sepeghi	19
KakidugenIlongot	?	cold	?	?	ǥɨmna	33
Ogan	?	thunder	?	?	guruh	1
Nembao	?	tongue	?	?	nemelani	7
BolaangMongondow	?	five	?	?	lima	1
Maanyan	?	tospit	?	?	i|rura	1
EastSumbaneseKamberaSoutherndialect	?	breast	?	?	huhu	1
Yakan	?	toopen,uncover	?	?	luka	1
Buma	?	long	?	?	mbiɔurɔ	16
BilaanSarangani	?	dust	?	?	kfung	13
Tokelau	?	correct,true	?	?	tonu	8
Chamorro	?	tohear	?	?	hungok	1
Luangiua	?	warm	?	?	mahaŋa	1
MarquesanNukuhivadialect	?	tosplit	?	?	vahi	4
GhariNggae	?	neck	?	?	liɔna	1
TetunDili	?	house	?	?	uma	1
BikolNagaCity	?	five	?	?	lima	1
TannaSouthwest	?	tail	?	?	nəpikou	31
Satawalese	?	person/humanbeing	?	?	yaremas	67
Yakan	?	intestines	?	?	tinaʔi	1
UveaWest	?	root	?	?	aka	2
Kusaghe	?	totieup,fasten	?	?	puku	41
Bilibil	?	rope	?	?	moli	29
BuruNamroleBay	?	louse	?	?	koto	1
Belait	?	this	?	?	itɛh	10
PulauArguni	?	we	?	?	ite	1
PulauArguni	?	we	?	?	ambami	2
Misima	?	day	?	?	lan	6
SangilSaraganiIslands	?	sharp	?	?	moro	44
MaloSantaCruz	?	rope	?	?	nivi	44
SangilSaraganiIslands	?	hair	?	?	qutaq	27
BilaanSarangani	?	dry	?	?	fanlawi	48
BilaanSarangani	?	dry	?	?	kafag	27
VaeakauTaumako	?	tobuy	?	?	tauia	9
KoiwaiIrianJaya	?	fish	?	?	don	12
Sobei	?	no,not	?	?	tap	22
KaulongAuVillage	?	shy,ashamed	?	?	maŋin	12
BontocGuinaang	?	tostand	?	?	takdɨg	22
Tugun	?	who?	?	?	ohari	8
CiuliAtayal	?	where?	?	?	ʔinuʔ	1
Banoni	?	wide	?	?	tataabana	37
EastSumbaneseKamberaSoutherndialect	?	tobuy	?	?	kai	24
Javanese	?	woods/forest	?	?	alas	1
Riwo	?	toswim	?	?	log	28
Manggarai	?	road/path	?	?	salaŋ	1
Uruava	?	intestines	?	?	siopana	36
Satawalese	?	tocount	?	?	paapa	11
Langalanga	?	tosuck	?	?	lotofia	28
Langalanga	?	tosuck	?	?	lotofia	1
KenyahLongAnap	?	wet	?	?	basaʔ	1
Manihiki	?	mosquito	?	?	namu	1
Lamboya	?	thatch/roof	?	?	kawedo	7
Sonsorolese	?	father	?	?	tama	1
LauNorth	?	toliedown	?	?	eno	1
Biliau	?	tocry	?	?	taŋtaŋ	1
ManoboKalamansigCotabatoParilDialect	?	toplant	?	?	hɨmula	1
Mamboru	?	rain	?	?	ura	1
TahitianModern	?	rat	?	?	iore	12
Kedang	?	thick	?	?	kapal	1
FutunaEast	?	when?	?	?	aafea	5
Pangasinan	?	tohear	?	?	denguelen	1
Mortlockese	?	tobreathe	?	?	ŋasaŋas	12
Kuanua	?	thunder	?	?	vaul	44
SquliqAtayal	?	tohunt	?	?	qmalup	1
Lala	?	sea	?	?	atu	19
CentralAmis	?	belly	?	?	tiaL	1
ManoboAtadownriver	?	big	?	?	dakol	22
Nengone	?	woman/female	?	?	hmenew	21
Babuyan	?	toblow	?	?	alopan	24
Baree	?	day	?	?	eo	20
Savu	?	dirty	?	?	raʔi	1
Ngadha	?	tostand	?	?	davi	1
MurnatenAlune	?	no,not	?	?	mo	7
Rarotongan	?	egg	?	?	ua	5
Kambera	?	breast	?	?	huhu	1
Gapapaiwa	?	i	?	?	a	1
Roviana	?	day	?	?	rane	6
Tape	?	moon	?	?	nil	1
TalisePoleo	?	tolaugh	?	?	cɔlɔ	56
Aria	?	towalk	?	?	lila	14
Manggarai	?	child	?	?	anak	1
Sediq	?	tohunt	?	?	maduk	1
Maloh	?	flower	?	?	buŋa	1
PalawanBatak	?	belly	?	?	tinaqi	34
PalawanBatak	?	belly	?	?	tinaqi	19
ManoboTigwaIglogsadDialect	?	man/male	?	?	lukɨs	38
Buma	?	far	?	?	sɔmu	1
Tikopia	?	person/humanbeing	?	?	tangata	1
Kerinci	?	this	?	?	neh	1
Tawaroga	?	tostand	?	?	ura	40
Sasak	?	nose	?	?	iduŋ	1
KeiTanimbarKei	?	water	?	?	wear	2
Kanakanabu	?	five	?	?	rima	1
Rarotongan	?	toscratch	?	?	raraku	9
Chuukese	?	rope	?	?	saan	1
Gaddang	?	tail	?	?	qiput	30
Niue	?	tosqueeze	?	?	tatau	13
Niue	?	tosqueeze	?	?	lomi	10
Niue	?	tosqueeze	?	?	fo/fota/	8
Jawe	?	star	?	?	piuk	1
Anakalang	?	lightning	?	?	kabala	6
AreareMaasupaVillage	?	tosay	?	?	unua	70
TausugJoloDialect	?	white	?	?	putiq	1
Ilonggo	?	name	?	?	ngalan	1
Ghari	?	left	?	?	mauli	1
KelabitBario	?	person/humanbeing	?	?	lemulun	17
SouAmanaTeru	?	house	?	?	ruma	1
Yakan	?	house	?	?	lumaʔ	1
Chuukese	?	towalk	?	?	fetan	8
Chuukese	?	towalk	?	?	no	53
Buma	?	mother	?	?	ete	13
Taiof	?	dust	?	?	ku|af	17
AnejomAneityum	?	black	?	?	apin	9
Nehan	?	mosquito	?	?	kohik	15
Ogan	?	tosuck	?	?	ŋisap	1
SambalBotolan	?	tosee	?	?	makit	1
Vitu	?	when?	?	?	ŋida	1
SaaSaaVillage	?	tohear	?	?	ronoa	1
BauroPawaVillage	?	neck	?	?	riɔna	1
DaweraDaweloor	?	cold	?	?	pril	3
ProtoMicronesian	?	head	?	?	ulu	1
Mortlockese	?	tocry	?	?	saŋisaŋ	1
Favorlang	?	right	?	?	kallamas	35
Tokelau	?	dirty	?	?	palapala	7
Tokelau	?	dirty	?	?	hava	8
MonoFauro	?	tosuck	?	?	motopo	31
EastSumbaneseLewadialect	?	totieup,fasten	?	?	hondu	4
Likum	?	he/she	?	?	iy	1
IfugaoAmganad	?	small	?	?	qittang	43
KelabitBario	?	breast	?	?	itiʔ	6
Ririo	?	one	?	?	kik	33
FutunaEast	?	tostab,pierce	?	?	suki	8
EastSumbaneseLewadialect	?	toknow,beknowledgeable	?	?	peinya	5
EastSumbaneseLewadialect	?	toknow,beknowledgeable	?	?	pengu	6
Ibanag	?	if	?	?	nu	2
Woleai	?	this	?	?	ye	8
Toambaita	?	you	?	?	kamaluʔa	1
LamogaiMulakaino	?	tosqueeze	?	?	pore	1
BajoPitulua	?	two	?	?	duǝ	1
Nissan	?	sharp	?	?	man	24
Roviana	?	tosay	?	?	zama	77
Manihiki	?	tokill	?	?	patu	9
Manihiki	?	tokill	?	?	taa	2
ProtoCentralMalayoPolynesian	?	night	?	?	bəŋin	1
ArakiSouthwestSanto	?	tobite	?	?	harri	1
BanjareseMalay	?	salt	?	?	uyah	15
Rurutuan	?	tosplit	?	?	vaavaaʔi	4
MalayBahasaIndonesia	?	cold	?	?	dingin	1
TelaMasbuar	?	in,inside	?	?	ramni	1
AklanonBisayan	?	tosew	?	?	tahiʔ	1
Vangunu	?	tostab,pierce	?	?	tasova	17
AreareMaasupaVillage	?	blood	?	?	ʔapuna	5
Hoava	?	wind	?	?	ɣivu	45
TahitianthCentury	?	big	?	?	rahi	12
TahitianthCentury	?	big	?	?	nui	11
Komering	?	big	?	?	balak	21
Kandas	?	stick/wood	?	?	nanai	1
WesternFijianNavosa	?	far	?	?	vayawa	4
Vano	?	thin	?	?	menievire	1
Tuamotu	?	at	?	?	i	1
Tuamotu	?	at	?	?	tei	5
ManoboAtadownriver	?	tail	?	?	qikug	1
Bilibil	?	skin	?	?	tinin	31
Chuukese	?	tohold	?	?	emwechu	16
Nese	?	bad,evil	?	?	sat	1
Suau	?	and	?	?	yo	31
SaaAuluVillage	?	eye	?	?	mana	1
PulauArguni	?	wet	?	?	pwages	34
SaipanCarolinian	?	they	?	?	iir	1
Vilirupu	?	tocry	?	?	eaǥini	1
Sikaiana	?	toplant	?	?	too/too	4
Mansaka	?	salt	?	?	qasin	3
KoronadalBlaan	?	lake	?	?	lanaw	1
Babatana	?	person/humanbeing	?	?	mbɔse	12
Ali	?	todig	?	?	eil	1
Makassar	?	sand	?	?	kassiʔ	24
Bima	?	long	?	?	naru	1
Tugun	?	cloud	?	?	natas	10
Nggela	?	we	?	?	gita	1
Nggela	?	we	?	?	gami	2
Palauan	?	i	?	?	ngak	1
GhariNggae	?	tohit	?	?	lambu	42
SyeErromangan	?	togrow	?	?	etpu	1
Gayo	?	tosqueeze	?	?	mumərah	1
Paulohi	?	he/she	?	?	ile	3
FutunaAniwa	?	totieup,fasten	?	?	fau/sia	11
EastSumbaneseLewadialect	?	what?	?	?	nggara	5
KaulongAuVillage	?	man/male	?	?	masaŋ	19
Ponapean	?	one	?	?	ehd	1
TahitianthCentury	?	towalk	?	?	haere	6
Banggi	?	head	?	?	ulu	1
Gedaged	?	i	?	?	ŋa	12
Itbayaten	?	tosit	?	?	matnɨk	32
Ura	?	four	?	?	lemelu	8
SantaAna	?	ear	?	?	kariŋa	1
SantaAna	?	ear	?	?	kariŋa	24
EastSumbaneseLewadialect	?	bone	?	?	ri	2
Paulohi	?	black	?	?	mete	1
TagbanwaKalamianCoronIslandDialect	?	six	?	?	qɨnɨm	1
Mamanwa	?	shoulder	?	?	qabaga	1
SyeErromangan	?	one	?	?	haiten	1
Doura	?	tocome	?	?	ama	1
Ogan	?	mouth	?	?	mulut	27
Lahanan	?	three	?	?	təlow	1
Takuu	?	heavy	?	?	m/mafa	1
Nalik	?	what?	?	?	aze	1
Biliau	?	tofly	?	?	ruoi	1
FutunaAniwa	?	tohit	?	?	paki	6
FutunaAniwa	?	tohit	?	?	tuki	8
Anakalang	?	tochoose	?	?	pedi	2
Tongan	?	bone	?	?	hui	2
PuloAnna	?	thick	?	?	madanʊ	40
Nauna	?	todie,bedead	?	?	mat	1
Nelemwa	?	thou	?	?	yo	2
Marshallese	?	tocut,hack	?	?	jay	18
Likum	?	liver	?	?	aten	1
Manihiki	?	six	?	?	ono	1
Soboyo	?	fruit	?	?	mfuan	1
PhanRangChamEasternCham	?	hand	?	?	taŋin	18
Vitu	?	branch	?	?	daŋana	11
Kokota	?	hand	?	?	kame	13
Nauna	?	breast	?	?	sus	1
Javanese	?	eye	?	?	mata	1
Minangkabau	?	ear	?	?	taliŋo	1
AttaPamplona	?	six	?	?	annam	1
Lamboya	?	shy,ashamed	?	?	make	1
Kairiru	?	toeat	?	?	qan	1
Kairiru	?	toeat	?	?	moneq	39
SaipanCarolinianTanapag	?	when?	?	?	leet	1
ProtoOceanicBlust	?	toswell	?	?	paʀoq	1
ProtoOceanicBlust	?	toswell	?	?	tubuq	12
Kuni	?	tohit	?	?	eaku	50
Talur	?	we	?	?	gita	1
Talur	?	we	?	?	gami	2
Imroing	?	who?	?	?	toi	4
Melayu	?	sand	?	?	pasir	18
KayupulauKajupulau	?	lightning	?	?	metəɣare	17
Ngadha	?	four	?	?	vutu	1
Saaroa	?	tosit	?	?	tuaparo	3
TannaSouthwest	?	he/she	?	?	in	1
Nati	?	fruit	?	?	nœvan	1
MonoFauro	?	tosay	?	?	tuʔu	75
Wolio	?	togrow	?	?	tuwu	1
Kwamera	?	root	?	?	nua	2
Thao	?	thou	?	?	ihu	1
Taiof	?	left	?	?	keruk	17
Nalik	?	white	?	?	aɣofkof	38
Cebuano	?	tosleep	?	?	matulog	1
Bunun	?	bird	?	?	haðam	2
Satawalese	?	tochoose	?	?	fili	1
Indonesian	?	tosplit	?	?	membelah	1
Oirata	?	rope	?	?	taru	100
Penrhyn	?	toclimb	?	?	kake	2
Paiwan	?	five	?	?	rima	1
ProtoCentralEasternMalayoPolynesian	?	mouth	?	?	babaq	1
Kapingamarangi	?	mosquito	?	?	lamu	1
Lahanan	?	one	?	?	dia	1
Longgu	?	mouth	?	?	ŋindu	61
Longgu	?	mouth	?	?	ŋindu	2
Nati	?	sea	?	?	nites	1
Rarotongan	?	thatch/roof	?	?	ato	1
Yami	?	six	?	?	anem	1
Makassar	?	towork	?	?	anjama	24
Marshallese	?	long	?	?	leyelley	13
Talur	?	tostand	?	?	napri	4
OldJavanese	?	belly	?	?	weteng	31
Tigak	?	narrow	?	?	sisigulut	15
KallahanKayapaProper	?	ten	?	?	hampulu	5
Saliba	?	tocount	?	?	hasili	20
Maori	?	tostab,pierce	?	?	oka	8
Nauna	?	thou	?	?	o	1
ProtoCentralMalayoPolynesian	?	tochoose	?	?	piliq	1
TaeSToraja	?	leaf	?	?	daun	1
Lahanan	?	fruit	?	?	bugwa	1
Ponapean	?	toknow,beknowledgeable	?	?	ese	35
SangirTabukangDialect	?	rat	?	?	βalaβo	1
Imorod	?	leg/foot	?	?	ayi	1
Mwotlap	?	above	?	?	apwɔ	2
EastSumbaneseKamberaSoutherndialect	?	tovomit	?	?	muta	1
Tawala	?	leg/foot	?	?	ae	1
Babuyan	?	new	?	?	bayo	1
Pondok	?	tostand	?	?	didi	1
Mortlockese	?	eye	?	?	mɛsa	1
Roviana	?	wide	?	?	labena	1
Carolinian	?	hand	?	?	ghumwusch	9
Merei	?	eye	?	?	mata	1
IfugaoBatad	?	thunder	?	?	qidul	2
Itbayat	?	toflow	?	?	ommoyog	22
ProtoAustronesian	?	smoke	?	?	qebel	1
ProtoAustronesian	?	smoke	?	?	CebuN	65
TetunTerikFehandialect	?	rotten	?	?	dodok	35
Lau	?	louse	?	?	ʔu	1
Mouk	?	stone	?	?	opmu	10
Lala	?	breast	?	?	baena	35
PalawanBatak	?	topound,beat	?	?	magləbək	14
Maranao	?	man/male	?	?	mama	39
Lau	?	toturn	?	?	abulo	32
Nggela	?	bone	?	?	huli	2
Lala	?	todrink	?	?	inuinu	1
BanjareseMalay	?	tocut,hack	?	?	tatak	3
Takuu	?	i	?	?	nau	1
Tugun	?	smoke	?	?	aimahun	2
MurnatenAlune	?	tongue	?	?	mei	7
Kokota	?	old	?	?	nakodou	33
Maranao	?	blood	?	?	rogoq	16
Suau	?	tosleep	?	?	ʔeno	8
Gedaged	?	water	?	?	naz	1
Kisar	?	mother	?	?	in	1
Mamanwa	?	day	?	?	qaldaw	1
Mussau	?	blood	?	?	rae	1
Ura	?	tosay	?	?	oco	28
Nauna	?	moon	?	?	pul	1
EastMasela	?	stone	?	?	wak	2
Favorlang	?	tokill	?	?	pacha	2
Chamorro	?	thou	?	?	hagu	1
Suau	?	dirty	?	?	biʔi	69
BugineseSoppengDialect	?	child	?	?	anaʔ	1
BontokGuinaang	?	wife	?	?	asawa	1
EastSumbaneseLewadialect	?	sharp	?	?	daku	4
Imorod	?	tocook	?	?	rotongan	22
