ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
55232	ChuukeseAKATrukese	?	all		menisin	m e n i s i n	M V N V S V N	m e n i s i n	M E N I S I N	3	13
29030	DayakNgaju	?	all		uras	u r a s	V R V S	u r a s	Y R A S	23	10
40310	FutunaEast	?	all		fuli	f u l i	P V R V	f u l i	B Y L I	14	8
40311	FutunaEast	?	all		kaatoa	k aa t oa	K V T V	k a t o	K A T U	13	7
28170	Imorod	?	all		akani	a k a n i	V K V N V	a k a n i	A K A N I	25	12
29089	Indonesian	?	all		semua	s e m ua	S V M V	s e m u	S E M Y	33	14
33295	Iraralay	?	all		kano	k a n o	K V N V	k a n o	K A N U	25	12
740	Isamorong	?	all		kani	k a n i	K V N V	k a n i	K A N I	25	12
49324	Itbayat	?	all		kanira	k a n i r a	K V N V R V	k a n i r a	K A N I R A	25	12
65483	Ivasay	?	all		kano	k a n o	K V N V	k a n o	K A N U	25	12
31546	Katingan	?	all		uras	u r a s	V R V S	u r a s	Y R A S	23	10
20079	Lakalai	?	all		tomi	t o m i	T V M V	t o m i	T U M I	18	9
63722	Luangiua	?	all		h/aakoa	h aa k oa	H V K V	h a k o	H A K U	13	7
12209	MalayBahasaIndonesia	?	all		semua	s e m ua	S V M V	s e m u	S E M Y	33	14
35886	Maori	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7
41099	NakanaiBilekiDialect	?	all		tomi	t o m i	T V M V	t o m i	T U M I	18	9
52384	Niue	?	all		gotoa	g o t oa	K V T V	g o t o	K U T U	13	7
12025	Penrhyn	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7
53793	Rarotongan	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7
29853	Rennellese	?	all		hugi	h u g i	H V K V	h u g i	H Y K I	14	8
29854	Rennellese	?	all		kaatoa	k aa t oa	K V T V	k a t o	K A T U	13	7
46811	Rurutuan	?	all		paaʔaatoʔa	p aa ʔ aa t o ʔ a	P V H V T V H V	p a 7 a t o 7 a	P A H A T U H A	13	7
14698	Samoan	?	all		ʔatoa	ʔ a t oa	H V T V	7 a t o	H A T U	13	7
11258	Sikaiana	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7
35312	Surigaonon	?	all		tanan	t a n a n	T V N V N	t a n a n	T A N A N	24	11
1925	Tagalog	?	all		lahat	l a h a t	R V H V T	l a h a t	L A H A T	37	15
6931	TagalogAnthonydelaPaz	?	all		lahat	l a h a t	R V H V T	l a h a t	L A H A T	37	15
6714	TahitianModern	?	all		atoa	a t oa	V T V	a t o	A T U	13	7
16204	Tikopia	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7
41571	Tongan	?	all		kotoa	k o t oa	K V T V	k o t o	K U T U	13	7
22992	Tuamotu	?	all		katoŋa	k a t o ŋ a	K V T V N V	k a t o N a	K A T U N A	13	7
26293	UveaEast	?	all		fulifuli	f u l i f u l i	P V R V P V R V	f u l i f u l i	B Y L I B Y L I	14	8
26294	UveaEast	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7
62449	WesternBukidnonManobo	?	all		laŋun	l a ŋ u n	R V N V N	l a N u n	L A N Y N	40	16
62450	WesternBukidnonManobo	?	all		elin	e l i n	V R V N	e l i n	E L I N	41	17
42852	Anuta	?	and		maa	m aa	M V	m a	M A	2	21
42853	Anuta	?	and		mo	m o	M V	m o	M U	9	27
42568	BanjareseMalay	?	and		dan	d a n	T V N	d a n	T A N	18	20
12159	Carolinian	?	and		me	m e	M V	m e	M E	2	21
12160	Carolinian	?	and		nge	n g e	N K V	n g e	N K E	10	19
43525	Cebuano	?	and		ug	u g	V K	u g	Y K	25	23
19705	Chuukese	?	and		me	m e	M V	m e	M E	2	21
19706	Chuukese	?	and		nge	n g e	N K V	n g e	N K E	10	19
41071	ChuukeseAKATrukese	?	and		me	m e	M V	m e	M E	2	21
41072	ChuukeseAKATrukese	?	and		ŋe	ŋ e	N V	N e	N E	10	19
17844	DayakNgaju	?	and		tuntang	t u n t a n g	T V N T V N K	t u n t a n g	T Y N T A N K	23	22
66624	EastSumbaneseKamberaSoutherndialect	?	and		dangu	d a n g u	T V N K V	d a n g u	T A N K Y	4	25
67117	EastSumbaneseUmbuRatuNggaidialect	?	and		dangu	d a n g u	T V N K V	d a n g u	T A N K Y	4	25
33892	FutunaEast	?	and		mo	m o	M V	m o	M U	9	27
19497	Imorod	?	and		akanira	a k a n i r a	V K V N V R V	a k a n i r a	A K A N I R A	1	18
56124	Indonesian	?	and		dan	d a n	T V N	d a n	T A N	18	20
29256	Iraralay	?	and		akanira	a k a n i r a	V K V N V R V	a k a n i r a	A K A N I R A	1	18
24595	Isamorong	?	and		kani	k a n i	K V N V	k a n i	K A N I	1	18
43561	Itbayat	?	and		kani	k a n i	K V N V	k a n i	K A N I	1	18
5843	Itbayaten	?	and		ka|n	k a| n	K V N	k a n	K A N	1	18
52433	Ivasay	?	and		kani	k a n i	K V N V	k a n i	K A N I	1	18
2553	Katingan	?	and		tutaŋ	t u t a ŋ	T V T V N	t u t a N	T Y T A N	23	22
25488	Lakalai	?	and		me	m e	M V	m e	M E	2	21
26998	Luangiua	?	and		maa	m aa	M V	m a	M A	2	21
40693	MalayBahasaIndonesia	?	and		dan	d a n	T V N	d a n	T A N	18	20
7969	Maori	?	and		me	m e	M V	m e	M E	2	21
53125	Marquesan	?	and		maa	m aa	M V	m a	M A	2	21
45296	Minangkabau	?	and		dan	d a n	T V N	d a n	T A N	18	20
24476	NakanaiBilekiDialect	?	and		me	m e	M V	m e	M E	2	21
51250	Niue	?	and		ma	m a	M V	m a	M A	2	21
51251	Niue	?	and		mo	m o	M V	m o	M U	9	27
30520	Penrhyn	?	and		ma	m a	M V	m a	M A	2	21
20189	RapanuiEasterIsland	?	and		ma	m a	M V	m a	M A	2	21
53233	Rarotongan	?	and		maa	m aa	M V	m a	M A	2	21
20376	Rennellese	?	and		ma	m a	M V	m a	M A	2	21
10914	Rurutuan	?	and		ʔee	ʔ ee	H V	7 e	H E	8	26
63326	Samoan	?	and		ma	m a	M V	m a	M A	2	21
29380	Sikaiana	?	and		ma	m a	M V	m a	M A	2	21
33519	Tagalog	?	and		at	a t	V T	a t	A T	26	24
18109	TagalogAnthonydelaPaz	?	and		at	a t	V T	a t	A T	26	24
8015	TahitianModern	?	and		ee	ee	V	e	E	8	26
9925	Tikopia	?	and		ma	m a	M V	m a	M A	2	21
9926	Tikopia	?	and		mo	m o	M V	m o	M U	9	27
4203	Tongan	?	and		mo	m o	M V	m o	M U	9	27
31504	UveaEast	?	and		mo	m o	M V	m o	M U	9	27
48113	Woleai	?	and		me	m e	M V	m e	M E	2	21
48114	Woleai	?	and		nge	n g e	N K V	n g e	N K E	10	19
54392	Yami	?	and		kanuʔ	k a n u ʔ	K V N V H	k a n u 7	K A N Y H	1	18
24574	Anuta	?	ash		repu	r e p u	R V P V	r e p u	R E P Y	1	28
26985	BanjareseMalay	?	ash		habu	h a b u	H V P V	h a b u	H A P Y	1	28
16872	Carolinian	?	ash		falang	f a l a n g	P V R V N K	f a l a n g	B A L A N K	8	31
20332	Cebuano	?	ash		agiw	a g i w	V K V W	a g i w	A K I W	1	28
10616	Chuukese	?	ash		fanang	f a n a n g	P V N V N K	f a n a n g	B A N A N K	8	31
13741	ChuukeseAKATrukese	?	ash		fanaŋ	f a n a ŋ	P V N V N	f a n a N	B A N A N	8	31
85	DayakNgaju	?	ash		kawu	k a w u	K V W V	k a w u	K A W Y	1	28
32731	EastSumbaneseKamberaSoutherndialect	?	ash		au	au	V	a	A	1	28
62813	EastSumbaneseUmbuRatuNggaidialect	?	ash		awu	a w u	V W V	a w u	A W Y	1	28
25870	FutunaEast	?	ash		lafu	l a f u	R V P V	l a f u	L A B Y	1	28
39721	Imorod	?	ash		avo	a v o	V W V	a v o	A B U	1	28
64363	Indonesian	?	ash		abu	a b u	V P V	a b u	A P Y	1	28
34733	Iraralay	?	ash		avo	a v o	V W V	a v o	A B U	1	28
26780	Isamorong	?	ash		avo	a v o	V W V	a v o	A B U	1	28
43260	Itbayat	?	ash		avo	a v o	V W V	a v o	A B U	1	28
59208	Itbayaten	?	ash		qavuq	q a v u q	K V W V K	q a v u q	K A B Y K	1	28
46767	Ivasay	?	ash		avo	a v o	V W V	a v o	A B U	1	28
57475	Katingan	?	ash		kawuʔ	k a w u ʔ	K V W V H	k a w u 7	K A W Y H	1	28
46191	Lakalai	?	ash		buburo	b u b u r o	P V P V R V	b u b u r o	P Y P Y R U	14	29
44670	Luangiua	?	ash		lehu	l e h u	R V H V	l e h u	L E H Y	1	28
63523	MalayBahasaIndonesia	?	ash		abu	a b u	V P V	a b u	A P Y	1	28
46735	Maori	?	ash		pungarehu	p u n g a r e h u	P V N K V R V H V	p u n g a r e h u	P Y N K A R E H Y	1	28
44950	Marquesan	?	ash		ke/ehu/	k e e h u	K V V H V	k e e h u	K E E H Y	1	28
8823	Minangkabau	?	ash		abu	a b u	V P V	a b u	A P Y	1	28
22952	NakanaiBilekiDialect	?	ash		buburo	b u b u r o	P V P V R V	b u b u r o	P Y P Y R U	14	29
17940	Niue	?	ash		efu/efu	e f u e f u	V P V V P V	e f u e f u	E B Y E B Y	1	28
43654	Ogan	?	ash		abu	a b u	V P V	a b u	A P Y	1	28
23749	Penrhyn	?	ash		rehu	r e h u	R V H V	r e h u	R E H Y	1	28
66796	RapanuiEasterIsland	?	ash		eoeo	eoeo	V	e	E	1	28
40482	Rarotongan	?	ash		reu	r eu	R V	r e	R E	1	28
41396	Rennellese	?	ash		gehu	g e h u	K V H V	g e h u	K E H Y	1	28
13662	Rurutuan	?	ash		reʔu	r e ʔ u	R V H V	r e 7 u	R E H Y	1	28
1367	Samoan	?	ash		lefulefu	l e f u l e f u	R V P V R V P V	l e f u l e f u	L E B Y L E B Y	1	28
59929	Sikaiana	?	ash		lehu	l e h u	R V H V	l e h u	L E H Y	1	28
47376	Surigaonon	?	ash		abo	a b o	V P V	a b o	A P U	1	28
62862	Tagalog	?	ash		abo	a b o	V P V	a b o	A P U	1	28
55179	TagalogAnthonydelaPaz	?	ash		abo	a b o	V P V	a b o	A P U	1	28
64323	TahitianModern	?	ash		rehu	r e h u	R V H V	r e h u	R E H Y	1	28
35463	Tikopia	?	ash		refu	r e f u	R V P V	r e f u	R E B Y	1	28
51030	Tongan	?	ash		efuefu	e f ue f u	V P V P V	e f u f u	E B Y B Y	1	28
13843	Tuamotu	?	ash		rehu	r e h u	R V H V	r e h u	R E H Y	1	28
24344	UveaEast	?	ash		lefu/lefu	l e f u l e f u	R V P V R V P V	l e f u l e f u	L E B Y L E B Y	1	28
53590	Woleai	?	ash		peyasa	p eya s a	P V S V	p e s a	P E S A	7	30
53591	Woleai	?	ash		felanga	f e l a n g a	P V R V N K V	f e l a n g a	B E L A N K A	8	31
58656	Yami	?	ash		avo	a v o	V W V	a v o	A B U	1	28
29172	Anuta	?	at		i	i	V	i	I	1	32
65431	BanjareseMalay	?	at		di	d i	T V	d i	T I	20	35
52638	Carolinian	?	at		i	i	V	i	I	1	32
52639	Carolinian	?	at		lee	l ee	R V	l e	L E	20	35
25194	Cebuano	?	at		sa	s a	S V	s a	S A	14	33
37607	Chuukese	?	at		i	i	V	i	I	1	32
7547	ChuukeseAKATrukese	?	at		i	i	V	i	I	1	32
44975	DayakNgaju	?	at		hung	h u n g	H V N K	h u n g	H Y N K	22	36
33578	EastSumbaneseKamberaSoutherndialect	?	at		la	l a	R V	l a	L A	2	34
41529	EastSumbaneseUmbuRatuNggaidialect	?	at		ta	t a	T V	t a	T A	2	34
54260	FutunaEast	?	at		i	i	V	i	I	1	32
54261	FutunaEast	?	at		ki	k i	K V	k i	K I	5	37
29425	Indonesian	?	at		di	d i	T V	d i	T I	20	35
65850	Luangiua	?	at		i	i	V	i	I	1	32
42765	MalayBahasaIndonesia	?	at		di	d i	T V	d i	T I	20	35
61045	Maori	?	at		i	i	V	i	I	1	32
61046	Maori	?	at		hei	h ei	H V	h e	H E	5	37
48002	Marquesan	?	at		i	i	V	i	I	1	32
34997	Minangkabau	?	at		di	d i	T V	d i	T I	20	35
13033	Niue	?	at		i	i	V	i	I	1	32
16678	Ogan	?	at		di	d i	T V	d i	T I	20	35
36883	Penrhyn	?	at		i	i	V	i	I	1	32
7652	RapanuiEasterIsland	?	at		i	i	V	i	I	1	32
8678	Rarotongan	?	at		i	i	V	i	I	1	32
8679	Rarotongan	?	at		tei	t ei	T V	t e	T E	5	37
66871	Rennellese	?	at		i	i	V	i	I	1	32
51862	Rurutuan	?	at		i	i	V	i	I	1	32
58269	Samoan	?	at		i	i	V	i	I	1	32
2858	Sikaiana	?	at		i	i	V	i	I	1	32
11434	Surigaonon	?	at		sa	s a	S V	s a	S A	14	33
51740	Tagalog	?	at		sa	s a	S V	s a	S A	14	33
25680	TagalogAnthonydelaPaz	?	at		sa	s a	S V	s a	S A	14	33
56979	TahitianModern	?	at		i	i	V	i	I	1	32
2951	Tikopia	?	at		i	i	V	i	I	1	32
59584	Tongan	?	at		ʔi	ʔ i	H V	7 i	H I	1	32
425	Tuamotu	?	at		i	i	V	i	I	1	32
426	Tuamotu	?	at		tei	t ei	T V	t e	T E	5	37
51586	UveaEast	?	at		i	i	V	i	I	1	32
51587	UveaEast	?	at		tei	t ei	T V	t e	T E	5	37
12607	WesternBukidnonManobo	?	at		di	d i	T V	d i	T I	20	35
19788	Woleai	?	at		i	i	V	i	I	1	32
19789	Woleai	?	at		lee	l ee	R V	l e	L E	20	35
57419	BanjareseMalay	?	back		balakang	b a l a k a n g	P V R V K V N K	b a l a k a n g	P A L A K A N K	27	43
43852	Carolinian	?	back		saghur	s a g h u r	S V K H V R	s a g h u r	S A K H Y R	12	40
59328	Cebuano	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38
14382	Chuukese	?	back		sekur	s e k u r	S V K V R	s e k u r	S E K Y R	12	40
26266	ChuukeseAKATrukese	?	back		sukur	s u k u r	S V K V R	s u k u r	S Y K Y R	12	40
64603	DayakNgaju	?	back		likut	l i k u t	R V K V T	l i k u t	L I K Y T	1	38
175	EastSumbaneseKamberaSoutherndialect	?	back		wonggu	w o n gg u	W V N K V	w o n g u	W U N K Y	6	45
38803	FutunaEast	?	back		tua	t ua	T V	t u	T Y	11	39
24032	Imorod	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38
23733	Indonesian	?	back		belakaŋ	b e l a k a ŋ	P V R V K V N	b e l a k a N	P E L A K A N	27	43
55706	Iraralay	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38
29843	Isamorong	?	back		dicod	d i c o d	T V K V T	d i T o d	T I C U T	1	38
65498	Itbayat	?	back		licod	l i c o d	R V K V T	l i T o d	L I C U T	1	38
11050	Itbayaten	?	back		licud	l i c u d	R V K V T	l i T u d	L I C Y T	1	38
2334	Ivasay	?	back		dicod	d i c o d	T V K V T	d i T o d	T I C U T	1	38
61693	Katingan	?	back		likur	l i k u r	R V K V R	l i k u r	L I K Y R	1	38
7303	Lakalai	?	back		poke	p o k e	P V K V	p o k e	P U K E	19	41
57815	Luangiua	?	back		aŋa/kua	a ŋ a k ua	V N V K V	a N a k u	A N A K Y	11	39
18260	MalayBahasaIndonesia	?	back		punggung	p u n gg u n g	P V N K V N K	p u n g u n g	P Y N K Y N K	24	42
56828	Maori	?	back		tuaraa	t ua r aa	T V R V	t u r a	T Y R A	11	39
7536	Marquesan	?	back		tua	t ua	T V	t u	T Y	11	39
29362	Minangkabau	?	back		puŋguaŋ	p u ŋ g ua ŋ	P V N K V N	p u N g u N	P Y N K Y N	24	42
3287	NakanaiBilekiDialect	?	back		poke	p o k e	P V K V	p o k e	P U K E	19	41
25294	Ogan	?	back		puŋguŋ	p u ŋ g u ŋ	P V N K V N	p u N g u N	P Y N K Y N	24	42
18882	RapanuiEasterIsland	?	back		tuaivi	t uai v i	T V W V	t u v i	T Y B I	11	39
14389	Rarotongan	?	back		mokotua	m o k o t ua	M V K V T V	m o k o t u	M U K U T Y	11	39
13755	Rennellese	?	back		tuʔa	t u ʔ a	T V H V	t u 7 a	T Y H A	11	39
61658	Rurutuan	?	back		tautua	t au t ua	T V T V	t a t u	T A T Y	12	40
63527	Samoan	?	back		tua	t ua	T V	t u	T Y	11	39
11662	Sikaiana	?	back		tua	t ua	T V	t u	T Y	11	39
20272	Surigaonon	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38
46213	Tagalog	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38
20047	TagalogAnthonydelaPaz	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38
48296	TahitianModern	?	back		tua	t ua	T V	t u	T Y	11	39
8593	Tikopia	?	back		tua	t ua	T V	t u	T Y	11	39
3441	Tongan	?	back		tuʔa	t u ʔ a	T V H V	t u 7 a	T Y H A	11	39
20113	Tuamotu	?	back		papatua	p a p a t ua	P V P V T V	p a p a t u	P A P A T Y	11	39
61623	UveaEast	?	back		tua	t ua	T V	t u	T Y	11	39
42535	WesternBukidnonManobo	?	back		peka	p e k a	P V K V	p e k a	P E K A	48	44
53486	Woleai	?	back		tagiurɪʊ	t a g iu r ɪʊ	T V K V R V	t a g i r i	T A K I R I	12	40
52459	Yami	?	back		likod	l i k o d	R V K V T	l i k o d	L I K U T	1	38
50924	Anuta	?	bad,evil		kovi	k o v i	K V W V	k o v i	K U B I	10	47
4729	Carolinian	?	bad,evil		ngngaw	n g n g a w	N K N K V W	n g n g a w	N K N K A W	11	48
45884	Chuukese	?	bad,evil		ngngaw	n g n g a w	N K N K V W	n g n g a w	N K N K A W	11	48
47045	DayakNgaju	?	bad,evil		papa	p a p a	P V P V	p a p a	P A P A	26	49
12893	EastSumbaneseKamberaSoutherndialect	?	bad,evil		kabulak	k a b u l a k	K V P V R V K	k a b u l a k	K A P Y L A K	5	54
29386	EastSumbaneseUmbuRatuNggaidialect	?	bad,evil		kabulak	k a b u l a k	K V P V R V K	k a b u l a k	K A P Y L A K	5	54
46837	FutunaEast	?	bad,evil		kino	k i n o	K V N V	k i n o	K I N U	9	55
56308	Imorod	?	bad,evil		marahet	m a r a h e t	M V R V H V T	m a r a h e t	M A R A H E T	1	46
9782	Indonesian	?	bad,evil		jahat	j a h a t	J V H V T	y a h a t	J A H A T	1	46
30017	Iraralay	?	bad,evil		marahet	m a r a h e t	M V R V H V T	m a r a h e t	M A R A H E T	1	46
40849	Isamorong	?	bad,evil		marahet	m a r a h e t	M V R V H V T	m a r a h e t	M A R A H E T	1	46
57222	Itbayat	?	bad,evil		marawet	m a r a w e t	M V R V W V T	m a r a w e t	M A R A W E T	1	46
11294	Itbayaten	?	bad,evil		maraɨt	m a r aɨ t	M V R V T	m a r a t	M A R A T	1	46
155	Ivasay	?	bad,evil		marahet	m a r a h e t	M V R V H V T	m a r a h e t	M A R A H E T	1	46
43206	Luangiua	?	bad,evil		sa/iŋo	s a i ŋ o	S V V N V	s a i N o	S A I N U	1	46
51549	MalayBahasaIndonesia	?	bad,evil		jahat	j a h a t	J V H V T	y a h a t	J A H A T	1	46
7778	Maori	?	bad,evil		kino	k i n o	K V N V	k i n o	K I N U	9	55
32138	Marquesan	?	bad,evil		hauhau	h au h au	H V H V	h a h a	H A H A	32	52
32139	Marquesan	?	bad,evil		ino	i n o	V N V	i n o	I N U	9	55
25995	Minangkabau	?	bad,evil		jaeʔ	j ae ʔ	J V H	y a 7	J A H	1	46
55591	Ogan	?	bad,evil		jahat	j a h a t	J V H V T	y a h a t	J A H A T	1	46
2103	Penrhyn	?	bad,evil		kino	k i n o	K V N V	k i n o	K I N U	9	55
46829	RapanuiEasterIsland	?	bad,evil		kino	k i n o	K V N V	k i n o	K I N U	9	55
49785	Rarotongan	?	bad,evil		kino	k i n o	K V N V	k i n o	K I N U	9	55
50707	Rennellese	?	bad,evil		maseʔi	m a s e ʔ i	M V S V H V	m a s e 7 i	M A S E H I	42	53
48927	Rurutuan	?	bad,evil		manuenu	m a n ue n u	M V N V N V	m a n u n u	M A N Y N Y	9	55
27725	Samoan	?	bad,evil		inoino	i n oi n o	V N V N V	i n o n o	I N U N U	9	55
60623	Surigaonon	?	bad,evil		mayaut	m ayau t	M V T	m a t	M A T	31	51
19054	Tagalog	?	bad,evil		masama	m a s a m a	M V S V M V	m a s a m a	M A S A M A	30	50
16956	TagalogAnthonydelaPaz	?	bad,evil		masama	m a s a m a	M V S V M V	m a s a m a	M A S A M A	30	50
27271	TahitianModern	?	bad,evil		ino	i n o	V N V	i n o	I N U	9	55
30146	Tongan	?	bad,evil		kovi	k o v i	K V W V	k o v i	K U B I	10	47
44783	Tuamotu	?	bad,evil		kiro	k i r o	K V R V	k i r o	K I R U	9	55
65477	UveaEast	?	bad,evil		kovi	k o v i	K V W V	k o v i	K U B I	10	47
11723	WesternBukidnonManobo	?	bad,evil		daqat	d a q a t	T V K V T	d a q a t	T A K A T	1	46
62485	Woleai	?	bad,evil		ngngawa	n g n g a w a	N K N K V W V	n g n g a w a	N K N K A W A	11	48
1749	Yami	?	bad,evil		marahet	m a r a h e t	M V R V H V T	m a r a h e t	M A R A H E T	1	46
22452	Anuta	?	belly		manava	m a n a v a	M V N V W V	m a n a v a	M A N A B A	9	67
22453	Anuta	?	belly		aro/aro	a r o a r o	V R V V R V	a r o a r o	A R U A R U	10	57
59465	BanjareseMalay	?	belly		parut	p a r u t	P V R V T	p a r u t	P A R Y T	32	62
22932	Carolinian	?	belly		uubw	uu b w	V P W	u b w	Y P W	11	58
63459	Cebuano	?	belly		tiyan	t iya n	T V N	t i n	T I N	1	56
17370	Chuukese	?	belly		wuupw	w uu p w	W V P W	w u p w	W Y P W	11	58
37538	ChuukeseAKATrukese	?	belly		wupwa	w u p w a	W V P W V	w u p w a	W Y P W A	11	58
1568	EastSumbaneseKamberaSoutherndialect	?	belly		kambu	k a m b u	K V M P V	k a m b u	K A M P Y	2	60
51809	EastSumbaneseUmbuRatuNggaidialect	?	belly		kambu	k a m b u	K V M P V	k a m b u	K A M P Y	2	60
64318	FutunaEast	?	belly		tinae	t i n ae	T V N V	t i n a	T I N A	34	63
64319	FutunaEast	?	belly		kona	k o n a	K V N V	k o n a	K U N A	8	66
64320	FutunaEast	?	belly		manava	m a n a v a	M V N V W V	m a n a v a	M A N A B A	9	67
64321	FutunaEast	?	belly		tinae	t i n ae	T V N V	t i n a	T I N A	19	59
40356	Imorod	?	belly		velek	v e l e k	W V R V K	v e l e k	B E L E K	27	61
45341	Indonesian	?	belly		perut	p e r u t	P V R V T	p e r u t	P E R Y T	32	62
3420	Iraralay	?	belly		velek	v e l e k	W V R V K	v e l e k	B E L E K	27	61
54342	Isamorong	?	belly		vedek	v e d e k	W V T V K	v e d e k	B E T E K	27	61
66424	Itbayat	?	belly		volek	v o l e k	W V R V K	v o l e k	B U L E K	27	61
27179	Itbayaten	?	belly		vulɨk	v u l ɨ k	W V R V K	v u l I k	B Y L I K	27	61
48392	Ivasay	?	belly		vodek	v o d e k	W V T V K	v o d e k	B U T E K	27	61
12883	Lakalai	?	belly		tia	t ia	T V	t i	T I	1	56
50480	Luangiua	?	belly		maŋava	m a ŋ a v a	M V N V W V	m a N a v a	M A N A B A	9	67
11983	MalayBahasaIndonesia	?	belly		perut	p e r u t	P V R V T	p e r u t	P E R Y T	32	62
11263	Marquesan	?	belly		opu	o p u	V P V	o p u	U P Y	2	60
65593	Minangkabau	?	belly		paruit	p a r ui t	P V R V T	p a r u t	P A R Y T	32	62
19221	NakanaiBilekiDialect	?	belly		tia	t ia	T V	t i	T I	1	56
9717	Niue	?	belly		manava	m a n a v a	M V N V W V	m a n a v a	M A N A B A	9	67
9718	Niue	?	belly		alo/alo	a l o a l o	V R V V R V	a l o a l o	A L U A L U	10	57
51537	Ogan	?	belly		pəxut	p ə x u t	P V K V T	p I x u t	P E G Y T	32	62
30247	Penrhyn	?	belly		kona	k o n a	K V N V	k o n a	K U N A	8	66
