# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	GLOTTOCODE	COGID
38974	Adnyamathanha		w u r a ɭ k u	adny1235	1
38975	Alyawarr		ʈ a ŋ a r k a l	alya1239	1
38976	Arabana		m u l p a	arab1267	1
38977	Badjiri		k u n t̪ a ɹ a	badj1244	1697
38978	Yugambeh-Bandjalang		k oː ɹ a l k u m	band1339	1
38979	Kabikabi		m u g u j	kabi1260	1
38980	Southern Maric		g a ŋ g u ɲ	sout2765	1
38981	Bilinara		g u r a n d a	bili1250	1
38982	Biri		g u r u r	biri1256	1
38983	Birrpayi		d u ɹ a l i j a _ m u d j i l	birr1241	1
38984	Bularnu		w a ɹ a g a m a ɖ a p a	bula1255	1
38985	Bunganditj		w a n d i	bung1264	1
38986	Colac		k o ɹ o ɹ k	cola1237	1
38987	Colac		c o ɹ o a ɹ c	cola1237	1
38988	Hawkesbury		b a l g a	hawk1239	1
38989	Dhangu		g u ɖ u r k u	dhan1270	1
38990	Thurawal		g u ɹ a d̪ a w a g	thur1254	1
38991	Sydney		d j u ɹ a l j a	sydn1236	1
38992	Dharumbal		g u ɹ u ɹ	dhar1248	1699
38993	Dayi		ɖ a ŋ g u l t c i	dayi1244	1
38994	Dhudhuroa		b e r a ŋ a	dhud1236	1
38995	Dhurga		g u ɹ a d̪ u	dhur1239	1
38996	Dhuwal		ɖ a ŋ g u l t c i	dhuw1249	1
38997	Dieri		p u d a l k u	dier1241	1698
38998	Djambarrpuyngu		ɖ a ŋ g u l t c i	djam1256	1
38999	Djapu		ɖ a ŋ g u l t c i	djap1238	1
39000	Djinang		g u ɖ u r k i	djin1253	1
39002	Duungidjawu		ŋ a n c a m e r	duun1241	1
39003	Dyirbal		g u ɽ u ɹ	dyir1250	1699
39004	Flinders Island		o r p a l	flin1247	1
39005	Wadjigu		k o a ɹ ɹ oː ɹ	wadj1255	1
39006	Gamilaraay		b u r aː l g a	gami1243	1698
39007	Kalali		g u n̪ t̪ a r a	kala1380	1697
39008	Gureng Gureng		g oː l oː l oː g oː m	gure1255	1
39009	Gudjal		g u n a m a l i	gudj1237	1
39010	Gumatj		j a l a ʈ a	guma1253	1
39011	Kumbainggar		b a r d a w i	kumb1268	1
39012	Gunditjmara		k o t c u n	gund1249	1
39013	Northern Inland Yui		b u ɹ a l g a	nort2760	1698
39014	Kunggari		b a r a l g a	kung1258	1
39015	Gunya		g u l u d k u	guny1241	1
39016	Gupapuyngu		g u ɖ u r k u	gupa1247	1
39017	Gurindji		t o ʈ	guri1247	1
39018	Guugu Yimidhirr		g u r b a l	gugu1255	1
39019	Guwa		b i l b u ŋ a t a	guwa1242	1
39020	Sydney		d u ɹ a l i j a _ m u d j i l	sydn1236	1
39021	Jaru		g u ɹ g a l i	jaru1254	1
39022	Kalkutung		k u l̪ t̪ uː r	kalk1246	1697
39023	Gamilaraay		b u r aː l g a	gami1243	1698
39024	Karadjeri		k u ʈ u r	kara1476	1
39025	Kariyarra		j a ɳ k a r a	kari1304	1
39026	Kartujarra		ʈ a r k a ɹ u	kart1247	1
39027	Karruwali		k u n t̪ a ɹ a t a	karr1236	1697
39028	Gathang		d h e o k a	gath1234	1700
39029	Kuku-Uwan		m i n̪ a _ k o ɹ ʔ o	kuku1280	1
39030	Gugadj		p aː k	guga1239	1
39031	Kukatja		w a l a ɲ t c a	kuka1246	1
39032	Kuku-Yalanji		k u r b a l	kuku1273	1
39034	Kuungkari of Barcoo River		k u l t̪ u d u	kuun1236	1697
39035	Kula (Australia)		g oː l e ɹ k oː	kula1275	1
39036	Gurdjar		ŋ k aː β	gurd1238	1
39037	Gurdjar		k o ɹ k o r	gurd1238	1
39038	Kuuku-Ya'u		t uː l k a	kuuk1238	1
39039	Leningitij		n d ɹ i l	leni1238	1
39040	Kala Lagaw Ya		a p o ɹ e g a	kala1377	1
39041	Malgana		c a p a l t u k	malg1242	1
39042	Malyangapa		k oː ɭ t̪ o	maly1234	1
39043	Margany		g u n̪ t̪ a ɹ a	marg1253	1697
39044	Madhi Madhi		k o t o ɳ i	madh1244	1
39045	Mayi-Kulan		t̪ a r a p u k a	mayi1236	1700
39046	Mayaguduna		k u ɹ a ŋ d a	maya1280	1
39047	Mayi-Thakurti		t u ɹ k a	mayi1234	1
39048	Mayi-Yapi		t̪ o ɹ o b o k o	mayi1235	1700
39049	Mbabaram		k oː l oː ɹ a	mbab1239	1
39050	Anguthimri		n d r w i l i	angu1242	1
39051	Minjungbal		w oː ɹ g i l i e	minj1242	1
39052	Mithaka		p u r a l k u	mith1236	1698
39053	Mudburra		k u r a ɳ t a l a	mudb1240	1
39054	Muruwari		k a ɹ u ɹ u	muru1266	1
39055	Narungga		d i dː i d i l g a	naru1238	1
39057	Lower Riverland		b ɹ a l g a n	lowe1402	1698
39058	Ngamini		p u ɹ a l k u	ngam1284	1698
39059	Ngarinman		g u d a r g	ngar1235	1
39060	Ngarla		j aː ɳ k a r a	ngar1296	1
39061	Ngarluma		j aː ɳ k a r a	ngar1287	1
39062	Narrinyeri		p ɹ o l g	narr1259	1698
39063	Ngawun		t̪ a r a p u k a	ngaw1240	1700
39064	Ngiyambaa		k oː j e ɹ a k a n	ngiy1239	1
39065	Ngunawal		g oː ɹ i n e	ngun1277	1
39066	Nhanda		w o gː e ɹ a	nhan1238	1
39067	Northern Coastal Nyangumarta		k u ʈ u r	nort2754	1
39068	Nyangumarta		k u ʈ u r	nyan1301	1
39069	Nyunga		d e mː a n	nyun1247	1
39070	Paakantyi		g u l t oː k	darl1243	1
39071	Pakanha		m i n̪ a n̪ u mː a k o p e a	paka1251	1
39072	Western Victoria		t u ɹ k a ɲ i	west2443	1
39073	Pirriya		k u n t̪ a r a	pirr1240	1697
39074	Pitta Pitta		p u r h a l k u	pitt1247	1698
39075	Ritarungo		b a ɳ a m i	rita1239	1
39077	Umpila		k a c i n a c i	umpi1239	1
39078	Wagaya		t e ŋ e r k e l t	waga1260	1
39079	Wangganguru		p oː ɹ a l c o	wang1290	1698
39080	Wanggamala		p i r a l k u	wang1289	1698
39081	Wanggamala		p i d a l k u	wang1289	1698
39082	Ngura		g u n̪ t̪ a ɹ a	ngur1261	1697
39083	Wardandi		w a ɹ i ŋ w a ɹ i ŋ	ward1248	1
39084	Warrgamay		g u ɹ u r	warr1255	1699
39085	Warlmanpa		k u r u w a ɭ p a	warl1255	1
39086	Warlpiri		w u ɹ k a l i	warl1254	1
39087	Warluwara		p i r a l k u	warl1256	1698
39088	Wanman		c i t u	wanm1242	1
39089	Warumungu		k u r i w a l	waru1265	1
39090	Warrungo		g u ɹ u r	waru1264	1699
39091	Wathawurrung		p o r o ŋ g i t c	wath1238	1
39092	Wadiwadi		k	wadi1249	1
39093	Wadiwadi		oː ʈ a n i	wadi1249	1
39094	Wik-Mungkan		k o r ʔ	wikm1247	1
39095	Wiradhuri		b uː r a l g a ŋ	wira1262	1698
39096	Woiwurrung		g u r u r k	woiw1237	1
39097	Wulguru		g u n d i l	wulg1239	1
39098	Yabula Yabula		d a w i r i	yabu1234	1
39099	Yagara		k u n d u ɹ k a n	yaga1262	1
39100	Yalarnnga		k u l̪ t̪ uː t	yala1262	1697
39101	Yan-nhangu		g u ɖ u r k u	yann1237	1
39102	Yandruwandha		p u r a l k u	yand1253	1698
39103	Yarluyandi		p u ɹ a l k u	yarl1238	1698
39104	Yindjibarndi		j a ɳ k a r a	yind1247	1
39105	Bidyara		d̪ u k u n u	bidy1243	1
39106	Yirandhali		b i l b u ŋ a l a	yira1239	1
39107	Yorta Yorta		k u n u g u d u l a	yort1237	1
39109	Yulparitja		k u ʈ u r	yulp1238	1
39110	Yuwaalaraay		b u r aː l g a	yuwa1242	1698
40443	Alyawarr		i r k e ɹ a kʷ	alya1239	1
40444	Alyawarr		a r k e ɹ a kʷ	alya1239	1
40445	Badjiri		b i dː h a g a r a n	badj1244	1
40446	Yugambeh-Bandjalang		b u n z a w	band1339	1302
40447	Kabikabi		b u n a	kabi1260	1302
40448	Biri		b u ŋ a n b a	biri1256	1
40449	Birrpayi		g u ɹ i b a ŋ	birr1241	1
40450	Bularnu		ŋ u l i b a ɲ i	bula1255	1
40451	Thurawal		g u l u l	thur1254	1
40452	Dharumbal		b u n i	dhar1248	1302
40453	Dhurga		g u ɹ g u l	dhur1239	1
40454	Dyaabugay		g a m b u l	dyaa1242	1
40456	Duungidjawu		b u n i r	duun1241	1302
40457	Dyirbal		g i w a n	dyir1250	1
40458	Gamilaraay		b u nː e ɹ i e	gami1243	1
40459	Gangulu		b a ɹ g i	gang1268	1
40460	Kalali		t̪ u g a w a ɾ a	kala1380	1305
40461	Northern Inland Yui		m a n a ŋ	nort2760	1
40462	Kunggari		g u ŋ g a ɲ	kung1258	1
40463	Gunya		g a m b u l	guny1241	1
40464	Gurindji		c a t p u r u	guri1247	1303
40465	Jaru		g a n d i ɹ i	jaru1254	1
40466	Djiwarli		m i nː g u	djiw1241	1
40467	Kalkutung		p i r k i p i r k i	kalk1246	1301
40468	Gamilaraay		b u nː e ɹ i e	gami1243	1
40469	Karadjeri		g aː d c o	kara1476	1
40470	Kariyarra		w a ɭ k a ɭ u	kari1304	1
40471	Gugadj		k i r c e ɹ	guga1239	1
40472	Kuungkari of Barcoo River		m a ɭ k u	kuun1236	1
40473	Kurrama		p u n aː ŋ u	kurr1243	1302
40474	Gurdjar		j u aː r	gurd1238	1304
40475	Leningitij		k a n t̪ i n	leni1238	1
40476	Margany		d̪ i ɹ i ɲ	marg1253	1
40477	Martu Wangka		m i c a r p a	mart1256	1
40478	Mayi-Kulan		ŋ a m b u n b a j n	mayi1236	1
40479	Mayi-Yapi		ŋ a m b u n b a j n	mayi1235	1
40480	Mudburra		c a ɖ b u ɹ u	mudb1240	1303
40481	Ngaanyatjarra		t c u t a	ngaa1240	1
40482	Ngarinman		c a d b u r u	ngar1235	1303
40483	Ngarluma		b a ɭ g a r i ŋ u	ngar1287	1
40484	Ngawun		k a r a j a	ngaw1240	1
40485	Northern Coastal Nyangumarta		p i ɭ a w a ɭ	nort2754	1300
40486	Nyangumarta		p i ɭ a w a ɭ	nyan1301	1300
40487	Pakanha		k a m p u	paka1251	1
40488	Panytyima		p u n a ɹ a	pany1241	1302
40489	Bayungu		k u l i c i g u l i c i	bayu1240	1
40490	Pintupi-Luritja		j a r k i n k i	pint1250	1
40491	Pirriya		k a r i r i	pirr1240	1
40492	Pitjantjatjara		i t a ɹ a	pitj1243	1
40493	Pitta Pitta		k o k a	pitt1247	1
40494	Dhargari		n̪ a ɭ a	dhar1247	1
40495	Umpila		k a m p u l	umpi1239	1
40496	Wagaya		u r k ʔ a l u	waga1260	1
40497	Wanggamala		t̪ i n t̪ i w a d a	wang1289	1
40498	Ngura		t̪ u g a w a d a	ngur1261	1305
40499	Warrgamay		g u ɹ u g a n	warr1255	1
40500	Warlmanpa		k u ɳ t a w a	warl1255	1
40501	Warlpiri		w i r k a l i	warl1254	1
40502	Warluwara		k u ʈ i p i r i	warl1256	1
40503	Warumungu		w a l cː i	waru1265	1
40504	Warrungo		g u r u g a n	waru1264	1
40505	Wik-Mungkan		m i n c a k	wikm1247	1
40506	Yagara		b u n a	yaga1262	1
40507	Yalarnnga		p i r k i p i r k i	yala1262	1301
40508	Yan-nhangu		d̪ o p a l	yann1237	1
40509	Yandruwandha		d u l t̪ a r i	yand1253	1
40510	Yindjibarndi		b u n aː ŋ u	yind1247	1302
40511	Yirandhali		d oː l oː _ k a m b oː n a	yira1239	1
40513	Yulparitja		p a l k a r i	yulp1238	1
45033	Alyawarr		m a n t̪ a r	alya1239	1
45034	Yugambeh-Bandjalang		m a n a l g a m _ j	band1339	1
45035	Yugambeh-Bandjalang		m u n d̪ u ɹ g u m _ j	band1339	1
45036	Yugambeh-Bandjalang		g	band1339	1
45037	Kabikabi		m a ɹ u l u ŋ	kabi1260	1
45038	Southern Maric		m a d̪ a m u	sout2765	1
45039	Biri		m u n u m	biri1256	1
45040	Birrpayi		d a n i ŋ	birr1241	1
45041	Hawkesbury		m u n d a	hawk1239	1
45042	Sydney		d a n i ŋ	sydn1236	1
45043	Dharumbal		g u n̪ d̪ u r	dhar1248	1
45044	Dayi		d̪ a m b a m i ɲ	dayi1244	1
45045	Dhuwal		d̪ a m b a ɖ i ɲ	dhuw1249	1
45046	Dyaabugay		g u n d c i l b a j	dyaa1242	1
45047	Djambarrpuyngu		d̪ a m b a ɖ i ɲ	djam1256	1
45048	Djapu		d̪ a m b a ɖ i ɲ	djap1238	1
45049	Djinang		ŋ u r b a ɭ ŋ i	djin1253	1
45051	Duungidjawu		m u n u m	duun1241	1
45052	Dyirbal		b i m a	dyir1250	1
45053	Gamilaraay		m u n d̪ u ɹ	gami1243	1
45054	Gumatj		d̪ a m b a ɳ i ɲ	guma1253	1
45055	Kunggari		m u n d a	kung1258	1
45056	Gupapuyngu		b a t̪ i g u r i ɹ i m i r i	gupa1247	1
45057	Gurindji		p u l j k u w u ɲ	guri1247	1
45058	Guugu Yimidhirr		w a l a ŋ g a ɹ	gugu1255	1
45059	Sydney		d a n i ŋ	sydn1236	1
45060	Djiwarli		ɲ u ɳ a	djiw1241	1
45061	Kalkutung		m u k u ʈ u	kalk1246	1
45062	Gamilaraay		m u n d̪ u ɹ	gami1243	1
45063	Karadjeri		m a j a ŋ a r a	kara1476	1
45064	Kariyarra		ŋ j u ɳ a	kari1304	1
45065	Gathang		m oː n u l g oː k	gath1234	1
45066	Gugadj		m i ɲ _ ŋ i l n c i ɹ	guga1239	1
45067	Kukatja		m u w a	kuka1246	1
45068	Kuungkari of Barcoo River		m a k u l a	kuun1236	1
45069	Kurrama		n̪ a ɳ u	kurr1243	1
45070	Kuuku-Ya'u		p a t a	kuuk1238	1
45071	Mayi-Yapi		p a t i m u	mayi1235	1
45072	Anguthimri		l aː ŋ g a ?/ʔ a	angu1242	1
45073	Kalarko		c a l d a	kala1379	1
45074	Mithaka		p a ɖ i p a ɖ i	mith1236	1
45075	Mudburra		c iː b i	mudb1240	1
45076	Muruwari		k a n t i k a j	muru1266	1
45077	Narungga		b u n d u n c a	naru1238	1
45079	Ngadjunmaya		c a ɭ u n	ngad1258	1
45080	Ngarinman		b u l j g u w u ŋ	ngar1235	1
45081	Ngarla		c u n t a ŋ a	ngar1296	1
45082	Ngarluma		ɲ u ɳ a	ngar1287	1
45083	Narrinyeri		t i c o w e	narr1259	1
45084	Ngiyambaa		h a mː i	ngiy1239	1
45085	Ngunawal		t a mː i n	ngun1277	1
45086	Mangala		j u l u	mang1383	1
45087	Northern Coastal Nyangumarta		c u n t a ŋ u	nort2754	1
45088	Nyangumarta		c u n t a ŋ u	nyan1301	1
45089	Panytyima		m a ɲ c i	pany1241	1
45090	Banggarla		j a lː i ɹ i	bang1339	1
45091	Bayungu		w u l̪ u r g u ɹ a	bayu1240	1
45092	Pirriya		m a k u l a	pirr1240	1
45093	Ritarungo		b a ɳ b a l ŋ u	rita1239	1
45094	Umpila		p a t a	umpi1239	1
45095	Wagaya		n̪ a n i c i	waga1260	1
45096	Wanggamala		k u l j i d a	wang1289	1
45097	Ngura		k u t a	ngur1261	1
45098	Warrgamay		b i m a	warr1255	1
45099	Warlmanpa		l i n i k i ɹ i	warl1255	1
45100	Warlpiri		w a l j a w a l j a	warl1254	1
45101	Wanman		c u ɳ t a ŋ u	wanm1242	1
45102	Warumungu		ɲ i n i k i r i	waru1265	1
45103	Wik-Mungkan		t̪ uː k _ m a n c	wikm1247	1
45104	Wiradhuri		d uː m i n	wira1262	1
45105	Wirangu-Nauo		d j i ɖ a ɹ a	wira1260	1
45106	Wulguru		b i ŋ a l i	wulg1239	1
45107	Yagara		g u ɹ a l b a ŋ	yaga1262	1
45108	Yan-nhangu		b a ɳ b a l ŋ u	yann1237	1
45109	Yidiñ		b i m a	yidi1250	1
45110	Yindjibarndi		m a ɲ c i	yind1247	1
45112	Yulparitja		w i l t i r p a	yulp1238	1
45113	Yuwaalaraay		m u r u b i	yuwa1242	1
46553	Alyawarr		ŋ a l t̪	alya1239	1
46554	Arabana		k u k i	arab1267	1
46555	Yugambeh-Bandjalang		j i ɹ b u l _ j	band1339	1
46556	Yugambeh-Bandjalang		j i ɹ b u n z _ o t̪ e r s	band1339	1
46557	Biri		g a ŋ a n	biri1256	1
46558	Birrpayi		b i ŋ i	birr1241	1
46559	Hawkesbury		n a ɹ i j a	hawk1239	1
46560	Thurawal		g a b u j i l j a n	thur1254	1
46561	Sydney		b a ɹ u m a d a	sydn1236	1
46562	Dhurga		g u ɹ b i n	dhur1239	1
46563	Dyaabugay		p a ɲ c i	dyaa1242	1
46564	Djinang		m a ɹ a l k u ɹ	djin1253	1
46565	Gamilaraay		b u w a ɖ i	gami1243	1
46566	Gureng Gureng		b oː n eː	gure1255	1
46567	Gudjal		d̪ a b u n u ŋ g a	gudj1237	1
46568	Gurindji		p a k u ʈ u	guri1247	1
46569	Guyani		m a ŋ u ʈ i	guya1249	1
46570	Jaru		b a ŋ g iː	jaru1254	1
46571	Djiwarli		ŋ a t̪ a l	djiw1241	1
46572	Kalkutung		m u a ɳ ŋ u	kalk1246	1
46573	Gamilaraay		b u w a ɖ i	gami1243	1
46574	Karadjeri		b a ŋ g u	kara1476	1
46575	Karadjeri		b a ŋ g u ŋ g u	kara1476	1
46576	Kaurna		k o u w o u	kaur1267	1
46577	Kuku-Uwan		k u n̪ c i	kuku1280	1
46578	Kukatja		k a t i w a	kuka1246	1
46579	Kula (Australia)		k a h k oː c a	kula1275	1
46580	Leningitij		i w a ŋ	leni1238	1
46581	Malyangapa		ŋ a p u	maly1234	1
46582	Martu Wangka		m a k u ɳ t a	mart1256	1
46584	Minjungbal		j i ɹ a b a ŋ	minj1242	1
46585	Mudburra		b a ɳ k u ɖ i	mudb1240	1
46587	Lower Riverland		ɹ o ŋ k o	lowe1402	1
46588	Lower Riverland		ɹ o nː g u	lowe1402	1
46589	Ngamini		k a m i	ngam1284	1
46590	North-western Warlpiri		p a ɳ k u	nort2753	1
46591	Ngarigu		l a n d c a g a n	ngar1297	1
46592	Ngarinman		b a n g u ɖ i	ngar1235	1
46593	Ngarla		ɲ u k u n u	ngar1296	1
46594	Ngarluma		m a r g a n a	ngar1287	1
46595	Ngarluma		m a r g a ʔ i n a	ngar1287	1
46596	Narrinyeri		ɹ u n d e	narr1259	1
46597	Ngiyambaa		k a n	ngiy1239	1
46598	Nhanda		k a g a	nhan1238	1
46599	Nyamal		c a ʈ u n	nyam1271	1
46600	Nyamal		c a ʈ u n t a	nyam1271	1
