ID	DOCULECT	DOCULECT_ABBREVIATION	DOCULECT_FILE	POPULATION_NAME	GLOTTOCODE	CONCEPT	GLOSSID	VALUE	FORM	COGNACY	COG	DOCULECT_AGE	BORROWING	NOTE	COGID	TOKENS
3284	Lijiang-Naxi	LIJ	bur	Naxi	lich1241	I	42	ŋə.31	ŋə³¹	2471	2471:I	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	615	ŋ ə ³¹
3285	Zeme	ZEM	naga		zeme1240	I	42	i	i	2730	2730:I	20	0		769	i
3286	Jingpo	JNP	jnp		kach1280	I	42	ŋai.33	ŋai³³	2471	2471:I	20	0	Jinghpaw; Stage 2	615	ŋ a i ³³
3287	Bodo	BOD	bodo		bodo1269	I	42	aŋ	aŋ	2471	2471:I	20	0		615	a ŋ
3288	Fuzhou	FUZ	sino	Han	mind1253	I	42	ŋuai33	ŋuai³³	2471	2471:I	20	0		615	ŋ u a i ³³
3289	Burmese	WRB	bur	Burmese	nucl1310	I	42	ŋa	ŋa	2471	2471:I	20	0		615	ŋ a
3290	Horpa	DAO	syc		horp1239	I	42	ŋa	ŋa	2471	2471:I	20	0		615	ŋ a
3291	Ao-Chungli	AOC	naga	Naga (Ao_Naga)	chon1286	I	42	ni	ni	2471	2471:I	20	0	Naga Ao	615	n i
3292	Padam	PAD	tani		pada1257	I	42	ŋo	ŋo	2471	2471:I	19	0		615	ŋ o
3293	Bola	BOL	bur		pela1242	I	42	ŋa.55	ŋa⁵⁵	2471	2471:I	20	0		615	ŋ a ⁵⁵
3294	Guiqiong	GUI	syc		guiq1238	I	42	ŋö.35	ŋö³⁵	2471	2471:I	20	0		615	ŋ ö ³⁵
3295	Gangte	GAN	chin		gang1266	I	42	kei=mah	keimah	2471	2471:I	20	0		615	k e i ◦ m a h
3296	Pochuri	POC	naga		poch1243	I	42	hi	hi	2730	2730:I	20	0		769	h i
3297	Old Chinese	OCH	sino	Han	oldc1244	I	42	Ła 余	Ła	4588	4588:I	-10	0		1331	ł a
1	Quueyu	QUE	syc		quey1238	all	1	tə.55 łye.55	tə⁵⁵_łye⁵⁵	1785	1785:all	20	0		406	t ə ⁵⁵ ◦ ɬ y e ⁵⁵
2	Apatari	APA	tani		apat1240	all	1	mɨlaŋ=rɨ	mɨlaŋrɨ	1801	1801:all	20	0		411	m ɨ ◦ l a ◦ ŋ r ɨ
3	Jianchuan Bai	BAI	sino		jian1239	all	1	ca5 kɛ7, ci1 [LB *s-ćat]	ca⁵_kɛ⁸	-1	-1-1	20	1		1	ts a ⁵ ◦ k ɛ
4	Jirel	JIR	tib		jire1238	all	1	ga. L1=ŋe. L1	ga_L¹ŋe_L¹	2533	2533:all	20	0		636	g a _ ¹ ◦ ŋ e _ ¹
5	Old Chinese	OCH	sino	Han	oldc1244	all	1	kīj (-r-) 皆	kīj_	738	738:all	-10	0		1465	k iː j
6	Lhota	LHO	naga	Naga (Ao_Naga)	loth1237	all	1	o:mpa	oːmpa	256	256:all	20	0	Naga Lotha	660	oː m ◦ p a
7	Lushai	LSH	chin		lush1249	all	1	an-za-in	an-za-in	1453	1453:all	20	0		268	a n + z a + i n
8	Lepcha	LEP	lep		lepc1244	all	1	gŭn	gŭn	2246	2246:all	20	0		558	g u n
9	Sgaw	SGO	kar	Karen	sgaw1245	all	1	khɛ.44 ləʔ.53	khɛ⁴⁴_ləʔ⁵³	1699	1699:all	20	0		382	kʰ ɛ ⁴⁴ ◦ l ə ʔ ⁵³
10	Rourou	ROU	nung		nusu1239	all	1	ćiæ.35	ćiæ³⁵	1561	1561:all	20	0		317	tsʲ i æ ³⁵
11	Chokri	CHO	naga		chok1243	all	1	mütü	mütü	862	862:all	20	0		1502	m y ◦ t y
12	Khezhama	KHE	naga		khez1235	all	1	mepu	mepu	256	256:all	20	0		660	m e ◦ p u
13	Dulong	DUL	trun		drun1238	all	1	sɨ.31 naʔ.55	sɨ³¹_naʔ⁵⁵	1469	1469:all	20	0		275	s ɨ ³¹ ◦ n a ʔ ⁵⁵
14	Tangkul	TAN	naga		tang1336	all	1	hupta	hupta	862	862:all	20	0		1502	h u p ◦ t a
15	Pa'O	PAO	kar	Karen	paok1235	all	1	ka.44 loʔ.55 lo	ka⁴⁴_loʔ⁵⁵_lo	1699	1699:all	20	0		382	k a ⁴⁴ ◦ l o ʔ ⁵⁵ ◦ l o
16	Yamphu	YAM	kir		yamp1242	all	1	äŋ	äŋ	2539	2539:all	20	0		641	æ ŋ
17	Kulung	KUL	kir		kulu1253	all	1	khɔ:lɔ	khɔːlɔ	2246	2246:all	20	0		558	kʰ ɔː ◦ l ɔ
18	Geker	GEK	kar	Karen	geko1235	all	1	lɔ.55 nɨʔ.53	lɔ⁵⁵_nɨʔ⁵³	1699	1699:all	20	0	Geko Karen?	382	l ɔ ⁵⁵ ◦ n ɨ ʔ ⁵³
19	Ersu	ERS	syc		ersu1241	all	1	ńo.33 kua.33	ńo³³_kua³³	2246	2246:all	20	0		558	nʲ o ³³ ◦ k u a ³³
20	Phom	PHO	knyk		phom1236	all	1	paɨ, kɨmpai	paɨ	256	256:all	20	0		660	p a ɨ
21	Ao-Mongsen	AOM	naga	Naga (Ao_Naga)	mong1332	all	1	telu, lu=cɨ	telu	1785	1785:all	20	0	Naga Ao	406	t e ◦ l u
22	Sherpa	SHE	tib	Sherpa	sher1255	all	1	tok.HR	tokHR	862	862:all	20	0	Solu-Khumbu Sherpa	1502	t o k
23	Rawang	RAW	trun		rawa1265	all	1	šaŋbɛ, khaŋbɛ	šaŋbɛ	256	256:all	20	0		660	ʃ a ŋ ◦ b ɛ
24	Wancho	WAN	knyk		wanc1238	all	1	paŋve	paŋve	2637	2637:all	20	0		692	p a ŋ ◦ v e
25	Bokar	BOK	tani		bori1243	all	1	kə baŋ	kə_baŋ	320	320:all	20	0	Stage 2	851	k ə _ b a ŋ
26	Rabha	RAB	bodo		rabh1238	all	1	dɨmdak	dɨmdak	862	862:all	20	0		1502	d ɨ m ◦ d a k
27	Hmar	HMA	chin		hmar1241	all	1	po po	po_po	256	256:all	20	0		660	p o _ p o
28	Nusu	NUS	nung		nusu1239	all	1	li.55	li⁵⁵	1785	1785:all	20	0	Stage 2	406	l i ⁵⁵
29	Geba	GEB	kar	Karen	geba1237	all	1	lu.22 sa.44 sɛ̃	lu²²_sa⁴⁴_sɛ̃	1699	1699:all	20	0		382	l u ²² ◦ s a ⁴⁴ ◦ s ɛ̃ ∼
30	Manu	MNU	kar	Karen	manu1255	all	1	lụ.44 bɔ.11	lụ⁴⁴_bɔ¹¹	1699	1699:all	20	0	Manumanaw Karen	382	l ṵ ⁴⁴ ◦ b ɔ ¹¹
31	Alike Tibetan	ALI	tib		amdo1237	all	1	chaŋ mæ	chaŋ_mæ	1199	1199:all	20	0		183	tsʰ a ŋ _ m æ
32	Shixing	SHI	syc		shix1238	all	1	la.33 wa.55	la³³_wa⁵⁵	2637	2637:all	20	0		692	l a ³³ ◦ w a ⁵⁵
33	Aka	AKA	aka		akha1245	all	1	vyeu	vyeu	2637	2637:all	20	0		692	v y e u
34	Nocte	NOC	knyk		noct1238	all	1	hueri	hueri	738	738:all	20	0		1465	h u e ◦ r i
35	Ninglang-Naxi	NIN	bur	Naxi	naxi1245	all	1	dɨ.33 ta.33	dɨ³³_ta³³	862	862:all	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	1502	d ɨ ³³ ◦ t a ³³
36	Khaling	KLN	kir		khal1275	all	1	kholeŋ. L	kholeŋ_L	2246	2246:all	20	0		558	kʰ o ◦ l e ŋ _
37	Langsu-Maru	LAN	bur		maru1249	all	1	lɔ̲̃.55	lɔ̲̃⁵⁵	1928	1928:all	20	0		455	l ɔ̃ ⁵⁵
38	W. Kayah	KYH	kar	Karen	west2409	all	1	lɔ̣.33 pli.11	lɔ̣³³_pli¹¹	1699	1699:all	20	0	Kayah Western	382	l ɔ̰ ³³ ◦ p l i ¹¹
39	Written Tibetan	WRT	tib	Tibetan	tibe1272	all	1	mthaã dag	mthaã_dag	862	862:all	20	0		1502	m tʰ a ã ∼ _ d a g
40	Nishi	NIS	tani	Nysha	nisi1238	all	1	mɨlɨ	mɨlɨ	1801	1801:all	20	0	Nisi?	411	m ɨ ◦ l ɨ
41	Batang Tibetan	BAT	tib		kham1282	all	1	jö.13 chɛʔ.53	jö¹³_chɛʔ⁵³	1561	1561:all	20	0		317	j ö ¹³ ◦ tsʰ ɛ ʔ ⁵³
42	Dumi	DUM	kir		dumi1241	all	1	khələ	khələ	2246	2246:all	20	0		558	kʰ ə ◦ l ə
43	Gurung	GUR	gur		guru1261	all	1	ta:n.1	taːn¹	862	862:all	20	0		1502	t aː n ¹
44	Lhasa Tibetan	LHA	tib	Tibetan	tibe1272	all	1	chaŋ.55 ma.55	chaŋ⁵⁵_ma⁵⁵	1199	1199:all	20	0		183	tsʰ a ŋ ⁵⁵ ◦ m a ⁵⁵
45	Garo	GAR	bodo	Garo	garo1247	all	1	pilak	pilak	1699	1699:all	20	0		382	p i ◦ l a k
46	Hill-Miri	HIL	tani	Nysha	nyis1236	all	1	mɨllɨ	mɨllɨ	1801	1801:all	20	0		411	m ɨ l ◦ l ɨ
47	Limbu	LIM	kir		limb1266	all	1	kɛrɛk	kɛrɛk	2246	2246:all	20	0		558	k ɛ ◦ r ɛ k
48	Upper-Bangni	UBA	tani		bang1338	all	1	melaŋ	melaŋ	1801	1801:all	20	0		411	m e ◦ l a ŋ
49	Leqi	LEQ	bur		lash1243	all	1	pan.31 ʃɔ̲ʔ.55	pan³¹_ʃɔ̲ʔ⁵⁵	1561	1561:all	20	0		317	p a n ³¹ ◦ ʃ ɔ̰ ʔ ⁵⁵
50	Hakka	HKK	sino	Hakka	hakk1236	all	1	du1	du¹	862	862:all	20	0		1502	d u ¹
51	Motuo-M	MOT	mot	Tibetan	dakp1242	all	1	tham ćeʔ  TIB	tham_ćeʔ__TIB	-1	-1-2	20	1	Tawang Monpa, Dakpakha?	16	tʰ a m _ tsʲ e ʔ _
52	Tujia	TUJ	tujia	Tujia	nort2732	all	1	xu.3 ńi.1	xu³_ńi¹	1469	1469:all	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	275	x u ³ ◦ nʲ i ¹
53	Beijing	PEK	sino	CHB	mand1415	all	1	dōu 都	dōu	862	862:all	20	0		1502	d oː u
54	Zhaba	ZHA	syc		zhab1238	all	1	tʃa̲t.55	tʃa̲t⁵⁵	1561	1561:all	20	0	Stage 2	317	tʃ a̰ t ⁵⁵
55	Kaike	KAY	kay		kaik1246	all	1	solo	solo	1785	1785:all	20	0		406	s o ◦ l o
56	Yintale	YIN	kar	Karen	yint1235	all	1	lu.55 lu.11	lu⁵⁵_lu¹¹	1699	1699:all	20	0	Yintale Karen	382	l u ⁵⁵ ◦ l u ¹¹
57	Jinuo	JIN	bur	Jinuo	youl1235	all	1	tʃə.33	tʃə³³	1561	1561:all	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	317	tʃ ə ³³
58	Serdukpen	SER	sul		sher1257	all	1	zeb=do	zebdo	1212	1212:all	20	0	Stage 2	196	z e b ◦ d o
59	Namuzi	NAM	syc		namu1246	all	1	a.33 kɛ.33 mu.5	a³³_kɛ³³_mu⁵	73	73:all	20	0		1467	a ³³ ◦ k ɛ ³³ ◦ m u ⁵
60	Xiaxe Tibetan	XIA	tib		amdo1237	all	1	ha no	ha_no	1469	1469:all	20	0		275	h a _ n o
61	Yimchunrü	YIM	naga	Naga (Ao_Naga)	yimc1240	all	1	alala	alala	1785	1785:all	20	0	Naga Yimchungru	406	a ◦ l a ◦ l a
62	Liangmai	LIA	naga		lian1251	all	1	matiu	matiu	1561	1561:all	20	0		317	m a ◦ t i u
63	Dimasa	DIM	bodo		dima1251	all	1	kurup (Tib.?)	kurup_	-1	-1-3	20	1		25	k u ◦ r u p
64	Yeinbaw	YEI	kar	Karen	yinb1236	all	1	pwại.44 trv.22	pwại⁴⁴_trv²²	320	320:all	20	0	Yinbaw Karen	851	p w a̰ i ⁴⁴ ◦ t r v ²²
65	N-Qiang	QIA	syc		nort2722	all	1	kin di	kin_di	862	862:all	20	0	Stage 2	1502	k i n _ d i
66	Lijiang-Naxi	LIJ	bur	Naxi	lich1241	all	1	ndɨ.33 χə.33 mb	ndɨ³³_χə³³_mb	862	862:all	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	1502	n d ɨ ³³ ◦ χ ə ³³ ◦ m b
67	Zeme	ZEM	naga		zeme1240	all	1	pelene	pelene	1469	1469:all	20	0		275	p e ◦ l e ◦ n e
68	Jingpo	JNP	jnp		kach1280	all	1	joŋ.31	joŋ³¹	1449	1449:all	20	0	Jinghpaw; Stage 2	267	j o ŋ ³¹
69	Bodo	BOD	bodo		bodo1269	all	1	boʔj	boʔj	2693	2693:all	20	0		718	b o ʔ j
70	Fuzhou	FUZ	sino	Han	mind1253	all	1	tou52	tou⁵²	862	862:all	20	0		1502	t o u ⁵²
71	Burmese	WRB	bur	Burmese	nucl1310	all	1	a.lum:	alumː	1928	1928:all	20	0		455	a ◦ l u mː
72	Horpa	DAO	syc		horp1239	all	1	thəm ćɛ TIB	thəm_ćɛ_TIB	-1	-1-4	20	1		34	tʰ ə m _ tsʲ ɛ _
73	Ao-Chungli	AOC	naga	Naga (Ao_Naga)	chon1286	all	1	aʒak	aʒak	1245	1245:all	20	0	Naga Ao	209	a ◦ ʒ a k
74	Padam	PAD	tani		pada1257	all	1	apɨŋ	apɨŋ	320	320:all	19	0		851	a ◦ p ɨ ŋ
75	Bola	BOL	bur		pela1242	all	1	a.31 la̲p.55	a³¹_la̲p⁵⁵	1772	1772:all	20	0		402	a ³¹ ◦ l a̰ p ⁵⁵
76	Guiqiong	GUI	syc		guiq1238	all	1	giɛ̃.33 ʒ̣ɨ.55	giɛ̃³³_ʒ̣ɨ⁵⁵	4006	4006:all	20	0		883	g i ɛ̃ ∼ ³³ ◦ ʒ ɨ ⁵⁵
77	Gangte	GAN	chin		gang1266	all	1	cheŋ	cheŋ	1199	1199:all	20	0		183	tsʰ e ŋ
78	Pochuri	POC	naga		poch1243	all	1	ave	ave	2637	2637:all	20	0		692	a ◦ v e
79	Written Tibetan	WRT	tib	Tibetan	tibe1272	all	1	thams ćad	thams_ćad	1561	1561:all	20	0		317	tʰ a m s _ tsʲ a d
80	Zeme	ZEM	naga		zeme1240	all	1	ramme	ramme	667	667:all	20	0		1431	r a m ◦ m e
81	Ao-Chungli	AOC	naga	Naga (Ao_Naga)	chon1286	all	1	temaŋ	temaŋ	73	73:all	20	0	Naga Ao	1467	t e ◦ m a ŋ
82	Quueyu	QUE	syc		quey1238	ashes	2	thə.55 pka.55 p	thə⁵⁵_pka⁵⁵_p	2597	2597:ashes	20	0		677	tʰ ə ⁵⁵ ◦ p ◦ k a ⁵⁵ ◦ p
83	Dhimal	DHI	dhim		dhim1246	ashes	2	bu=suri	busuri	309	309:ashes	20	0		844	b u ◦ s u ◦ r i
84	Apatari	APA	tani		apat1240	ashes	2	mú=bu	múbu	309	309:ashes	20	0		844	m u ◦ b u
85	Jianchuan Bai	BAI	sino		jian1239	ashes	2	xui4	xui⁴	2686	2686:ashes	20	0		709	x u i ⁴
86	Jirel	JIR	tib		jire1238	ashes	2	tha. L1=la. T1	tha_L¹la_T¹	1022	1022:ashes	20	0		120	tʰ a _ ¹ ◦ l a _ ¹
87	Old Chinese	OCH	sino	Han	oldc1244	ashes	2	smə̄j 灰	smə̄j	2686	2686:ashes	-10	0		709	s m ə j
88	Idu	IDU	idu		idum1241	ashes	2	i.1 gu.1	i¹_gu¹	2122	2122:ashes	20	0		517	i ¹ ◦ g u ¹
89	Lhota	LHO	naga	Naga (Ao_Naga)	loth1237	ashes	2	mi=po:k	mipoːk	309	309:ashes	20	0	Naga Lotha	844	m i ◦ p oː k
90	Lushai	LSH	chin		lush1249	ashes	2	mei va:p	mei_vaːp	2687	2687:ashes	20	0		710	m e i _ v aː p
91	Lepcha	LEP	lep		lepc1244	ashes	2	yu	yu	2688	2688:ashes	20	0		711	y u
92	Sgaw	SGO	kar	Karen	sgaw1245	ashes	2	phaʔ.53 sha.44	phaʔ⁵³_sha⁴⁴	2687	2687:ashes	20	0		710	pʰ a ʔ ⁵³ ◦ sʰ a ⁴⁴
93	Rourou	ROU	nung		nusu1239	ashes	2	na.55 ma.35 phu	na⁵⁵_ma³⁵_phu	309	309:ashes	20	0		844	n a ⁵⁵ ◦ m a ³⁵ ◦ pʰ u
94	Khezhama	KHE	naga		khez1235	ashes	2	pavɨnuo	pavɨnuo	1478	1478:ashes	20	0		279	p a ◦ v ɨ ◦ n u o
95	Dulong	DUL	trun		drun1238	ashes	2	pa.55 pu.55	pa⁵⁵_pu⁵⁵	309	309:ashes	20	0		844	p a ⁵⁵ ◦ p u ⁵⁵
96	Tangkul	TAN	naga		tang1336	ashes	2	hotla	hotla	1865	1865:ashes	20	0		438	h o ◦ t l a
97	Pa'O	PAO	kar	Karen	paok1235	ashes	2	pha.33	pha³³	2687	2687:ashes	20	0		710	pʰ a ³³
98	Kulung	KUL	kir		kulu1253	ashes	2	chubui	chubui	1865	1865:ashes	20	0		438	tsʰ u ◦ b u i
99	Geker	GEK	kar	Karen	geko1235	ashes	2	pha.22 sha.44	pha²²_sha⁴⁴	2687	2687:ashes	20	0	Geko Karen?	710	pʰ a ²² ◦ sʰ a ⁴⁴
100	Ersu	ERS	syc		ersu1241	ashes	2	ər.55	ər⁵⁵	699	699:ashes	20	0		1443	ə r ⁵⁵
101	Phom	PHO	knyk		phom1236	ashes	2	tep=la	tepla	885	885:ashes	20	0		1514	t e ◦ p l a
102	Ao-Mongsen	AOM	naga	Naga (Ao_Naga)	mong1332	ashes	2	opu	opu	309	309:ashes	20	0	Naga Ao	844	o ◦ p u
103	Sherpa	SHE	tib	Sherpa	sher1255	ashes	2	thal=ǯum. LR, th	thalǯum_LR	1022	1022:ashes	20	0	Solu-Khumbu Sherpa	120	tʰ a l ◦ dʒ u m
104	Rawang	RAW	trun		rawa1265	ashes	2	khaphu	khaphu	309	309:ashes	20	0		844	kʰ a ◦ pʰ u
105	Wancho	WAN	knyk		wanc1238	ashes	2	labu	labu	309	309:ashes	20	0		844	l a ◦ b u
106	Bokar	BOK	tani		bori1243	ashes	2	mə re:	mə_reː	699	699:ashes	20	0	Stage 2	1443	m ə _ r eː
107	Hmar	HMA	chin		hmar1241	ashes	2	pil=vut	pilvut	2122	2122:ashes	20	0		517	p i l ◦ v u t
108	Nusu	NUS	nung		nusu1239	ashes	2	dʒɛr.42 nhɛr.42	dʒɛr⁴²_nhɛr⁴²	1478	1478:ashes	20	0	Stage 2	279	dʒ ɛ r ⁴² ◦ nʰ ɛ r ⁴²
