DOCULECT	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	GLOSSID	FORM	COGID	TOKENS	NOTE
Yintale	yint1235	1403	BITE	7	ʔei³³	253	ʔ e i ³³	Yintale Karen
Hill-Miri	nyis1236	1403	BITE	7	gam	230	g a m	
Pa'O	paok1235	1403	BITE	7	eŋ³³	253	e ŋ ³³	
W. Kayah	west2409	1403	BITE	7	a¹¹	253	a ¹¹	Kayah Western
Written Tibetan	tibe1272	1403	BITE	7	rgjag	224	r g j a g	
Ninglang-Naxi	naxi1245	1403	BITE	7	tha¹³	312	tʰ a ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1403	BITE	7	aŋu	268	a ŋ u	Naga Ao
Garo	garo1247	1403	BITE	7	cika	48	ts i k a	
Sherpa	sher1255	1403	BITE	7	phe_LR-	463	pʰ e +	Solu-Khumbu Sherpa
Manu	manu1255	1403	BITE	7	e³³	253	e ³³	Manumanaw Karen
Yeinbaw	yinb1236	1403	BITE	7	ʔe⁴⁴	253	ʔ e ⁴⁴	Yinbaw Karen
Ao-Mongsen	mong1332	1403	BITE	7	ŋo	268	ŋ o	Naga Ao
Burmese	nucl1310	1403	BITE	7	kuik	258	k u i k	
Lhasa Tibetan	tibe1272	1403	BITE	7	ca¹³²	224	ts a ¹³/²	
Kusunda	kusu1250	1403	BITE	42	kam_gn	0	k a m _ g n	
Nishi	nisi1238	163	BLACK	8	ka→ya	313	k a + y a	Nisi?
Geker	geko1235	163	BLACK	8	ḍʒaʔ⁵³	41	ɖʐ a ʔ ⁵³	Geko Karen?
Geba	geba1237	163	BLACK	8	ṭi⁴²_pãʔ⁵³	199	ʈ i ⁴² _ p ã ∼ ʔ ⁵³	
Lijiang-Naxi	lich1241	163	BLACK	8	na³¹	559	n a ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	163	BLACK	8	a⁴⁴_na⁴²_la⁴	559	a ⁴⁴ _ n a ⁴² _ l a ⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	163	BLACK	8	ćhaŋ_lu	42	tsʲʰ a ŋ _ l u	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	163	BLACK	8	ʔəthu⁴⁴	555	ʔ ə tʰ u ⁴⁴	
Lhota	loth1237	163	BLACK	8	ńika	252	nʲ i k a	Naga Lotha
Tujia	nort2732	163	BLACK	8	lan³_ka¹	199	l a n ³ _ k a ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	163	BLACK	8	ʔa¹¹_ṣuŋ³⁵	68	ʔ a ¹¹ _ ʂ u ŋ ³⁵	Yintale Karen
Hill-Miri	nyis1236	163	BLACK	8	keya	313	k e y a	
Pa'O	paok1235	163	BLACK	8	ʔa¹¹_phreŋ⁵⁵	199	ʔ a ¹¹ _ pʰ r e ŋ ⁵⁵	
W. Kayah	west2409	163	BLACK	8	lɔ̣¹¹	199	l ɔ̰ ¹¹	Kayah Western
Written Tibetan	tibe1272	163	BLACK	8	nag_po	559	n a g _ p o	
Ninglang-Naxi	naxi1245	163	BLACK	8	na³¹	559	n a ³¹	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	163	BLACK	8	tanak	559	t a n a k	Naga Ao
Garo	garo1247	163	BLACK	8	gi-sim	68	g i + s i m	
Sherpa	sher1255	163	BLACK	8	nak→pu_LF	559	n a k + p u	Solu-Khumbu Sherpa
Manu	manu1255	163	BLACK	8	lø̣ə¹¹	199	l ø̰ ə ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	163	BLACK	8	lṿu¹¹	199	l v̩ u ¹¹	Yinbaw Karen
Ao-Mongsen	mong1332	163	BLACK	8	tenak	559	t e n a k	Naga Ao
Yimchunrü	yimc1240	163	BLACK	8	mɨrak	559	m ɨ r a k	Naga Yimchungru
Burmese	nucl1310	163	BLACK	8	nak	559	n a k	
Lhasa Tibetan	tibe1272	163	BLACK	8	na¹³_ko³³	559	n a ¹³ _ k o ³³	
Kusunda	kusu1250	163	BLACK	132	soqsoqgrm	0	s o qs o q g r m	
Nishi	nisi1238	946	BLOOD	9	ɨ	203	ɨ	Nisi?
Geker	geko1235	946	BLOOD	9	ṭwiʔ⁵³	203	ʈ w i ʔ ⁵³	Geko Karen?
Geba	geba1237	946	BLOOD	9	ṭwĩʔ⁵³	203	ʈ w ĩ ∼ ʔ ⁵³	
Lijiang-Naxi	lich1241	946	BLOOD	9	sa³³	203	s a ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	946	BLOOD	9	ʃi⁴⁴	203	ʃ i ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	946	BLOOD	9	ji	203	j i	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	946	BLOOD	9	ṭwĩʔ⁵³	203	ʈ w ĩ ∼ ʔ ⁵³	
Lhota	loth1237	946	BLOOD	9	echẽn	62	e tsʰ ẽ ∼ n	Naga Lotha
Tujia	nort2732	946	BLOOD	9	mie²	524	m i e ²	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	946	BLOOD	9	ṣwei³³	203	ʂ w e i ³³	Yintale Karen
Hill-Miri	nyis1236	946	BLOOD	9	ui	203	u i	
Pa'O	paok1235	946	BLOOD	9	swi³³	203	s w i ³³	
W. Kayah	west2409	946	BLOOD	9	ćui¹¹	203	tsʲ u i ¹¹	Kayah Western
Written Tibetan	tibe1272	946	BLOOD	9	khrag	294	kʰ r a g	
Ninglang-Naxi	naxi1245	946	BLOOD	9	se⁵⁵	203	s e ⁵⁵	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	946	BLOOD	9	ayi	203	a y i	Naga Ao
Garo	garo1247	946	BLOOD	9	an→ci	203	a n + ts i	
Manu	manu1255	946	BLOOD	9	si⁴⁴	203	s i ⁴⁴	Manumanaw Karen
Yeinbaw	yinb1236	946	BLOOD	9	ʃwi¹¹	203	ʃ w i ¹¹	Yinbaw Karen
Ao-Mongsen	mong1332	946	BLOOD	9	si	203	s i	Naga Ao
Yimchunrü	yimc1240	946	BLOOD	9	thi→yi	203	tʰ i + y i	Naga Yimchungru
Burmese	nucl1310	946	BLOOD	9	sweː	203	s w eː	
Lhasa Tibetan	tibe1272	946	BLOOD	9	ćha⁵²	294	tsʲʰ a ⁵²	
Kusunda	kusu1250	946	BLOOD	18	lapa	0	l a p a	
Nishi	nisi1238	1394	BONE	10	alo	180	a l o	Nisi?
Geker	geko1235	1394	BONE	10	tʃweiʔ⁵³	595	tʃ w e i ʔ ⁵³	Geko Karen?
Geba	geba1237	1394	BONE	10	khwĩʔ⁵³	595	kʰ w ĩ ∼ ʔ ⁵³	
Lijiang-Naxi	lich1241	1394	BONE	10	so³³_lo³³	595	s o ³³ _ l o ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1394	BONE	10	ʃɔ⁴⁴_ɣɨ⁴⁴	595	ʃ ɔ ⁴⁴ _ ɣ ɨ ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1394	BONE	10	khaŋ	590	kʰ a ŋ	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1394	BONE	10	xi⁴⁴	595	x i ⁴⁴	
Lhota	loth1237	1394	BONE	10	oːrɨ	595	oː r ɨ	Naga Lotha
Tujia	nort2732	1394	BONE	10	lu¹_ka¹	180	l u ¹ _ k a ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1394	BONE	10	khwei⁵⁵	595	kʰ w e i ⁵⁵	Yintale Karen
Pa'O	paok1235	1394	BONE	10	ʔa¹¹_cut¹¹	507	ʔ a ¹¹ _ ts u t ¹¹	
W. Kayah	west2409	1394	BONE	10	krui⁵⁵	595	k r u i ⁵⁵	Kayah Western
Written Tibetan	tibe1272	1394	BONE	10	rus_pa	595	r u s _ p a	
Ninglang-Naxi	naxi1245	1394	BONE	10	ṣa³³_ŋv¹³	595	ʂ a ³³ _ ŋ v ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1394	BONE	10	terat	595	t e r a t	Naga Ao
Garo	garo1247	1394	BONE	10	greŋ	590	g r e ŋ	
Sherpa	sher1255	1394	BONE	10	rok_LR	595	r o k	Solu-Khumbu Sherpa
Manu	manu1255	1394	BONE	10	khwi⁴⁴	595	kʰ w i ⁴⁴	Manumanaw Karen
Yeinbaw	yinb1236	1394	BONE	10	ʃhwe⁵⁵	595	ʃʰ w e ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1394	BONE	10	terat	595	t e r a t	Naga Ao
Yimchunrü	yimc1240	1394	BONE	10	ro→reaŋ	595	r o + r e a ŋ	Naga Yimchungru
Burmese	nucl1310	1394	BONE	10	aruiː	595	a r u iː	
Lhasa Tibetan	tibe1272	1394	BONE	10	rü¹³_pə⁵⁵	595	r y ¹³ _ p ə ⁵⁵	
Kusunda	kusu1250	1394	BONE	54	go̤	0	g o̤	
Nishi	nisi1238	1402	BREAST	11	uchi	143	u tsʰ i	Nisi?
Lijiang-Naxi	lich1241	1402	BREAST	11	ə⁵⁵_po³¹	302	ə ⁵⁵ _ p o ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1402	BREAST	11	mɛ⁴⁴_po⁴²	302	m ɛ ⁴⁴ _ p o ⁴²	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1402	BREAST	11	nu	574	n u	Tawang Monpa, Dakpakha?
Lhota	loth1237	1402	BREAST	11	širo_	398	ʃ i r o	Naga Lotha
Tujia	nort2732	1402	BREAST	11	man⁴	525	m a n ⁴	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Written Tibetan	tibe1272	1402	BREAST	11	nu_ma	574	n u _ m a	
Ninglang-Naxi	naxi1245	1402	BREAST	11	ńu³¹_bi³³	574	nʲ u ³¹ _ b i ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1402	BREAST	11	mama	577	m a m a	Naga Ao
Garo	garo1247	1402	BREAST	11	cel	314	ts e l	
Sherpa	sher1255	1402	BREAST	11	num_LR	574	n u m	Solu-Khumbu Sherpa
Ao-Mongsen	mong1332	1402	BREAST	11	mama	577	m a m a	Naga Ao
Yimchunrü	yimc1240	1402	BREAST	11	niu	574	n i u	Naga Yimchungru
