ID	DOCULECT	GLOTTOCODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
3278	Lüsu	lisu1250	I		æ⁵³	æ	V	E	E	I:769	769
3247	Manu	manu1255	I		he¹¹	h e	H V	h e	H E	I:615	615
3268	Motuo-M	dakp1242	I		ʒ́aŋ	ʒʲ a ŋ	S V N	Z a N	S A N	I:764	764
3283	N-Qiang	nort2722	I		qa	q a	K V	q a	K A	I:769	769
3276	Namuzi	namu1246	I		ŋa⁵⁵	ŋ a	N V	N a	N A	I:615	615
3252	Ninglang-Naxi	naxi1245	I		ńa³³	nʲ a	N V	n a	N A	I:615	615
3245	Nusu	nusu1239	I		ŋa³⁵	ŋ a	N V	N a	N A	I:615	615
3223	Old Chinese	oldc1244	I		ŋhājʔ	ŋʰ aː j ʔ	N V J H	N a y 7	N A J H	I:615	615
3297	Old Chinese	oldc1244	I		Ła	ł a	R V	l a	L A	I:1331	1331
3234	Pa'O	paok1235	I		khwi⁵⁵	kʰ w i	K W V	k w i	K W I	I:615	615
3292	Padam	pada1257	I		ŋo	ŋ o	N V	N o	N U	I:615	615
3218	Quueyu	quey1238	I		ŋa¹³	ŋ a	N V	N a	N A	I:615	615
3242	Rawang	rawa1265	I		ŋa	ŋ a	N V	N a	N A	I:615	615
3229	Rourou	nusu1239	I		ŋo³³	ŋ o	N V	N o	N U	I:615	615
3275	Serdukpen	sher1257	I		gu	g u	K V	g u	K Y	I:615	615
3228	Sgaw	sgaw1245	I		jạ³³	j a̰	J V	y a	J A	I:615	615
3241	Sherpa	sher1255	I		ŋa_LF	ŋ a	N V	N a	N A	I:615	615
3249	Shixing	shix1238	I		ŋâ⁵⁵	ŋ a	N V	N a	N A	I:615	615
3233	Tangkul	tang1336	I		iya	i y a	V V V	i i a	I Y A	I:769	769
3269	Tujia	nort2732	I		ŋa³	ŋ a	N V	N a	N A	I:615	615
3255	W. Kayah	west2409	I		va³³	v a	W V	v a	B A	I:1015	1015
3256	Written Tibetan	tibe1272	I		ŋa	ŋ a	N V	N a	N A	I:615	615
3277	Xiaxe Tibetan	amdo1237	I		ŋa	ŋ a	N V	N a	N A	I:615	615
3282	Yeinbaw	yinb1236	I		khi⁵⁵	kʰ i	K V	k i	K I	I:615	615
3273	Yintale	yint1235	I		khwɛ⁵⁵	kʰ w ɛ	K W V	k w E	K W E	I:615	615
3285	Zeme	zeme1240	I		i	i	V	i	I	I:769	769
3271	Zhaba	zhab1238	I		ŋo⁵¹	ŋ o	N V	N o	N U	I:615	615
31	Alike Tibetan	amdo1237	all		chaŋ_mæ	tsʰ a ŋ m æ	K V N M V	C a N m E	C A N M E	all:183	183
73	Ao-Chungli	chon1286	all		aʒak	a ʒ a k	V S V K	a Z a k	A S A K	all:209	209
81	Ao-Chungli	chon1286	all		temaŋ	t e m a ŋ	T V M V N	t e m a N	T E M A N	all:1467	1467
21	Ao-Mongsen	mong1332	all		telu	t e l u	T V R V	t e l u	T E L Y	all:406	406
2	Apatari	apat1240	all		mɨlaŋrɨ	m ɨ l a ŋ r ɨ	M V R V N R V	m I l a N r I	M I L A N R I	all:411	411
41	Batang Tibetan	kham1282	all		jö¹³_chɛʔ⁵³	j ö tsʰ ɛ ʔ	J V K V H	y E C E 7	J U C E H	all:317	317
53	Beijing	mand1415	all		dōu	d oː u	T V V	d o u	T U Y	all:1502	1502
69	Bodo	bodo1269	all		boʔj	b o ʔ j	P V H J	b o 7 y	P U H J	all:718	718
25	Bokar	bori1243	all		kə_baŋ	k ə b a ŋ	K V P V N	k I b a N	K E P A N	all:851	851
75	Bola	pela1242	all		a³¹_la̲p⁵⁵	a l a̰ p	V R V P	a l a p	A L A P	all:402	402
71	Burmese	nucl1310	all		alumː	a l u mː	V R V M	a l u m	A L Y M	all:455	455
63	Dimasa	dima1251	all		kurup_	k u r u p	K V R V P	k u r u p	K Y R Y P	all:25	25
13	Dulong	drun1238	all		sɨ³¹_naʔ⁵⁵	s ɨ n a ʔ	S V N V H	s I n a 7	S I N A H	all:275	275
19	Ersu	ersu1241	all		ńo³³_kua³³	nʲ o k u a	N V K V V	n o k u a	N U K Y A	all:558	558
70	Fuzhou	mind1253	all		tou⁵²	t o u	T V V	t o u	T U Y	all:1502	1502
45	Garo	garo1247	all		pilak	p i l a k	P V R V K	p i l a k	P I L A K	all:382	382
29	Geba	geba1237	all		lu²²_sa⁴⁴_sɛ̃	l u s a s ɛ̃ ∼	R V S V S V N	l u s a s E n	L Y S A S E 9	all:382	382
18	Geker	geko1235	all		lɔ⁵⁵_nɨʔ⁵³	l ɔ n ɨ ʔ	R V N V H	l o n I 7	L U N I H	all:382	382
76	Guiqiong	guiq1238	all		giɛ̃³³_ʒ̣ɨ⁵⁵	g i ɛ̃ ∼ ʒ ɨ	K V V N S V	g i E n Z I	K I E 9 S I	all:883	883
43	Gurung	guru1261	all		taːn¹	t aː n	T V N	t a n	T A N	all:1502	1502
50	Hakka	hakk1236	all		du¹	d u	T V	d u	T Y	all:1502	1502
46	Hill-Miri	nyis1236	all		mɨllɨ	m ɨ l l ɨ	M V R R V	m I l l I	M I L L I	all:411	411
27	Hmar	hmar1241	all		po_po	p o p o	P V P V	p o p o	P U P U	all:660	660
72	Horpa	horp1239	all		thəm_ćɛ_TIB	tʰ ə m tsʲ ɛ	T V M T V	t I m t E	T E M T E	all:34	34
68	Jingpo	kach1280	all		joŋ³¹	j o ŋ	J V N	y o N	J U N	all:267	267
57	Jinuo	youl1235	all		tʃə³³	tʃ ə	T V	t I	T E	all:317	317
4	Jirel	jire1238	all		ga_L¹ŋe_L¹	g a ŋ e	K V N V	g a N e	K A N E	all:636	636
55	Kaike	kaik1246	all		solo	s o l o	S V R V	s o l o	S U L U	all:406	406
36	Khaling	khal1275	all		kholeŋ_L	kʰ o l e ŋ	K V R V N	k o l e N	K U L E N	all:558	558
17	Kulung	kulu1253	all		khɔːlɔ	kʰ ɔː l ɔ	K V R V	k o l o	K U L U	all:558	558
8	Lepcha	lepc1244	all		gŭn	g u n	K V N	g u n	K Y N	all:558	558
44	Lhasa Tibetan	tibe1272	all		chaŋ⁵⁵_ma⁵⁵	tsʰ a ŋ m a	K V N M V	C a N m a	C A N M A	all:183	183
6	Lhota	loth1237	all		oːmpa	oː m p a	V M P V	o m p a	U M P A	all:660	660
62	Liangmai	lian1251	all		matiu	m a t i u	M V T V V	m a t i u	M A T I Y	all:317	317
66	Lijiang-Naxi	lich1241	all		ndɨ³³_χə³³_mb	n d ɨ χ ə m b	N T V K V M P	n d I G I m b	N T I G E M P	all:1502	1502
47	Limbu	limb1266	all		kɛrɛk	k ɛ r ɛ k	K V R V K	k E r E k	K E R E K	all:558	558
7	Lushai	lush1249	all		an-za-in	a n z a i n	V N S V V N	a n z a i n	A N S A I N	all:268	268
30	Manu	manu1255	all		lụ⁴⁴_bɔ¹¹	l ṵ b ɔ	R V P V	l u b o	L Y P U	all:382	382
51	Motuo-M	dakp1242	all		tham_ćeʔ__TIB	tʰ a m tsʲ e ʔ	T V M T V H	t a m t e 7	T A M T E H	all:16	16
65	N-Qiang	nort2722	all		kin_di	k i n d i	K V N T V	k i n d i	K I N T I	all:1502	1502
59	Namuzi	namu1246	all		a³³_kɛ³³_mu⁵	a k ɛ m u	V K V M V	a k E m u	A K E M Y	all:1467	1467
35	Ninglang-Naxi	naxi1245	all		dɨ³³_ta³³	d ɨ t a	T V T V	d I t a	T I T A	all:1502	1502
28	Nusu	nusu1239	all		li⁵⁵	l i	R V	l i	L I	all:406	406
5	Old Chinese	oldc1244	all		kīj_	k iː j	K V J	k i y	K I J	all:1465	1465
15	Pa'O	paok1235	all		ka⁴⁴_loʔ⁵⁵_lo	k a l o ʔ l o	K V R V H R V	k a l o 7 l o	K A L U H L U	all:382	382
74	Padam	pada1257	all		apɨŋ	a p ɨ ŋ	V P V N	a p I N	A P I N	all:851	851
1	Quueyu	quey1238	all		tə⁵⁵_łye⁵⁵	t ə ɬ y e	T V R V V	t I L i e	T E L Y E	all:406	406
23	Rawang	rawa1265	all		šaŋbɛ	ʃ a ŋ b ɛ	S V N P V	S a N b E	S A N P E	all:660	660
10	Rourou	nusu1239	all		ćiæ³⁵	tsʲ i æ	T V V	t i E	T I E	all:317	317
58	Serdukpen	sher1257	all		zebdo	z e b d o	S V P T V	z e b d o	S E P T U	all:196	196
9	Sgaw	sgaw1245	all		khɛ⁴⁴_ləʔ⁵³	kʰ ɛ l ə ʔ	K V R V H	k E l I 7	K E L E H	all:382	382
22	Sherpa	sher1255	all		tokHR	t o k	T V K	t o k	T U K	all:1502	1502
32	Shixing	shix1238	all		la³³_wa⁵⁵	l a w a	R V W V	l a w a	L A W A	all:692	692
14	Tangkul	tang1336	all		hupta	h u p t a	H V P T V	h u p t a	H Y P T A	all:1502	1502
52	Tujia	nort2732	all		xu³_ńi¹	x u nʲ i	K V N V	x u n i	G Y N I	all:275	275
38	W. Kayah	west2409	all		lɔ̣³³_pli¹¹	l ɔ̰ p l i	R V P R V	l o p l i	L U P L I	all:382	382
39	Written Tibetan	tibe1272	all		mthaã_dag	m tʰ a ã ∼ d a g	M T V V N T V K	m t a a n d a g	M T A A 9 T A K	all:1502	1502
79	Written Tibetan	tibe1272	all		thams_ćad	tʰ a m s tsʲ a d	T V M S T V T	t a m s t a d	T A M S T A T	all:317	317
60	Xiaxe Tibetan	amdo1237	all		ha_no	h a n o	H V N V	h a n o	H A N U	all:275	275
64	Yeinbaw	yinb1236	all		pwại⁴⁴_trv²²	p w a̰ i t r v	P W V V T R W	p w a i t r v	P W A I T R B	all:851	851
56	Yintale	yint1235	all		lu⁵⁵_lu¹¹	l u l u	R V R V	l u l u	L Y L Y	all:382	382
67	Zeme	zeme1240	all		pelene	p e l e n e	P V R V N V	p e l e n e	P E L E N E	all:275	275
80	Zeme	zeme1240	all		ramme	r a m m e	R V M M V	r a m m e	R A M M E	all:1431	1431
54	Zhaba	zhab1238	all		tʃa̲t⁵⁵	tʃ a̰ t	T V T	t a t	T A T	all:317	317
149	Ao-Chungli	chon1286	ashes		ap	a p	V P	a p	A P	ashes:844	844
102	Ao-Mongsen	mong1332	ashes		opu	o p u	V P V	o p u	U P Y	ashes:844	844
84	Apatari	apat1240	ashes		múbu	m u b u	M V P V	m u b u	M Y P Y	ashes:844	844
154	Apatari	apat1240	ashes		muyu	m u y u	M V V V	m u i u	M Y Y Y	ashes:711	711
119	Batang Tibetan	kham1282	ashes		thei¹³_kâ⁵⁵	tʰ e i k a	T V V K V	t e i k a	T E I K A	ashes:120	120
130	Beijing	mand1415	ashes		xūi	x uː i	K V V	x u i	G Y I	ashes:709	709
145	Bodo	bodo1269	ashes		_haŋgar	h a ŋ g a r	H V N K V R	h a N g a r	H A N K A R	ashes:531	531
106	Bokar	bori1243	ashes		mə_reː	m ə r eː	M V R V	m I r e	M E R E	ashes:1443	1443
151	Bola	pela1242	ashes		mi³¹_map³¹	m i m a p	M V M V P	m i m a p	M I M A P	ashes:710	710
147	Burmese	nucl1310	ashes		pra	p r a	P R V	p r a	P R A	ashes:438	438
83	Dhimal	dhim1246	ashes		busuri	b u s u r i	P V S V R V	b u s u r i	P Y S Y R I	ashes:844	844
139	Dimasa	dima1251	ashes		thapla	tʰ a p l a	T V P R V	t a p l a	T A P L A	ashes:438	438
95	Dulong	drun1238	ashes		pa⁵⁵_pu⁵⁵	p a p u	P V P V	p a p u	P A P Y	ashes:844	844
100	Ersu	ersu1241	ashes		ər⁵⁵	ə r	V R	I r	E R	ashes:1443	1443
146	Fuzhou	mind1253	ashes		xui⁵⁵	x u i	K V V	x u i	G Y I	ashes:709	709
123	Garo	garo1247	ashes		tapra	t a p r a	T V P R V	t a p r a	T A P R A	ashes:438	438
109	Geba	geba1237	ashes		phɛʔ⁵³_shɛ⁴⁴	pʰ ɛ ʔ sʰ ɛ	P V H S V	p E 7 s E	P E H S E	ashes:710	710
99	Geker	geko1235	ashes		pha²²_sha⁴⁴	pʰ a sʰ a	P V S V	p a s a	P A S A	ashes:710	710
152	Guiqiong	guiq1238	ashes		c̣hɨ⁵³	tʂʰ ɨ	T V	t I	T I	ashes:710	710
121	Gurung	guru1261	ashes		mebro¹	m e b r o	M V P R V	m e b r o	M E P R U	ashes:438	438
127	Hakka	hakk1236	ashes		foi¹	f o i	P V V	f o i	B U I	ashes:709	709
124	Hill-Miri	nyis1236	ashes		maya	m a j a	M V J V	m a y a	M A J A	ashes:711	711
107	Hmar	hmar1241	ashes		pilvut	p i l v u t	P V R W V T	p i l v u t	P I L B Y T	ashes:517	517
160	Hmar	hmar1241	ashes		mei_waːm	m e i w aː m	M V V W V M	m e i w a m	M E I W A M	ashes:710	710
148	Horpa	horp1239	ashes		flɛ	f l ɛ	P R V	f l E	B L E	ashes:438	438
88	Idu	idum1241	ashes		i¹_gu¹	i g u	V K V	i g u	I K Y	ashes:517	517
144	Jingpo	kach1280	ashes		tap³¹	t a p	T V P	t a p	T A P	ashes:1514	1514
134	Jinuo	youl1235	ashes		a³³_mə⁵⁵	a m ə	V M V	a m I	A M E	ashes:709	709
86	Jirel	jire1238	ashes		tha_L¹la_T¹	tʰ a l a	T V R V	t a l a	T A L A	ashes:120	120
155	Jirel	jire1238	ashes		tha_L¹la_T¹	tʰ a l a	T V R V	t a l a	T A L A	ashes:438	438
132	Kaike	kaik1246	ashes		malha	m a lʰ a	M V R V	m a l a	M A L A	ashes:438	438
115	Khaling	khal1275	ashes		püyüH	p y y y	P V V V	p i i i	P Y Y Y	ashes:438	438
162	Khaling	khal1275	ashes		püyüH	p y y y	P V V V	p i i i	P Y Y Y	ashes:844	844
98	Kulung	kulu1253	ashes		chubui	tsʰ u b u i	K V P V V	C u b u i	C Y P Y I	ashes:438	438
157	Kulung	kulu1253	ashes		chubui	tsʰ u b u i	K V P V V	C u b u i	C Y P Y I	ashes:844	844
91	Lepcha	lepc1244	ashes		yu	y u	V V	i u	Y Y	ashes:711	711
122	Lhasa Tibetan	tibe1272	ashes		kho¹³_thɛ⁵⁵	kʰ o tʰ ɛ	K V T V	k o t E	K U T E	ashes:120	120
89	Lhota	loth1237	ashes		mipoːk	m i p oː k	M V P V K	m i p o k	M I P U K	ashes:844	844
142	Lijiang-Naxi	lich1241	ashes		ɣɨ⁵⁵	ɣ ɨ	K V	x I	G I	ashes:438	438
125	Limbu	limb1266	ashes		thappu	tʰ a p p u	T V P P V	t a p p u	T A P P Y	ashes:1514	1514
164	Limbu	limb1266	ashes		thappu	tʰ a p p u	T V P P V	t a p p u	T A P P Y	ashes:844	844
90	Lushai	lush1249	ashes		mei_vaːp	m e i v aː p	M V V W V P	m e i v a p	M E I B A P	ashes:710	710
156	Lushai	lush1249	ashes		vut	v u t	W V T	v u t	B Y T	ashes:517	517
138	Lüsu	lisu1250	ashes		źy³⁵	zʲ y	S V	z i	S Y	ashes:1443	1443
110	Manu	manu1255	ashes		ku¹¹_pha⁴⁴	k u pʰ a	K V P V	k u p a	K Y P A	ashes:710	710
128	Motuo-M	dakp1242	ashes		thu_lu	tʰ u l u	T V R V	t u l u	T Y L Y	ashes:120	120
141	N-Qiang	nort2722	ashes		ći_ći_bu_zụ	tsʲ i tsʲ i b u z ṵ	T V T V P V S V	t i t i b u z u	T I T I P Y S Y	ashes:710	710
136	Namuzi	namu1246	ashes		la³⁵	l a	R V	l a	L A	ashes:438	438
114	Ninglang-Naxi	naxi1245	ashes		luə¹³	l u ə	R V V	l u I	L Y E	ashes:438	438
108	Nusu	nusu1239	ashes		dʒɛr⁴²_nhɛr⁴²	dʒ ɛ r nʰ ɛ r	T V R N V R	d E r n E r	T E R N E R	ashes:279	279
87	Old Chinese	oldc1244	ashes		smə̄j	s m ə j	S M V J	s m I y	S M E J	ashes:709	709
97	Pa'O	paok1235	ashes		pha³³	pʰ a	P V	p a	P A	ashes:710	710
150	Padam	pada1257	ashes		med-bu	m e d b u	M V T P V	m e d b u	M E T P Y	ashes:844	844
82	Quueyu	quey1238	ashes		thə⁵⁵_pka⁵⁵_p	tʰ ə p k a p	T V P K V P	t I p k a p	T E P K A P	ashes:677	677
153	Quueyu	quey1238	ashes		thə⁵⁵_pka⁵⁵_p	tʰ ə p k a p	T V P K V P	t I p k a p	T E P K A P	ashes:710	710
104	Rawang	rawa1265	ashes		khaphu	kʰ a pʰ u	K V P V	k a p u	K A P Y	ashes:844	844
93	Rourou	nusu1239	ashes		na⁵⁵_ma³⁵_phu	n a m a pʰ u	N V M V P V	n a m a p u	N A M A P Y	ashes:844	844
135	Serdukpen	sher1257	ashes		mi	m i	M V	m i	M I	ashes:709	709
92	Sgaw	sgaw1245	ashes		phaʔ⁵³_sha⁴⁴	pʰ a ʔ sʰ a	P V H S V	p a 7 s a	P A H S A	ashes:710	710
103	Sherpa	sher1255	ashes		thalǯum_LR	tʰ a l dʒ u m	T V R T V M	t a l d u m	T A L T Y M	ashes:120	120
111	Shixing	shix1238	ashes		pa³³_ji³⁵	p a j i	P V J V	p a y i	P A J I	ashes:710	710
96	Tangkul	tang1336	ashes		hotla	h o t l a	H V T R V	h o t l a	H U T L A	ashes:438	438
129	Tujia	nort2732	ashes		pu⁴_chi³	p u tsʰ i	P V K V	p u C i	P Y C I	ashes:844	844
117	W. Kayah	west2409	ashes		kɔ⁵⁵_phɛ¹¹	k ɔ pʰ ɛ	K V P V	k o p E	K U P E	ashes:710	710
118	Written Tibetan	tibe1272	ashes		go_thal	g o tʰ a l	K V T V R	g o t a l	K U T A L	ashes:120	120
137	Xiaxe Tibetan	amdo1237	ashes		tha	tʰ a	T V	t a	T A	ashes:120	120
140	Yeinbaw	yinb1236	ashes		pha¹¹	pʰ a	P V	p a	P A	ashes:710	710
133	Yintale	yint1235	ashes		pha³³	pʰ a	P V	p a	P A	ashes:710	710
143	Zeme	zeme1240	ashes		tinbun	t i n b u n	T V N P V N	t i n b u n	T I N P Y N	ashes:681	681
131	Zhaba	zhab1238	ashes		_mop⁵⁵	m o p	M V P	m o p	M U P	ashes:710	710
208	Ao-Chungli	chon1286	bark		kap	k a p	K V P	k a p	K A P	bark:506	506
178	Ao-Mongsen	mong1332	bark		kap	k a p	K V P	k a p	K A P	bark:506	506
197	Beijing	mand1415	bark		pí	p i	P V	p i	P I	bark:689	689
205	Bodo	bodo1269	bark		biguʔr	b i g u ʔ r	P V K V H R	b i g u 7 r	P I K Y H R	bark:583	583
210	Bodo	bodo1269	bark		bikoʔŋ	b i k o ʔ ŋ	P V K V H N	b i k o 7 N	P I K U H N	bark:589	589
207	Burmese	nucl1310	bark		akhauk	a kʰ a u k	V K V V K	a k a u k	A K A Y K	bark:502	502
165	Dhimal	dhim1246	bark		dhale	d h a l e	T H V R V	d h a l e	T H A L E	bark:1111	1111
202	Dimasa	dima1251	bark		boŋur	b o ŋ u r	P V N V R	b o N u r	P U N Y R	bark:583	583
206	Fuzhou	mind1253	bark		phui⁵²_	pʰ u i	P V V	p u i	P Y I	bark:689	689
193	Garo	garo1247	bark		bigil	b i g i l	P V K V R	b i g i l	P I K I L	bark:583	583
184	Geba	geba1237	bark		phaʔ⁵³	pʰ a ʔ	P V H	p a 7	P A H	bark:872	872
177	Geker	geko1235	bark		ṭəɨ³¹_phʌiʔ⁵³	ʈ ə ɨ pʰ ʌ i ʔ	T V V P V V H	t I I p o i 7	T E I P E I H	bark:872	872
192	Gurung	guru1261	bark		phi¹	pʰ i	P V	p i	P I	bark:872	872
196	Hakka	hakk1236	bark		pi²_	p i	P V	p i	P I	bark:689	689
194	Hill-Miri	nyis1236	bark		epən	e p ə n	V P V N	e p I n	E P E N	bark:847	847
183	Hmar	hmar1241	bark		hawŋ	h a w ŋ	H V W N	h a w N	H A W N	bark:589	589
166	Jirel	jire1238	bark		kok_L¹ten_T¹	k o k t e n	K V K T V N	k o k t e n	K U K T E N	bark:502	502
198	Kaike	kaik1246	bark		swɔp	s w ɔ p	S W V P	s w o p	S W U P	bark:484	484
188	Khaling	khal1275	bark		kaH	k a	K V	k a	K A	bark:502	502
176	Kulung	kulu1253	bark		hɔu	h ɔ u	H V V	h o u	H U Y	bark:502	502
170	Lepcha	lepc1244	bark		a-pi_ST³⁶⁹	a p i	V P V	a p i	A P I	bark:871	871
168	Lhota	loth1237	bark		fu	f u	P V	f u	B Y	bark:664	664
201	Liangmai	lian1251	bark		gi	g i	K V	g i	K I	bark:714	714
195	Limbu	limb1266	bark		hoːrik	h oː r i k	H V R V K	h o r i k	H U R I K	bark:502	502
169	Lushai	lush1249	bark		hawŋ	h a w ŋ	H V W N	h a w N	H A W N	bark:589	589
185	Manu	manu1255	bark		phɔ¹¹	pʰ ɔ	P V	p o	P U	bark:872	872
167	Old Chinese	oldc1244	bark		bhaj	b h a j	P H V J	b h a y	P H A J	bark:689	689
174	Pa'O	paok1235	bark		pheʔ⁵⁵	pʰ e ʔ	P V H	p e 7	P E H	bark:872	872
209	Padam	pada1257	bark		ešiŋ_ašik	e ʃ i ŋ a ʃ i k	V S V N V S V K	e S i N a S i k	E S I N A S I K	bark:712	712
180	Rawang	rawa1265	bark		sɛ	s ɛ	S V	s E	S E	bark:484	484
200	Serdukpen	sher1257	bark		skuk	s k u k	S K V K	s k u k	S K Y K	bark:502	502
171	Sgaw	sgaw1245	bark		ṭeʔ⁵³_phiʔ⁵³	ʈ e ʔ pʰ i ʔ	T V H P V H	t e 7 p i 7	T E H P I H	bark:872	872
179	Sherpa	sher1255	bark		kowa_LFšiŋ_LF	k o w a ʃ i ŋ	K V W V S V N	k o w a S i N	K U W A S I N	bark:502	502
173	Tangkul	tang1336	bark		akor	a k o r	V K V R	a k o r	A K U R	bark:583	583
189	W. Kayah	west2409	bark		ćɔ¹¹_pha⁵⁵	tsʲ ɔ pʰ a	T V P V	t o p a	T U P A	bark:872	872
190	Written Tibetan	tibe1272	bark		pags_pa	p a g s p a	P V K S P V	p a g s p a	P A K S P A	bark:863	863
203	Yeinbaw	yinb1236	bark		θɨ̃¹¹_phe⁵⁵	θ ɨ̃ ∼ pʰ e	T V N P V	8 I n p e	D I 9 P E	bark:872	872
199	Yintale	yint1235	bark		sein¹³_bei³³	s e i n b e i	S V V N P V V	s e i n b e i	S E I N P E I	bark:863	863
204	Zeme	zeme1240	bark		gei	g e i	K V V	g e i	K E I	bark:714	714
240	Alike Tibetan	amdo1237	belly		ho	h o	H V	h o	H U	belly:683	683
282	Ao-Chungli	chon1286	belly		tepok	t e p o k	T V P V K	t e p o k	T E P U K	belly:566	566
231	Ao-Mongsen	mong1332	belly		tupuk	t u p u k	T V P V K	t u p u k	T Y P Y K	belly:566	566
249	Batang Tibetan	kham1282	belly		ćö¹³_pa⁵³	tsʲ ö p a	T V P V	t E p a	T U P A	belly:685	685
261	Beijing	mand1415	belly		dùzi	d u z i	T V S V	d u z i	T Y S I	belly:1288	1288
278	Bodo	bodo1269	belly		udəʔj	u d ə ʔ j	V T V H J	u d I 7 y	Y T E H J	belly:116	116
235	Bokar	bori1243	belly		kiːpoŋ	k iː p o ŋ	K V P V N	k i p o N	K I P U N	belly:520	520
290	Bokar	bori1243	belly		kiːpoŋ	k iː p o ŋ	K V P V N	k i p o N	K I P U N	belly:834	834
284	Bola	pela1242	belly		vɛ³¹_tau³¹	v ɛ t a u	W V T V V	v E t a u	B E T A Y	belly:706	706
280	Burmese	nucl1310	belly		wamː	w a mː	W V M	w a m	W A M	belly:706	706
212	Dhimal	dhim1246	belly		himuŋ	h i m u ŋ	H V M V N	h i m u N	H I M Y N	belly:1460	1460
272	Dimasa	dima1251	belly		haw	h a w	H V W	h a w	H A W	belly:683	683
224	Dulong	drun1238	belly		pa⁵⁵	p a	P V	p a	P A	belly:827	827
229	Ersu	ersu1241	belly		ji³³_pha⁵⁵	j i pʰ a	J V P V	y i p a	J I P A	belly:880	880
279	Fuzhou	mind1253	belly		pu³¹_lo⁵²	p u l o	P V R V	p u l o	P Y L U	belly:566	566
296	Fuzhou	mind1253	belly		pu³¹_lo⁵²	p u l o	P V R V	p u l o	P Y L U	belly:1288	1288
253	Garo	garo1247	belly		ok	o k	V K	o k	U K	belly:514	514
238	Geba	geba1237	belly		kəphu⁴⁴	k ə pʰ u	K V P V	k I p u	K E P Y	belly:827	827
228	Geker	geko1235	belly		phu⁵⁵	pʰ u	P V	p u	P Y	belly:827	827
