# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	GLOTTOCODE	COGID
49	Kartujarra	ABOVE	k a t u w a n a c a n u	kart1247	55
50	Gathang	ABOVE	k j i n g oː	gath1234	50
51	Kaurna	ABOVE	k a r a	kaur1267	18
52	Gugadj	ABOVE	k i r	guga1239	1
53	Kukatja	ABOVE	g a ŋ a ɹ a	kuka1246	34
54	Kuku-Yalanji	ABOVE	w a ŋ k a ɹ w a ŋ k a ɹ	kuku1273	32
55	Kurrama	ABOVE	k a n k a ɳ i	kurr1243	34
56	Gurdjar	ABOVE	ŋ k aː ɖ	gurd1238	32
57	Gurdjar	ABOVE	ŋ k a ɖ i j a ŋ	gurd1238	32
58	Leningitij	ABOVE	m b i ɹ	leni1238	48
59	Kala Lagaw Ya	ABOVE	g i m a l	kala1377	57
60	Malngin	ABOVE	k a n k u l a	maln1239	34
64	Martu Wangka	ABOVE	k a n k a	mart1256	34
66	Minjungbal	ABOVE	w a j i m a j a	minj1242	42
68	Mudburra	ABOVE	d i m b u	mudb1240	23
70	Muruwari	ABOVE	k a r a n t a	muru1266	49
72	Ngaanyatjarra	ABOVE	k a n k a ɹ a r a	ngaa1240	34
73	Ngadjunmaya	ABOVE	m aː d u	ngad1258	54
74	Ngadjuri	ABOVE	a ɹ u ˀw a t u ŋ	ngad1257	18
75	Ngamini	ABOVE	k u ɹ u m u	ngam1284	24
76	Ngarigu	ABOVE	ɲ a l a ŋ	ngar1297	44
77	Ngarinman	ABOVE	d a l w i r	ngar1235	1
78	Ngarla	ABOVE	k a n k a ɹ a	ngar1296	34
79	Ngarluma	ABOVE	g a n k a n m a n i	ngar1287	34
80	Narrinyeri	ABOVE	t̪ a l w u l d a	narr1259	25
81	Ngiyambaa	ABOVE	ŋ u n a o w a	ngiy1239	16
82	Ngunawal	ABOVE	j u ɹ u ŋ	ngun1277	52
83	Nhanda	ABOVE	i r a ŋ k a q	nhan1238	1
84	Mangala	ABOVE	k a n k a ɳ i ŋ u	mang1383	34
85	Northern Coastal Nyangumarta	ABOVE	k a n k a	nort2754	34
86	Nyamal	ABOVE	k a n k a ɭ a	nyam1271	34
87	Nyangumarta	ABOVE	k a n k a	nyan1301	34
88	Nyunga	ABOVE	j e a ɹ e ɹ	nyun1247	1
89	Pakanha	ABOVE	k a t n i ŋ k a	paka1251	1
90	Pakanha	ABOVE	k a n i ŋ k a _ a b o v e	paka1251	1
91	Panytyima	ABOVE	k a n k a l a	pany1241	34
92	Banggarla	ABOVE	k a kː a nː a ɹ a	bang1339	34
93	Bayungu	ABOVE	k a n k a ɹ a	bayu1240	34
94	Pintupi-Luritja	ABOVE	k a t u	pint1250	55
95	Pintupi-Luritja	ABOVE	k a n k a r a	pint1250	55
96	Pitjantjatjara	ABOVE	k a t u	pitj1243	55
97	Pitta Pitta	ABOVE	j a k i ɭ i _ ŋ a l p a	pitt1247	40
98	Rirratjingu	ABOVE	g a r a m a t	rirr1238	21
99	Ritarungo	ABOVE	g a r w a ɹ	rita1239	56
100	Dhalandji	ABOVE	k a n k a ɹ a	dhal1245	34
101	Dhargari	ABOVE	j i r a ɹ a	dhar1247	31
102	Umpila	ABOVE	k a n i m u n u	umpi1239	20
103	Wajarri	ABOVE	m a ɭ b a	waja1257	43
104	Wagaya	ABOVE	j u p a n t u	waga1260	33
105	Wagaya	ABOVE	k i n k a ɭ	waga1260	33
106	Wagaya	ABOVE	c e m a n t u ɹ u	waga1260	33
110	Wangganguru	ABOVE	c e ɹ a b a	wang1290	31
111	Pintiini	ABOVE	k a t u	pint1251	55
112	Ngura	ABOVE	p i ʈ a b a d a	ngur1261	38
113	Wardandi	ABOVE	c i ɹ a	ward1248	1
114	Warlmanpa	ABOVE	k a n k a ɭ a r a	warl1255	34
115	Warlpiri	ABOVE	k a n k a ɭ a ɳ i	warl1254	34
116	Warluwara	ABOVE	k a ɳ k a ɭ i j a r i	warl1256	1
117	Wanman	ABOVE	k a n k a ɳ i	wanm1242	34
118	Wariyangga	ABOVE	j i r a ɹ a	wari1262	1
119	Warumungu	ABOVE	a ʈ t i n c i	waru1265	19
120	Warrungo	ABOVE	g i c a	waru1264	41
121	Wathawurrung	ABOVE	k o b a ŋ i	wath1238	47
122	Wathawurrung	ABOVE	k o m b a b a	wath1238	47
123	Wajuk	ABOVE	j i ɹ a g a n	waju1234	31
124	Wik-Mungkan	ABOVE	w o ɲ a m	wikm1247	1
125	Wiradhuri	ABOVE	b i r a b a ŋ	wira1262	30
126	Wirangu-Nauo	ABOVE	g a ɖ i d j a	wira1260	22
127	Woiwurrung	ABOVE	g a b a r e ŋ	woiw1237	37
128	Wulguru	ABOVE	b i n d a l	wulg1239	22
129	Yagara	ABOVE	w a ŋ a n	yaga1262	1
130	Yalarnnga	ABOVE	k a n k a d̪ i	yala1262	34
131	Yan-nhangu	ABOVE	g a ɳ g i j a	yann1237	1
132	Yandruwandha	ABOVE	t̪ a l k a	yand1253	28
133	Yandruwandha	ABOVE	k a n r a	yand1253	28
134	Yanyuwa	ABOVE	a n k a ŋ u	yany1243	35
135	Yarluyandi	ABOVE	k u ɹ u m u	yarl1238	24
136	Yawarawarga	ABOVE	d a t c a	yawa1258	39
137	Yidiñ	ABOVE	d i b a n	yidi1250	1
138	Yindjibarndi	ABOVE	k a n k a ɭ a	yind1247	34
139	Yorta Yorta	ABOVE	p u k u t	yort1237	14
141	Yulparitja	ABOVE	k a n k a ɳ i ŋ u ɹ u	yulp1238	34
142	Yuwaalaraay	ABOVE	ŋ a r i b aː g i l i	yuwa1242	26
#
257	Adnyamathanha	ALL	w a p u	adny1235	133
258	Alyawarr	ALL	e ŋ k e r	alya1239	150
259	Arabana	ALL	p ɹ a t c a n t a	arab1267	128
260	Awabakal	ALL	j a n d i n	awab1243	145
261	Yugambeh-Bandjalang	ALL	g u m b i h	band1339	1
262	Kabikabi	ALL	s b i ɹ a l u	kabi1260	132
263	Southern Maric	ALL	m u m b a	sout2765	157
264	Bilinara	ALL	b u r b b a ɳ i	bili1250	129
265	Biri	ALL	w a ŋ g a ɹ a ɲ	biri1256	141
266	Birrpayi	ALL	g o r j	birr1241	133
267	Dhangu	ALL	w a r p a m ʔ	dhan1270	121
268	Dhuwal	ALL	w a r p a m ʔ	dhuw1249	121
270	Dieri	ALL	p a r c a ɳ a	dier1241	128
271	Dyaabugay	ALL	ɲ i ŋ a j c a d a	dyaa1242	149
272	Djambarrpuyngu	ALL	b u k m a k	djam1256	125
273	Djapu	ALL	w a r p a m ʔ	djap1238	121
274	Djinang	ALL	ŋ a j a m a	djin1253	124
276	Dyirbal	ALL	d j a n a	dyir1250	163
277	Gamilaraay	ALL	g a n u	gami1243	131
278	Gureng Gureng	ALL	n u lː i ŋ oː	gure1255	136
279	Gumatj	ALL	b u k m a k	guma1253	125
280	Kumbainggar	ALL	b iː n	kumb1268	118
281	Gunditjmara	ALL	k i a ŋ c eː t c	gund1249	1
282	Northern Inland Yui	ALL	d a r ʔ g a ŋ	nort2760	144
283	Gunya	ALL	g u r u g u r u	guny1241	133
284	Gupapuyngu	ALL	w a r p a m ʔ	gupa1247	121
285	Gurindji	ALL	p u r pː a ɳ i	guri1247	129
286	Guugu Yimidhirr	ALL	w a ɹ k a n o b u ŋ o	gugu1255	1
287	Guyani	ALL	k u ɹ u	guya1249	133
288	Jaru	ALL	w a ɲ c u w u r a c a r a	jaru1254	137
289	Djiwarli	ALL	ɖ a n	djiw1241	153
290	Gamilaraay	ALL	g u n o	gami1243	131
291	Karadjeri	ALL	w a k a c	kara1476	165
293	Kariyarra	ALL	c u l u	kari1304	168
294	Kartujarra	ALL	j a ɳ ŋ a l a	kart1247	1
295	Kaurna	ALL	p a ʈ a nː a	kaur1267	128
296	Kukatja	ALL	l a l t u	kuka1246	120
297	Kuku-Yalanji	ALL	w u b u l	kuku1273	155
299	Kurrama	ALL	c u l u k u ʈ a	kurr1243	168
300	Gurdjar	ALL	w o k	gurd1238	162
301	Gurdjar	ALL	β aː r	gurd1238	162
302	Kuuku-Ya'u	ALL	m u k a m u k a n	kuuk1238	122
303	Kala Lagaw Ya	ALL	m u ɹ a	kala1377	123
306	Margany	ALL	b i r i ɲ	marg1253	151
307	Martu Wangka	ALL	j a ɳ ŋ a	mart1256	146
308	Mbabaram	ALL	a r w a	mbab1239	117
309	Minjungbal	ALL	g a ɹ a l b u	minj1242	158
311	Mudburra	ALL	k u w a ɲ c a	mudb1240	134
313	Muruwari	ALL	k u r u k u r u	muru1266	133
314	Narungga	ALL	b a dː a n a	naru1238	128
315	Ngaanyatjarra	ALL	p i ɳ i ɲ a ʈ u	ngaa1240	118
316	Lower Riverland	ALL	m _ u pː o	lowe1402	157
317	Ngamini	ALL	p a r c a n a	ngam1284	128
318	North-western Warlpiri	ALL	l u r i c	nort2753	142
319	Ngarluma	ALL	c u ɭ u	ngar1287	168
320	Narrinyeri	ALL	t u l d a	narr1259	140
321	Ngiyambaa	ALL	p u ŋ k u p u	ngiy1239	166
322	Nhanda	ALL	w a w u l j a	nhan1238	164
323	Northern Coastal Nyangumarta	ALL	w i r	nort2754	167
324	Nyamal	ALL	w iː r	nyam1271	1
325	Nyangumarta	ALL	w i r	nyan1301	167
326	Nyunga	ALL	b u n d u ŋ	nyun1247	1
327	Paakantyi	ALL	g u d a g u d a	darl1243	126
328	Panytyima	ALL	c u ɭ u	pany1241	168
329	Banggarla	ALL	p a d l u j u n u	bang1339	135
330	Bayungu	ALL	w u r a j i m p a	bayu1240	1
331	Pintupi-Luritja	ALL	j a p u w a r a	pint1250	138
332	Pitjantjatjara	ALL	u w a n k a ɹ a	pitj1243	119
333	Pitjantjatjara	ALL	w i n k i	pitj1243	119
334	Rirratjingu	ALL	b u k m a k	rirr1238	125
335	Ritarungo	ALL	w a r p a m ʔ	rita1239	121
336	Umpila	ALL	k u l i m a k u	umpi1239	159
337	Wajarri	ALL	j a l j b a	waja1257	1
338	Wagaya	ALL	m u k e ɭ	waga1260	148
342	Wangganguru	ALL	p a ɹ a t c a n t a	wang1290	128
343	Pintiini	ALL	ɲ u p u r u	pint1251	127
344	Wanggamala	ALL	m u k u	wang1289	122
345	Ngura	ALL	m a r u	ngur1261	130
347	Wardandi	ALL	c e n a	ward1248	1
348	Warlmanpa	ALL	m u k u	warl1255	122
349	Warlpiri	ALL	m u k u	warl1254	122
350	Warumungu	ALL	m u kː u	waru1265	122
351	Wajuk	ALL	p a n t a ŋ	waju1234	143
352	Western Arrarnta	ALL	i ŋ k e r e k e	west2441	150
353	Wik-Mungkan	ALL	m a ˀm a ŋ k a m	wikm1247	156
354	Wiradhuri	ALL	b i j a ŋ g a l a ŋ	wira1262	147
355	Wirangu-Nauo	ALL	j a b u	wira1260	138
356	Yagara	ALL	ŋ a m b i lː a	yaga1262	161
357	Yan-nhangu	ALL	b u k m a k	yann1237	125
358	Yandruwandha	ALL	m a l k a	yand1253	139
359	Yandruwandha	ALL	p a n i	yand1253	139
360	Yandruwandha	ALL	p a n i n a	yand1253	139
361	Yanyuwa	ALL	m u ɹ a	yany1243	123
362	Yarluyandi	ALL	t̪ a n a ɖ i	yarl1238	154
363	Yawarawarga	ALL	p a n i n a	yawa1258	152
364	Yindjibarndi	ALL	c u l u	yind1247	168
365	Yorta Yorta	ALL	w u t a	yort1237	160
367	Yulparitja	ALL	l a l t u	yulp1238	120
368	Yuwaalaraay	ALL	g a n u	yuwa1242	131
369	Yuwaalaraay	ALL	g a n u ŋ a w u	yuwa1242	131
370	Yuwaalaraay	ALL	g u r u g u r u	yuwa1242	131
371	Yuwaalaraay	ALL	aː b a l i	yuwa1242	131
#
372	Adnyamathanha	AND	a d n i	adny1235	202
373	Arabana	AND	n c u ɖ u	arab1267	204
374	Awabakal	AND	ŋ a d u n	awab1243	1
375	Yugambeh-Bandjalang	AND	ŋ u l a	band1339	220
376	Bunganditj	AND	b a	bung1264	211
377	Dhangu	AND	g a	dhan1270	223
378	Thurawal	AND	b a h	thur1254	211
379	Dayi	AND	g a	dayi1244	223
380	Dhuwal	AND	g a	dhuw1249	223
382	Dieri	AND	j a	dier1241	225
383	Dyaabugay	AND	c a t a	dyaa1242	181
384	Djambarrpuyngu	AND	g a	djam1256	223
385	Djapu	AND	g a	djap1238	223
386	Djinang	AND	a	djin1253	224
388	Duungidjawu	AND	ŋ a	duun1241	184
389	Gamilaraay	AND	j i lː i b u	gami1243	1
390	Gumatj	AND	g a	guma1253	223
391	Kumbainggar	AND	g a r aː	kumb1268	198
392	Kumbainggar	AND	w a w	kumb1268	198
393	Kumbainggar	AND	j u r g a	kumb1268	198
394	Gunditjmara	AND	b aː	gund1249	1
395	Northern Inland Yui	AND	b oː n	nort2760	206
396	Kunggari	AND	d u	kung1258	209
397	Gupapuyngu	AND	g a	gupa1247	223
398	Gurindji	AND	p u r p u r	guri1247	185
399	Guugu Yimidhirr	AND	g a l m b a	gugu1255	222
400	Guyani	AND	c u d ɹ u	guya1249	213
401	Guyani	AND	p u n t u n a	guya1249	213
402	Guyani	AND	c u n p a n a l u	guya1249	213
403	Djiwarli	AND	c i b i	djiw1241	195
404	Kalkutung	AND	j a n a	kalk1246	193
405	Gamilaraay	AND	j i lː i b u	gami1243	212
406	Karadjeri	AND	p a	kara1476	211
408	Kariyarra	AND	m a ɹ a c i	kari1304	197
409	Kartujarra	AND	w i t u k a	kart1247	218
410	Gathang	AND	d i l l i ŋ	gath1234	208
411	Kaurna	AND	k u m a	kaur1267	201
412	Gugadj	AND	t̪ a ŋ k a ɹ a	guga1239	1
413	Kukatja	AND	k a m u	kuka1246	189
414	Kuku-Yalanji	AND	ŋ a r a	kuku1273	191
415	Kuungkari of Barcoo River	AND	m u n t̪ u	kuun1236	214
416	Gurdjar	AND	a r	gurd1238	191
417	Kuuku-Ya'u	AND	k u j i	kuuk1238	180
418	Kala Lagaw Ya	AND	a	kala1377	224
420	Martu Wangka	AND	k a	mart1256	223
421	Martu Wangka	AND	k aː	mart1256	223
423	Madhi Madhi	AND	b a	madh1244	1
425	Muruwari	AND	t̪ a k a	muru1266	207
426	Ngaanyatjarra	AND	k a	ngaa1240	223
427	Ngadjunmaya	AND	j a ŋ k a	ngad1258	219
428	Lower Riverland	AND	m eː t o	lowe1402	200
429	Lower Riverland	AND	m e t k o	lowe1402	200
430	Ngamini	AND	j a	ngam1284	225
431	Narrinyeri	AND	u ŋ e n a ŋ	narr1259	187
432	Nhanda	AND	k a l a	nhan1238	199
433	Nhirrpi	AND	k a r u	nhir1234	188
434	Mangala	AND	k a m p a c a	mang1383	192
435	Northern Coastal Nyangumarta	AND	p a	nort2754	211
436	Nyamal	AND	p a	nyam1271	1
437	Nyangumarta	AND	p a	nyan1301	211
438	Nyunga	AND	g u ɖ c i ɹ	nyun1247	190
439	Paakantyi	AND	ŋ a	darl1243	184
440	Panytyima	AND	k u n u	pany1241	203
441	Banggarla	AND	i n t o	bang1339	215
442	Bayungu	AND	c i b i	bayu1240	195
443	Pitjantjatjara	AND	m u n u	pitj1243	221
444	Ritarungo	AND	b i l i	rita1239	182
445	Dhalandji	AND	c i b i	dhal1245	195
446	Dhargari	AND	p a ɹ u	dhar1247	196
447	Umpila	AND	a l t̪ a j i	umpi1239	183
448	Wagaya	AND	p a	waga1260	211
450	Wangganguru	AND	c e n i a	wang1290	210
451	Wangganguru	AND	n c u ɖ u	wang1290	210
452	Pintiini	AND	p a	pint1251	211
453	Wanggamala	AND	m a t̪ u	wang1289	200
454	Wardandi	AND	g i d c i	ward1248	1
455	Warlmanpa	AND	k a p i	warl1255	186
456	Warlpiri	AND	m a n u	warl1254	221
457	Wanman	AND	k a m u	wanm1242	189
458	Wariyangga	AND	c i p i	wari1262	195
459	Warumungu	AND	k a m i	waru1265	189
460	Warumungu	AND	k a p i	waru1265	189
461	Wathawurrung	AND	b aː	wath1238	211
462	Wajuk	AND	g u d j i ɹ	waju1234	190
463	Wik-Mungkan	AND	a ʔ	wikm1247	224
464	Wiradhuri	AND	g a n̪ a ŋ	wira1262	217
465	Wirangu-Nauo	AND	b a	wira1260	211
466	Yagara	AND	ŋ a	yaga1262	184
467	Yan-nhangu	AND	g a	yann1237	223
468	Yandruwandha	AND	j a	yand1253	225
469	Yandruwandha	AND	ŋ a	yand1253	225
470	Yanyuwa	AND	k u l u	yany1243	194
471	Yawarawarga	AND	ŋ o k a	yawa1258	205
472	Yindjibarndi	AND	m u n d u	yind1247	214
474	Yulparitja	AND	k a m u	yulp1238	189
475	Yuwaalaraay	AND	g aː l a n̪ a	yuwa1242	216
#
960	Adnyamathanha	ASH	a ɖ ɭ a _ i m b a	adny1235	449
961	Aghu Tharnggalu	ASH	r i ə b ə ɹ	aghu1254	495
962	Alyawarr	ASH	e t n m e n t̪	alya1239	475
963	Andegerebinha	ASH	i kʷ e n c	ande1247	440
964	Arabana	ASH	p u d n̪ u	arab1267	445
965	Awabakal	ASH	b ɔ n i ŋ	awab1243	431
966	Badimaya	ASH	b u ɳ a ŋ g a	badi1246	1
967	Badjiri	ASH	b u ɭ i c i	badj1244	446
968	Yugambeh-Bandjalang	ASH	d i m a n	band1339	487
969	Yugambeh-Bandjalang	ASH	m u ɹ u h j n _ g	band1339	487
970	Yugambeh-Bandjalang	ASH	m u ɹ u j n _ c	band1339	487
971	Southern Maric	ASH	b u d̪ a	sout2765	446
972	Bilinara	ASH	b u n a	bili1250	445
973	Biri	ASH	b u w a n	biri1256	457
974	Birrpayi	ASH	p _ d t u l a ɹ a	birr1241	468
975	Bularnu	ASH	g u l i d a ŋ u	bula1255	476
976	Bunganditj	ASH	m o i ɹ a t	bung1264	471
977	Dhangu	ASH	g a n u ʔ	dhan1270	433
978	Thurawal	ASH	d u bː i l	thur1254	463
979	Dayi	ASH	g u ŋ u j u	dayi1244	451
980	Dhuwal	ASH	ɭ i r g i	dhuw1249	437
982	Dieri	ASH	p u t a	dier1241	446
983	Dyaabugay	ASH	b u l ŋ a n	dyaa1242	469
984	Djambarrpuyngu	ASH	g a n u ʔ	djam1256	437
985	Djapu	ASH	g a n u ʔ	djap1238	433
986	Djinang	ASH	g i b i l b a l	djin1253	436
987	Duungidjawu	ASH	n c u n	duun1241	478
988	Wadjigu	ASH	o ŋ o i t	wadj1255	500
989	Gamilaraay	ASH	g i r a n	gami1243	460
990	Gangulu	ASH	b u ŋ g a	gang1268	442
991	Kalali	ASH	b u c i	kala1380	446
992	Gureng Gureng	ASH	n oː n	gure1255	478
993	Gudjal	ASH	b u n b a	gudj1237	431
994	Gumatj	ASH	g a n u ʔ	guma1253	433
995	Kumbainggar	ASH	c u l aː r	kumb1268	474
996	Gunditjmara	ASH	p a l iː n	gund1249	1
997	Northern Inland Yui	ASH	d u n a ŋ	nort2760	464
998	Kunggari	ASH	b u d a ɹ a	kung1258	446
999	Gunya	ASH	b u d̪ a	guny1241	446
1000	Gupapuyngu	ASH	ɭ i r g i	gupa1247	437
1001	Gurindji	ASH	c a n i	guri1247	448
1002	Guugu Yimidhirr	ASH	w a m b o	gugu1255	1
1003	Guyani	ASH	d u l t a ɹ a	guya1249	455
1004	Sydney	ASH	d̪ u l a ɹ a	sydn1236	1
1005	Jaru	ASH	b a l g a ɹ a	jaru1254	502
1007	Djiwarli	ASH	ŋ a r i	djiw1241	472
1008	Walmajarri	ASH	c u n p u l	walm1241	462
1009	Kalkutung	ASH	p u m p a	kalk1246	431
1010	Gamilaraay	ASH	g i r a n	gami1243	460
1011	Karadjeri	ASH	p u l k a ɹ u	kara1476	441
1013	Kariyarra	ASH	m i r i n	kari1304	484
1015	Kartujarra	ASH	c u ɳ p a	kart1247	462
1016	Kaurna	ASH	b u ʈ a	kaur1267	446
1017	Kuku-Uwan	ASH	p u t̪ c a	kuku1280	446
1018	Gugadj	ASH	k u t̪ e r	guga1239	431
1019	Gugadj	ASH	k u t̪ e r	guga1239	431
1020	Kukatja	ASH	k a w a ɳ	kuka1246	502
1021	Kuku-Yalanji	ASH	n u l u	kuku1273	493
1023	Kuungkari of Barcoo River	ASH	p u t a ɹ a	kuun1236	446
1024	Kula (Australia)	ASH	p u l pː a	kula1275	439
1025	Kurrama	ASH	c i ʈ p a	kurr1243	496
1026	Gurdjar	ASH	n oː ŋ	gurd1238	491
1027	Kuuku-Ya'u	ASH	p u ɹ k a	kuuk1238	483
1028	Leningitij	ASH	i β i	leni1238	459
1029	Kala Lagaw Ya	ASH	t i b i	kala1377	435
1030	Kala Lagaw Ya	ASH	k u n a ɹ	kala1377	435
1031	Malgana	ASH	d̪ a l aː b a	malg1242	461
1032	Malngin	ASH	c a n i	maln1239	448
1033	Malyangapa	ASH	m a lː _ t̪ i l t a	maly1234	455
1036	Margany	ASH	b u d̪ a	marg1253	446
1037	Martu Wangka	ASH	c u ɳ p a	mart1256	462
1038	Madhi Madhi	ASH	p ɹ i n d i	madh1244	485
1039	Mayi-Kulan	ASH	t̪ a ɹ i k u t u	mayi1236	488
1040	Mayi-Kulan	ASH	t̪ a ɹ i k u t u	mayi1236	488
1041	Mbabaram	ASH	b u m b a	mbab1239	431
1042	Anguthimri	ASH	b u j i	angu1242	446
1043	Minjungbal	ASH	b oː l a ɹ e	minj1242	497
1044	Kalarko	ASH	k u c i j a	kala1379	431
1045	Mithaka	ASH	p u t̪ a	mith1236	446
1046	Mudburra	ASH	w u bː a	mudb1240	434
1048	Muruwari	ASH	p u t̪ a	muru1266	446
1049	Narungga	ASH	g a l a n d a	naru1238	450
1051	Ngaanyatjarra	ASH	t c u ɳ p a	ngaa1240	462
1052	Ngadjunmaya	ASH	k u d c u r u	ngad1258	431
1053	Lower Riverland	ASH	p u t k o	lowe1402	483
1054	Ngamini	ASH	t u ɹ p a	ngam1284	447
1055	Ngarigu	ASH	b ɹ i ɲ	ngar1297	485
1056	Ngarinman	ASH	l i ɲ a ɖ	ngar1235	452
1057	Ngarla	ASH	c u ɳ p a	ngar1296	499
1058	Ngarluma	ASH	m i r i ɲ	ngar1287	484
1059	Narrinyeri	ASH	w i r a c e	narr1259	458
1060	Ngawun	ASH	p u n a ɹ u	ngaw1240	445
1061	Ngawun	ASH	p u n a ɹ u	ngaw1240	445
1062	Ngiyambaa	ASH	n u mː u ɹ	ngiy1239	466
1063	Nhanda	ASH	oː ŋ a ɳ oː	nhan1238	494
1064	Nhirrpi	ASH	t̪ u r p a	nhir1234	447
1065	Mangala	ASH	c u ɳ p u l	mang1383	462
1066	Northern Coastal Nyangumarta	ASH	p u ɳ t a	nort2754	473
1067	Nyamal	ASH	c u n p a	nyam1271	462
1068	Nyangumarta	ASH	c u ɳ p a	nyan1301	462
1069	Nyunga	ASH	b u ŋ a	nyun1247	442
1070	Paakantyi	ASH	b a l b a	darl1243	439
1071	Pakanha	ASH	n̪ uː t a	paka1251	490
1072	Pakanha	ASH	t̪ u m a	paka1251	490
1073	Panytyima	ASH	ŋ a r i	pany1241	472
1074	Banggarla	ASH	m u r u	bang1339	444
1075	Bayungu	ASH	ŋ a r i	bayu1240	472
1076	Pintupi-Luritja	ASH	m iː n t i	pint1250	1
1077	Pintupi-Luritja	ASH	ŋ a m u r u	pint1250	1
1078	Pintupi-Luritja	ASH	p i ɹ i l j i	pint1250	1
1079	Pintupi-Luritja	ASH	p u r k u	pint1250	1
1080	Pitjantjatjara	ASH	t iː t iː	pitj1243	432
1081	Pitta Pitta	ASH	p u n̪ u	pitt1247	445
1082	Rirratjingu	ASH	g a n u ʔ	rirr1238	433
1083	Ritarungo	ASH	g a n u ʔ	rita1239	433
1084	Dhalandji	ASH	ŋ a r i	dhal1245	472
1085	Dhargari	ASH	c i w a	dhar1247	481
1086	Umpila	ASH	m u n t̪ a	umpi1239	489
1087	Wajarri	ASH	g u b a	waja1257	454
1088	Wagaya	ASH	n̪ a nː g u n̪ a nː g u	waga1260	470
1092	Wangganguru	ASH	d u l t a ɹ a	wang1290	455
1093	Pintiini	ASH	a ɭ t a	pint1251	449
1094	Wanggamala	ASH	m u ɭ u	wang1289	444
1095	Ngura	ASH	g i n d a	ngur1261	447
1097	Wardandi	ASH	ŋ w a b a	ward1248	1
1098	Warrgamay	ASH	ɽ u l m b u ɹ a	warr1255	498
1099	Warlmanpa	ASH	p u n a	warl1255	445
1100	Warlmanpa	ASH	w u pː a	warl1255	445
1101	Warlpiri	ASH	j a ɳ a n t i	warl1254	443
1102	Warluwara	ASH	ŋ a ɭ u p a r a	warl1256	479
1103	Wanman	ASH	c u ɳ p a	wanm1242	462
1104	Wariyangga	ASH	ŋ a r i	wari1262	472
1105	Warumungu	ASH	w u pː a	waru1265	434
1106	Warrungo	ASH	b u m b a	waru1264	431
1107	Wathawurrung	ASH	m a n a l	wath1238	456
1108	Wadiwadi	ASH	m i l a g i	wadi1249	1
1109	Wajuk	ASH	t a l p a	waju1234	461
1110	Western Arrarnta	ASH	i ɭ p m e ɲ e	west2441	475
