Subgroup	Language	GlossID	Gloss	PhonemecizedForm	CognateCode
Yuin-Kuri	Dharawal	188	1pl.incl	ɲulkang	25
Yuin-Kuri	Dhurga	188	1pl.incl	ngayawaɲ	1
Karnic	Diyari	188	1pl.incl	uldɹa	1
Yolngu	Djinang	188	1pl.incl	ŋilimi	18
Garrwan	Garrwa	188	1pl.incl	ŋampala	21
Bunuban	Gooniyandi	188	1pl.incl	yaʈi	39
Yolngu	Gumatj	188	1pl.incl	ŋilimur(u)	18
Maric	Gunggari	188	1pl.incl	ŋalinta	18
Yolngu	Gupapuyngu	188	1pl.incl	ŋalimuru	18
Ngumpin-Yapa	Gurindji	188	1pl.incl	ŋantipa	15
Kanyara-Mantharta	Jiwarli	188	1pl.incl	ŋan̪t̪uru	24
Paman	Kaanju	188	1pl.incl	ŋampula	21
Marrngu	Karajarri	188	1pl.incl	ŋaɲcuru	2
Wati	Kartujarra	188	1pl.incl	ŋayutinpula	9
Paman	Kuku Yalanji	188	1pl.incl	ŋana	7
Paman	Kuku-Wura	188	1pl.incl	lipal	21
Paman	Kuuk Thaayorre	188	1pl.incl	ŋamp ~ ŋampl-	21
Paman	Linngithigh	188	1pl.incl	puy	21
Wati	Martu Wangka	188	1pl.incl	lampa	22
Karnic	Ngamini	188	1pl.incl	ŋaɲuɹu	1
Wororan	Ngarinyin	188	1pl.incl	ŋarun	14
Ngayarta	Ngarla	188	1pl.incl	ŋaɲcara	4
Ngayarta	Ngarluma	188	1pl.incl	ŋalikuɹu	6
Kartu	Nhanta	188	1pl.incl	ŋan̪u	24
Paman	Ntra’ngith	188	1pl.incl	mpuy	21
Marrngu	Nyangumarta	188	1pl.incl	ŋaɲcuru	4
Eastern Nyulnyulan	Nyikina	188	1pl.incl	yaɹʈyu	39
Western Nyulnyulan	Nyulnyul	188	1pl.incl	yatir	39
Kanyara-Mantharta	Payungu	188	1pl.incl	ŋan̪uru	24
Yolngu	Ritharrngu	188	1pl.incl	ŋalimalaŋu	18
Kanyara-Mantharta	Thalanyji	188	1pl.incl	ŋan̪uru	24
Paman	Umpila	188	1pl.incl	ŋampula	21
Paman	Uradhi	188	1pl.incl	ampula	21
Paman	Uw Oykangand	188	1pl.incl	ampul	21
Garrwan	Waanyi	188	1pl.incl	ŋampa(la)	21
Warluwaric	Wakaya	188	1pl.incl	ŋampel (pl.)	18
Ngumpin-Yapa	Warlmanpa	188	1pl.incl	ŋayu (-lpa-(lu))	27
Ngumpin-Yapa	Warlpiri	188	1pl.incl	ŋanimpa	5
Warluwaric	Warluwarra	188	1pl.incl	ŋapala	21
Wati	Warnman	188	1pl.incl	parawaʈa	28
Kanyara-Mantharta	Warriyangga	188	1pl.incl	ŋan̪ura	24
Kulin	Wemba-Wemba	188	1pl.incl	yaŋuɹein	10
Central NSW	Wiradjuri	188	1pl.incl	ŋiyani-kin-Guna	19
Wororan	Worrorra	188	1pl.incl	ŋari	14
Wororan	Wunambal	188	1pl.incl	naŋaɹa	14
Warluwaric	Yanyuwa	188	1pl.incl	ŋampala	21
Eastern Nyulnyulan	Yawuru	188	1pl.incl	yatiɹi	39
Paman	Yir Yoront	188	1pl.incl	ŋopol	21
Wati	Yulparija	188	1pl.incl	ŋayuʈi	9
Thura-Yura	Adnyamathanha	85	1sg	ŋie	1
Paman	Aghu-Tharrnggala	85	1sg	yaw	12
Arandic	Alyawarr	85	1sg	ayəŋ	1
Arandic	Antekerrepenhe	85	1sg	t̪e	1
Karnic	Arabana	85	1sg	st̪anna	12
Western Nyulnyulan	Bardi	85	1sg	ŋayu ~ ŋay	1
Waka-Kabi	Batyala	85	1sg	ŋay	3
Ngumpin-Yapa	Bilinarra	85	1sg	ŋayi	1
Maric	Biri	85	1sg	nia	1
Arandic	Central Anmatyerr	85	1sg	ayiŋe	1
Gunwinyguan	Dalabon	85	1sg	ŋey	8
Yuin-Kuri	Darkinyung	85	1sg	ŋaya	21
Yolngu	Dhangu	85	1sg	ŋaya	8
Yuin-Kuri	Dharawal	85	1sg	yun-di-ngai	1
Maric	Dharawala	85	1sg	ŋaya	1
Yuin-Kuri	Dharuk	85	1sg	ŋaya	1
Maric	Dharumbal	85	1sg	ŋat̪a	3
Yuin-Kuri	Dhurga	85	1sg	ngayaka	1
Karnic	Diyari	85	1sg	ŋani	12
Paman	Djabugay	85	1sg	ŋawuŋku	1
Yolngu	Djinang	85	1sg	ŋari	8
Waka-Kabi	Duungidjawu	85	1sg	ŋay	1
Dyirbalic	Dyirbal	85	1sg	ŋaca	3
Central NSW	Gamilaraay	85	1sg	ŋunna	1
Maric	Gangulu	85	1sg	ngia	1
Garrwan	Garrwa	85	1sg	ŋayu	1
Bandjalangic	Githabul	85	1sg	ŋay	3
Yolngu	Golpa	85	1sg	ŋara	8
Bunuban	Gooniyandi	85	1sg	ŋaɲi	12
Maric	Gugu-Badhun	85	1sg	ŋɑyɑ	19
Yolngu	Gumatj	85	1sg	ŋarapi	8
Gumbaynggiric	Gumbaynggir	85	1sg	ŋiːna	1
Maric	Gunggari	85	1sg	ŋaya	1
Yolngu	Gupapuyngu	85	1sg	ŋarapi	8
Ngumpin-Yapa	Gurindji	85	1sg	ŋayu	1
Thura-Yura	Guyani	85	1sg	ŋie	1
Paman	Ikarranggal	85	1sg	ayu	3
Jaminjungan	Jaminjung	85	1sg	ŋayuk	1
Ngumpin-Yapa	Jaru	85	1sg	ŋacu	3
Gunwinyguan	Jawoyn	85	1sg	ŋark	8
Kanyara-Mantharta	Jiwarli	85	1sg	ŋat̪a	3
Paman	Kaanju	85	1sg	ŋayu ~ ŋaya	1
Kalkatungic	Kalkatungu	85	1sg	ŋayi	1
Marrngu	Karajarri	85	1sg	ŋacu kaniɲ	3
Ngayarta	Kariyarra	85	1sg	ŋayi	3
Wati	Kartujarra	85	1sg	ŋayu	1
Thura-Yura	Kaurna	85	1sg	ŋayi	1
Arandic	Kaytetye	85	1sg	alchi-inga	31
Paman	Koko-Bera	85	1sg	ŋéɲəluw	12
NorthernIsolate	Kukatj	85	1sg	ŋyaːnpen̪	28
Paman	Kuku Yalanji	85	1sg	ŋio	12
Paman	Kuku-Wura	85	1sg	ni	3
Karnic	Kungadutyi	85	1sg	ŋat̪u	3
Paman	Kunjen	85	1sg	y	1
Ngayarta	Kurrama	85	1sg	ŋayi	3
Paman	Kuuk Thaayorre	85	1sg	ŋay	1
Paman	Kuuku-Ya’u	85	1sg	ŋayu	1
Paman	Linngithigh	85	1sg	nin̪	12
Kartu	Malgana	85	1sg	ŋaca	3
Yardli	Malyangapa	85	1sg	upa	10
Maric	Margany	85	1sg	ŋaya	19
Wati	Martu Wangka	85	1sg	ŋayu	1
Kulin	Mathi-Mathi	85	1sg	yiti	26
Mayi	Mayi-Kulan	85	1sg	ŋayi	1
Mayi	Mayi-Yapi	85	1sg	ŋio	1
Paman	Mbabaram	85	1sg	y3	1
Mirniny	Mirniny	85	1sg	ŋacu	3
Karnic	Mithaka	85	1sg	ŋatu	12
Ngumpin-Yapa	Mudburra	85	1sg	ŋayi	1
Muruwaric	Muruwari	85	1sg	ŋat̪u	3
Thura-Yura	Narrungga	85	1sg	ŋayi	1
Karnic	Ngamini	85	1sg	ŋati	12
Wororan	Ngarinyin	85	1sg	ŋin	1
Ngumpin-Yapa	Ngarinyman	85	1sg	ŋayi	1
Ngayarta	Ngarla	85	1sg	ŋuaŋuna	3
Ngayarta	Ngarluma	85	1sg	ŋita	3
Lower Murray	Ngarrindjeri	85	1sg	ŋat̪a	12
Central NSW	Ngiyambaa	85	1sg	ŋat̪u	3
Kartu	Nhanta	85	1sg	ŋayi	1
Paman	Ntra’ngith	85	1sg	pim	12
Thura-Yura	Nukunu	85	1sg	ŋayi	19
Marrngu	Nyangumarta	85	1sg	ŋacu‑	3
Eastern Nyulnyulan	Nyikina	85	1sg	ŋayu	1
Western Nyulnyulan	Nyulnyul	85	1sg	ŋay	1
Paakantyi	Paakantyi	85	1sg	–ayi	3
Paman	Pakanh	85	1sg	ŋaya	1
Ngayarta	Panyjima	85	1sg	ŋacu	3
Thura-Yura	Parnkala	85	1sg	ŋayi	1
Kanyara-Mantharta	Payungu	85	1sg	ŋat̪a	3
Wati	Pintupi-Luritja	85	1sg	ŋayuɲa/lu	1
Karnic	Pitta-Pitta	85	1sg	ŋat̪u	12
Lower Murray	Pytu Reach	85	1sg	ŋat̪a	12
Yolngu	Ritharrngu	85	1sg	ŋaran̪a	8
Kanyara-Mantharta	Thalanyji	85	1sg	ŋat̪a	3
Yuin-Kuri	Thanggati	85	1sg	ŋaya	1
Kanyara-Mantharta	Tharrgari	85	1sg	ŋatla	3
Paman	Umpila	85	1sg	ŋayu	3
Paman	Uradhi	85	1sg	ayu(βa)	1
Paman	Uw Oykangand	85	1sg	at̪un	3
Garrwan	Waanyi	85	1sg	ŋawu ~ ŋawici	1
Kartu	Wajarri	85	1sg	ŋaca	3
Warluwaric	Wakaya	85	1sg	ŋuɳiɲc	24
Karnic	Wangkumara	85	1sg	ŋaɲca(ni)	19
Nyungar	Wardandi	85	1sg	ŋic	12
Dyirbalic	Wargamay	85	1sg	ŋaypa	3
Ngumpin-Yapa	Warlmanpa	85	1sg	ŋayu	1
Ngumpin-Yapa	Warlpiri	85	1sg	ŋacu(lu)	3
Wati	Warnman	85	1sg	para	39
Kanyara-Mantharta	Warriyangga	85	1sg	ŋatla	3
Warumungic	Warumungu	85	1sg	aɳi	12
Maric	Warungu	85	1sg	ŋaya	27
Nyungar	Watjuk	85	1sg	ngika	20
Kulin	Wemba-Wemba	85	1sg	ŋaitch	3
Arandic	Western Arrarnta	85	1sg	yiŋa	1
Paman	Wik-Ngathan	85	1sg	ŋay	1
Central NSW	Wiradjuri	85	1sg	ŋuwat̪u	3
Thura-Yura	Wirangu	85	1sg	ŋunna	12
Wororan	Worrorra	85	1sg	ŋayu	1
Gunwinyguan	Wubuy	85	1sg	=w ald̪a	47
Wororan	Wunambal	85	1sg	ˈŋɑyɑ	1
Kalkatungic	Yalarnnga	85	1sg	ŋiya	1
Karnic	Yandruwandha	85	1sg	ŋat̪u	12
Warluwaric	Yanyuwa	85	1sg	ŋaɳa	19
Karnic	Yarluyandi	85	1sg	ŋan̪a	12
Eastern Nyulnyulan	Yawuru	85	1sg	ŋayu	1
Paman	Yidiny	85	1sg	ŋayu	12
Ngayarta	Yindjibarndi	85	1sg	ŋayu	3
Kartu	Yingkarta	85	1sg	ŋayu	3
Paman	Yir Yoront	85	1sg	ŋoyo	1
Yotayotic	Yorta Yorta	85	1sg	ŋat̪a	1
Wati	Yulparija	85	1sg	ŋayu	1
Central NSW	Yuwaalaraay	85	1sg	ŋaya	23
Thura-Yura	Adnyamathanha	203	2pl	ŋaɭapan̪a	2
Paman	Aghu-Tharrnggala	203	2pl	ruv	2
Arandic	Alyawarr	203	2pl	ariŋkər	2
Arandic	Antekerrepenhe	203	2pl	ar	2
Western Nyulnyulan	Bardi	203	2pl	cukara	42
Paman	Barrow Point	203	2pl	ure	2
Waka-Kabi	Batyala	203	2pl	ŋupu	12
Ngumpin-Yapa	Bilinarra	203	2pl	ɲurulu	2
Gunwinyguan	Dalabon	203	2pl	nol	46
Yuin-Kuri	Darkinyung	203	2pl	ŋintikaŋ	26
Yolngu	Dhangu	203	2pl	ɲiːliɲ	8
Yuin-Kuri	Dharawal	203	2pl	ɲiɹkang	2
Yuin-Kuri	Dharuk	203	2pl	ŋintu	14
Yuin-Kuri	Dhurga	203	2pl	ɲintiwan	14
Karnic	Diyari	203	2pl	yura	2
Paman	Djabugay	203	2pl	ɲurampa	2
Yolngu	Djinang	203	2pl	ɲumi	10
Waka-Kabi	Duungidjawu	203	2pl	ŋuweː(me)	5
Dyirbalic	Dyirbal	203	2pl	ɲuray	2
Central NSW	Gamilaraay	203	2pl	ŋintaːy	14
Garrwan	Garrwa	203	2pl	nari	35
Yolngu	Golpa	203	2pl	n̪uɹulli -- n̪uɹuli -- n̪uruli	2
Bunuban	Gooniyandi	203	2pl	kiti	43
Maric	Gugu-Badhun	203	2pl	yuɹa	2
Yolngu	Gumatj	203	2pl	n̪uma	7
Maric	Gunggari	203	2pl	yura	2
Yolngu	Gupapuyngu	203	2pl	n̪umapi	7
Ngumpin-Yapa	Gurindji	203	2pl	ɲurulu	2
Paman	Ikarranggal	203	2pl	ura	2
Jaminjungan	Jaminjung	203	2pl	kuri	45
Ngumpin-Yapa	Jaru	203	2pl	ncuɹa	20
Kanyara-Mantharta	Jiwarli	203	2pl	n̪ura	2
Paman	Kaanju	203	2pl	ŋuʔula	2
Kalkatungic	Kalkatungu	203	2pl	ɲunkun̪a	2
Marrngu	Karajarri	203	2pl	ɲura	2
Wati	Kartujarra	203	2pl	ɲuntutin	6
Thura-Yura	Kaurna	203	2pl	naːlica	18
Arandic	Kaytetye	203	2pl	erwewaŋk-erwewaŋke	39
Paman	Koko-Bera	203	2pl	yur	2
NorthernIsolate	Kukatj	203	2pl	yiɹmp(el)	2
Wati	Kukatja	203	2pl	ɲuran(pa)	2
Paman	Kuku Yalanji	203	2pl	yura	2
Paman	Kuku-Wura	203	2pl	urwa	2
Karnic	Kungadutyi	203	2pl	yura	2
Paman	Kunjen	203	2pl	ir3	2
Ngayarta	Kurrama	203	2pl	ɲintawuː	4
Paman	Kuuk Thaayorre	203	2pl	n̪ur	2
Paman	Linngithigh	203	2pl	iɹæ	2
Kartu	Malgana	203	2pl	n̪uɹa	2
Maric	Margany	203	2pl	ita	14
Wati	Martu Wangka	203	2pl	ɲuraʈin	2
Mayi	Mayi-Kulan	203	2pl	yara	2
Mayi	Mayi-Yapi	203	2pl	yara	2
Mirniny	Mirniny	203	2pl	ŋuɳtuŋari	33
Karnic	Mithaka	203	2pl	yuɹa	2
Muruwaric	Muruwari	203	2pl	n̪uɹa	2
Thura-Yura	Narrungga	203	2pl	n̪a	18
Karnic	Ngamini	203	2pl	yuɹuwaɹa	2
Wororan	Ngarinyin	203	2pl	nurun	2
Ngayarta	Ngarla	203	2pl	ɲura	2
Ngayarta	Ngarluma	203	2pl	ɲintakuɹu	4
Lower Murray	Ngarrindjeri	203	2pl	ŋune	7
Central NSW	Ngiyambaa	203	2pl	ŋintakal	21
Kartu	Nhanta	203	2pl	n̪ura	2
Paman	Ntra’ngith	203	2pl	oɹwæ	37
Marrngu	Nyangumarta	203	2pl	ɲura	2
Eastern Nyulnyulan	Nyikina	203	2pl	waɹa-	42
Western Nyulnyulan	Nyulnyul	203	2pl	waɹa-	42
Paakantyi	Paakantyi	203	2pl	ŋuʈa	11
Paman	Pakanh	203	2pl	nuya	36
Thura-Yura	Parnkala	203	2pl	nuɹalli	2
Kanyara-Mantharta	Payungu	203	2pl	n̪ura	2
Wati	Pintupi-Luritja	203	2pl	ɲuraŋari	2
Karnic	Pitta-Pitta	203	2pl	n̪ura	2
Yolngu	Ritharrngu	203	2pl	n̪umalan̪a	7
Kanyara-Mantharta	Thalanyji	203	2pl	n̪ura	2
Kanyara-Mantharta	Tharrgari	203	2pl	n̪ura	2
Paman	Umpila	203	2pl	ŋuʔula	2
Paman	Uradhi	203	2pl	ipu(la)	1
Paman	Uw Oykangand	203	2pl	ur	2
Garrwan	Waanyi	203	2pl	nari	35
Warluwaric	Wakaya	203	2pl	ir	2
Wati	Wangkajunga	203	2pl	ya/-ya/-yan	2
Karnic	Wangkumara	203	2pl	yura	2
Dyirbalic	Wargamay	203	2pl	ɲura	2
Ngumpin-Yapa	Warlmanpa	203	2pl	ɲuntu (-nkulu)	6
Ngumpin-Yapa	Warlpiri	203	2pl	ɲurula	2
Wati	Warnman	203	2pl	paraŋkuwaʈa	27
Kanyara-Mantharta	Warriyangga	203	2pl	n̪ura-kaɹa	2
Warumungic	Warumungu	203	2pl	aku_l-apːa	17
Maric	Warungu	203	2pl	yura	2
Kulin	Wemba-Wemba	203	2pl	ŋutein	2
Paman	Wik-Ngathan	203	2pl	n̪iy	34
Central NSW	Wiradjuri	203	2pl	ŋiɲal-kiɹ	14
Thura-Yura	Wirangu	203	2pl	ɲura	19
Wororan	Worrorra	203	2pl	ɲitka	2
Wororan	Wunambal	203	2pl	nura (V)	2
Kalkatungic	Yalarnnga	203	2pl	n̪aɭa	24
Karnic	Yandruwandha	203	2pl	yura	2
Warluwaric	Yanyuwa	203	2pl	yiru	2
Karnic	Yarluyandi	203	2pl	yura	2
Eastern Nyulnyulan	Yawuru	203	2pl	waɹa-	42
Ngayarta	Yindjibarndi	203	2pl	ɲintaʔuw	4
Kartu	Yingkarta	203	2pl	n̪uraŋu	2
Paman	Yir Yoront	203	2pl	n̪epl	16
Yotayotic	Yorta Yorta	203	2pl	n̪urak	2
Wati	Yulparija	203	2pl	ɲuntuʈi	6
Thura-Yura	Adnyamathanha	173	2sg	nina	4
Paman	Aghu-Tharrnggala	173	2sg	niw	7
Arandic	Alyawarr	173	2sg	ŋən̪	33
Arandic	Antekerrepenhe	173	2sg	unte	33
Karnic	Arabana	173	2sg	untu	21
Paman	Ayapathu	173	2sg	n̪inta	3
Kartu	Badimaya	173	2sg	n̪uɹami	20
Western Nyulnyulan	Bardi	173	2sg	cu	44
Waka-Kabi	Batyala	173	2sg	ŋin	16
Ngumpin-Yapa	Bilinarra	173	2sg	ɲuntu	2
Maric	Biri	173	2sg	yinda	3
Bunuban	Bunuba	173	2sg	ŋinci	16
Maningrida	Burarra	173	2sg	ŋiɲipa	8
Arandic	Central Anmatyerr	173	2sg	untwe	4
Yuin-Kuri	Darkinyung	173	2sg	ŋinti	16
Yolngu	Dhangu	173	2sg	n̪unu	4
Yuin-Kuri	Dharawal	173	2sg	ɲintikang	3
Maric	Dharawala	173	2sg	yinta	3
Yuin-Kuri	Dharuk	173	2sg	ŋyíndi [WOODS]	3
Maric	Dharumbal	173	2sg	ŋinta	16
Yuin-Kuri	Dhurga	173	2sg	ɲindika	16
Karnic	Diyari	173	2sg	yoːndɹoː	4
Paman	Djabugay	173	2sg	ɲurampa	20
Yolngu	Djinang	173	2sg	ɲuni	4
Waka-Kabi	Duungidjawu	173	2sg	ŋin	16
Dyirbalic	Dyirbal	173	2sg	ŋinuna	16
Central NSW	Gamilaraay	173	2sg	ŋinun̪a	3
Maric	Gangulu	173	2sg	inda	3
Garrwan	Garrwa	173	2sg	nuru	3
Bunuban	Gooniyandi	173	2sg	ŋiɲci	16
Maric	Gugu-Badhun	173	2sg	yintɑ	3
Yolngu	Gumatj	173	2sg	n̪iː	8
Gumbaynggiric	Gumbaynggir	173	2sg	ŋiːnta	16
Yolngu	Gupapuyngu	173	2sg	n̪una	8
Ngumpin-Yapa	Gurindji	173	2sg	woːɹoː	2
Thura-Yura	Guyani	173	2sg	nuntu	4
Paman	Ikarranggal	173	2sg	inu	7
Ngumpin-Yapa	Jaru	173	2sg	ɲuntu	2
Gunwinyguan	Jawoyn	173	2sg	ŋiyn-	4
Kanyara-Mantharta	Jiwarli	173	2sg	n̪ura	20
Paman	Kaanju	173	2sg	ŋuna	12
Kalkatungic	Kalkatungu	173	2sg	ɲun-	4
Marrngu	Karajarri	173	2sg	ɲura	2
Ngayarta	Kariyarra	173	2sg	ɲinta	3
Wati	Kartujarra	173	2sg	ɲuntu	2
Thura-Yura	Kaurna	173	2sg	ŋuɭo	19
Arandic	Kaytetye	173	2sg	inkiɭa	4
Paman	Koko-Bera	173	2sg	yen	4
NorthernIsolate	Kukatj	173	2sg	yiɹmpen̪	3
Wati	Kukatja	173	2sg	ŋalu	6
Paman	Kuku Yalanji	173	2sg	yuntu	2
Paman	Kuku-Wura	173	2sg	ndo	3
Karnic	Kungadutyi	173	2sg	yinti	7
Paman	Kunjen	173	2sg	inun	7
Ngayarta	Kurrama	173	2sg	ŋune	3
Paman	Kuuk Thaayorre	173	2sg	n̪unt	3
Paman	Kuuku-Ya’u	173	2sg	ŋunu	12
Paman	Linngithigh	173	2sg	tɹu; (nɹu)	3
Kartu	Malgana	173	2sg	ɲinta	3
Yardli	Malyangapa	173	2sg	yine	9
Maric	Margany	173	2sg	inta	3
Wati	Martu Wangka	173	2sg	ŋku	2
Kulin	Mathi-Mathi	173	2sg	ŋinti	16
Mayi	Mayi-Kulan	173	2sg	yuntuyn	2
Mayi	Mayi-Yapi	173	2sg	yuntu	2
Paman	Mbabaram	173	2sg	nt3	3
Mirniny	Mirniny	173	2sg	ŋuɳtu-n̪a	18
Karnic	Mithaka	173	2sg	yundu	4
Ngumpin-Yapa	Mudburra	173	2sg	ɲuntu	2
Muruwaric	Muruwari	173	2sg	ŋintu	3
Thura-Yura	Narrungga	173	2sg	ninni	4
Karnic	Ngamini	173	2sg	yundɹu	4
Ngayarta	Ngarla	173	2sg	yinta	3
Ngayarta	Ngarluma	173	2sg	yenco ant yeːnta	3
Lower Murray	Ngarrindjeri	173	2sg	ŋunuk	26
Central NSW	Ngiyambaa	173	2sg	ŋinuː	16
Kartu	Nhanta	173	2sg	yini	4
Paman	Ntra’ngith	173	2sg	ntɹu	3
Thura-Yura	Nukunu	173	2sg	n̪iːna	4
Marrngu	Nyangumarta	173	2sg	ɲuntu waɹaca	2
Eastern Nyulnyulan	Nyikina	173	2sg	waɹa-	44
Western Nyulnyulan	Nyulnyul	173	2sg	waɹa-	44
Paakantyi	Paakantyi	173	2sg	ŋuma	9
Paman	Pakanh	173	2sg	ninta	3
Ngayarta	Panyjima	173	2sg	ɲinta	3
Thura-Yura	Parnkala	173	2sg	ŋuna	4
Kanyara-Mantharta	Payungu	173	2sg	ɲinta	3
Wati	Pintupi-Luritja	173	2sg	ɲuraɲa	2
Karnic	Pitta-Pitta	173	2sg	yinpa	4
Lower Murray	Pytu Reach	173	2sg	ŋunuk	16
Yolngu	Ritharrngu	173	2sg	n̪una	8
Kanyara-Mantharta	Thalanyji	173	2sg	ɲinta	3
Yuin-Kuri	Thanggati	173	2sg	ɲinta puɹaːl	3
Kanyara-Mantharta	Tharrgari	173	2sg	n̪ura	20
Paman	Umpila	173	2sg	ŋunu	12
Paman	Uradhi	173	2sg	eⁿdouva	3
Paman	Uw Oykangand	173	2sg	inun	7
Garrwan	Waanyi	173	2sg	niɲa	3
Kartu	Wajarri	173	2sg	ɲinta	3
Warluwaric	Wakaya	173	2sg	intap	9
Karnic	Wangkumara	173	2sg	yundo	4
Nyungar	Wardandi	173	2sg	yinna	8
Dyirbalic	Wargamay	173	2sg	ŋinpa	16
Ngumpin-Yapa	Warlmanpa	173	2sg	ɲuntu (-n(ku))	2
Ngumpin-Yapa	Warlpiri	173	2sg	ɲuruɭa	11
Wati	Warnman	173	2sg	paraŋku	15
Kanyara-Mantharta	Warriyangga	173	2sg	n̪ura	20
Warumungic	Warumungu	173	2sg	aŋki	17
Maric	Warungu	173	2sg	yuna	3
Nyungar	Watjuk	173	2sg	nunda	2
Kulin	Wemba-Wemba	173	2sg	ŋintin	16
Paman	Wik-Ngathan	173	2sg	n̪unt	3
Central NSW	Wiradjuri	173	2sg	ŋiyantu	3
Thura-Yura	Wirangu	173	2sg	cana	23
Wororan	Worrorra	173	2sg	ŋuɲcu	47
Wororan	Wunambal	173	2sg	ˈnɑ	48
Kalkatungic	Yalarnnga	173	2sg	nowa	30
Karnic	Yandruwandha	173	2sg	yundɹu	4
Warluwaric	Yanyuwa	173	2sg	yinta	3
Karnic	Yarluyandi	173	2sg	yini	4
Eastern Nyulnyulan	Yawuru	173	2sg	waɹa-	44
Paman	Yidiny	173	2sg	ɲuntu	2
Ngayarta	Yindjibarndi	173	2sg	ɲinta	3
Kartu	Yingkarta	173	2sg	ŋunta	3
Paman	Yir Yoront	173	2sg	n̪oto	27
