ID	DOCULECT	GLOTTOCODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	ASJP1	id	svmCC	lpCC
56	Gurdjar	gurd1238	ABOVE		ŋkaːɖ	ŋ k aː ɖ	N k a d	N K V T	N K A T	ABOVE:32	32	Nkad	28	ABOVE:35	9
57	Gurdjar	gurd1238	ABOVE		ŋkaɖijaŋ	ŋ k a ɖ i j a ŋ	N k a d i y a N	N K V T V J V N	N K A T I J A N	ABOVE:32	32	NkadiyaN	29	ABOVE:34	9
59	Kala Lagaw Ya	kala1377	ABOVE		gimal	g i m a l	g i m a l	K V M V R	K I M A L	ABOVE:57	57	gimal	30	ABOVE:33	14
64	Martu Wangka	mart1256	ABOVE		kanka	k a n k a	k a n k a	K V N K V	K A N K A	ABOVE:34	34	kanka	31	ABOVE:4	1
68	Mudburra	mudb1240	ABOVE		dimbu	d i m b u	d i m b u	T V M P V	T I M P Y	ABOVE:23	23	dimbu	32	ABOVE:32	17
70	Muruwari	muru1266	ABOVE		karanta	k a r a n t a	k a r a n t a	K V R V N T V	K A R A N T A	ABOVE:49	49	karanta	33	ABOVE:31	18
72	Ngaanyatjarra	ngaa1240	ABOVE		kankaɹara	k a n k a ɹ a r a	k a n k a r a r a	K V N K V R V R V	K A N K A R A R A	ABOVE:34	34	kankarara	34	ABOVE:1	1
75	Ngamini	ngam1284	ABOVE		kuɹumu	k u ɹ u m u	k u r u m u	K V R V M V	K Y R Y M Y	ABOVE:24	24	kurumu	35	ABOVE:30	19
77	Ngarinman	ngar1235	ABOVE		dalwir	d a l w i r	d a l w i r	T V R W V R	T A L W I R	ABOVE:1	1	dalwir	36	ABOVE:29	2
79	Ngarluma	ngar1287	ABOVE		gankanmani	g a n k a n m a n i	g a n k a n m a n i	K V N K V N M V N V	K A N K A N M A N I	ABOVE:34	34	gankanmani	37	ABOVE:28	1
80	Narrinyeri	narr1259	ABOVE		t̪alwulda	t̪ a l w u l d a	t a l w u l d a	T V R W V R T V	T A L W Y L T A	ABOVE:25	25	talwulda	38	ABOVE:27	2
85	Northern Coastal Nyangumarta	nort2754	ABOVE		kanka	k a n k a	k a n k a	K V N K V	K A N K A	ABOVE:34	34	kanka	39	ABOVE:4	1
86	Nyamal	nyam1271	ABOVE		kankaɭa	k a n k a ɭ a	k a n k a L a	K V N K V R V	K A N K A L A	ABOVE:34	34	kankaLa	40	ABOVE:1	1
87	Nyangumarta	nyan1301	ABOVE		kanka	k a n k a	k a n k a	K V N K V	K A N K A	ABOVE:34	34	kanka	41	ABOVE:4	1
88	Nyunga	nyun1247	ABOVE		jeaɹeɹ	j e a ɹ e ɹ	y e a r e r	J V V R V R	J E A R E R	ABOVE:1	1	yearer	42	ABOVE:26	21
91	Panytyima	pany1241	ABOVE		kankala	k a n k a l a	k a n k a l a	K V N K V R V	K A N K A L A	ABOVE:34	34	kankala	43	ABOVE:1	1
92	Banggarla	bang1339	ABOVE		kakːanːaɹa	k a kː a nː a ɹ a	k a k a n a r a	K V K V N V R V	K A K A N A R A	ABOVE:34	34	kakanara	44	ABOVE:25	7
93	Bayungu	bayu1240	ABOVE		kankaɹa	k a n k a ɹ a	k a n k a r a	K V N K V R V	K A N K A R A	ABOVE:34	34	kankara	45	ABOVE:1	1
96	Pitjantjatjara	pitj1243	ABOVE		katu	k a t u	k a t u	K V T V	K A T Y	ABOVE:55	55	katu	46	ABOVE:24	22
97	Pitta Pitta	pitt1247	ABOVE		jakiɭi_ŋalpa	j a k i ɭ i ŋ a l p a	y a k i L i N a l p a	J V K V R V N V R P V	J A K I L I N A L P A	ABOVE:40	40	yakiLiNalpa	47	ABOVE:23	23
99	Ritarungo	rita1239	ABOVE		garwaɹ	g a r w a ɹ	g a r w a r	K V R W V R	K A R W A R	ABOVE:56	56	garwar	48	ABOVE:2	2
100	Dhalandji	dhal1245	ABOVE		kankaɹa	k a n k a ɹ a	k a n k a r a	K V N K V R V	K A N K A R A	ABOVE:34	34	kankara	49	ABOVE:1	1
101	Dhargari	dhar1247	ABOVE		jiraɹa	j i r a ɹ a	y i r a r a	J V R V R V	J I R A R A	ABOVE:31	31	yirara	50	ABOVE:3	3
104	Wagaya	waga1260	ABOVE		jupantu	j u p a n t u	y u p a n t u	J V P V N T V	J Y P A N T Y	ABOVE:33	33	yupantu	51	ABOVE:22	24
105	Wagaya	waga1260	ABOVE		kinkaɭ	k i n k a ɭ	k i n k a L	K V N K V R	K I N K A L	ABOVE:33	33	kinkaL	52	ABOVE:21	1
106	Wagaya	waga1260	ABOVE		cemantuɹu	c e m a n t u ɹ u	T e m a n t u r u	K V M V N T V R V	C E M A N T Y R Y	ABOVE:33	33	Temanturu	53	ABOVE:20	30
112	Ngura	ngur1261	ABOVE		piʈabada	p i ʈ a b a d a	p i t a b a d a	P V T V P V T V	P I T A P A T A	ABOVE:38	38	pitabada	54	ABOVE:19	20
115	Warlpiri	warl1254	ABOVE		kankaɭaɳi	k a n k a ɭ a ɳ i	k a n k a L a n i	K V N K V R V N V	K A N K A L A N I	ABOVE:34	34	kankaLani	55	ABOVE:1	1
117	Wanman	wanm1242	ABOVE		kankaɳi	k a n k a ɳ i	k a n k a n i	K V N K V N V	K A N K A N I	ABOVE:34	34	kankani	56	ABOVE:1	1
118	Wariyangga	wari1262	ABOVE		jiraɹa	j i r a ɹ a	y i r a r a	J V R V R V	J I R A R A	ABOVE:1	1	yirara	57	ABOVE:3	3
119	Warumungu	waru1265	ABOVE		aʈtinci	a ʈ t i n c i	a t t i n T i	V T T V N K V	A T T I N C I	ABOVE:19	19	attinTi	58	ABOVE:18	25
121	Wathawurrung	wath1238	ABOVE		kobaŋi	k o b a ŋ i	k o b a N i	K V P V N V	K U P A N I	ABOVE:47	47	kobaNi	59	ABOVE:17	6
122	Wathawurrung	wath1238	ABOVE		kombaba	k o m b a b a	k o m b a b a	K V M P V P V	K U M P A P A	ABOVE:47	47	kombaba	60	ABOVE:16	6
124	Wik-Mungkan	wikm1247	ABOVE		woɲam	w o ɲ a m	w o H a m	W V N V M	W U N A M	ABOVE:1	1	woNam	61	ABOVE:15	26
125	Wiradhuri	wira1262	ABOVE		birabaŋ	b i r a b a ŋ	b i r a b a N	P V R V P V N	P I R A P A N	ABOVE:30	30	birabaN	62	ABOVE:14	27
126	Wirangu-Nauo	wira1260	ABOVE		gaɖidja	g a ɖ i d j a	g a d i d y a	K V T V T J V	K A T I T J A	ABOVE:22	22	gadidya	63	ABOVE:13	28
131	Yan-nhangu	yann1237	ABOVE		gaɳgija	g a ɳ g i j a	g a n g i y a	K V N K V J V	K A N K I J A	ABOVE:1	1	gangiya	64	ABOVE:12	1
132	Yandruwandha	yand1253	ABOVE		t̪alka	t̪ a l k a	t a l k a	T V R K V	T A L K A	ABOVE:28	28	talka	65	ABOVE:11	11
133	Yandruwandha	yand1253	ABOVE		kanra	k a n r a	k a n r a	K V N R V	K A N R A	ABOVE:28	28	kanra	66	ABOVE:10	7
136	Yawarawarga	yawa1258	ABOVE		datca	d a t c a	d a t T a	T V T K V	T A T C A	ABOVE:39	39	datTa	67	ABOVE:9	11
138	Yindjibarndi	yind1247	ABOVE		kankaɭa	k a n k a ɭ a	k a n k a L a	K V N K V R V	K A N K A L A	ABOVE:34	34	kankaLa	68	ABOVE:1	1
139	Yorta Yorta	yort1237	ABOVE		pukut	p u k u t	p u k u t	P V K V T	P Y K Y T	ABOVE:14	14	pukut	69	ABOVE:8	29
141	Yulparitja	yulp1238	ABOVE		kankaɳiŋuɹu	k a n k a ɳ i ŋ u ɹ u	k a n k a n i N u r u	K V N K V N V N V R V	K A N K A N I N Y R Y	ABOVE:34	34	kankaniNuru	70	ABOVE:7	1
142	Yuwaalaraay	yuwa1242	ABOVE		ŋaribaːgili	ŋ a r i b aː g i l i	N a r i b a g i l i	N V R V P V K V R V	N A R I P A K I L I	ABOVE:26	26	Naribagili	71	ABOVE:6	5
257	Adnyamathanha	adny1235	ALL		wapu	w a p u	w a p u	W V P V	W A P Y	ALL:133	133	wapu	72	ALL:51	40
258	Alyawarr	alya1239	ALL		eŋker	e ŋ k e r	e N k e r	V N K V R	E N K E R	ALL:150	150	eNker	73	ALL:50	34
259	Arabana	arab1267	ALL		pɹatcanta	p ɹ a t c a n t a	p r a t T a n t a	P R V T K V N T V	P R A T C A N T A	ALL:128	128	pratTanta	74	ALL:17	60
267	Dhangu	dhan1270	ALL		warpamʔ	w a r p a m ʔ	w a r p a m 7	W V R P V M H	W A R P A M H	ALL:121	121	warpam7	75	ALL:1	36
268	Dhuwal	dhuw1249	ALL		warpamʔ	w a r p a m ʔ	w a r p a m 7	W V R P V M H	W A R P A M H	ALL:121	121	warpam7	76	ALL:1	36
270	Dieri	dier1241	ALL		parcaɳa	p a r c a ɳ a	p a r T a n a	P V R K V N V	P A R C A N A	ALL:128	128	parTana	77	ALL:11	31
271	Dyaabugay	dyaa1242	ALL		ɲiŋajcada	ɲ i ŋ a j c a d a	H i N a y T a d a	N V N V J K V T V	N I N A J C A T A	ALL:149	149	NiNayTada	78	ALL:48	64
272	Djambarrpuyngu	djam1256	ALL		bukmak	b u k m a k	b u k m a k	P V K M V K	P Y K M A K	ALL:125	125	bukmak	79	ALL:7	42
277	Gamilaraay	gami1243	ALL		ganu	g a n u	g a n u	K V N V	K A N Y	ALL:131	131	ganu	80	ALL:10	33
284	Gupapuyngu	gupa1247	ALL		warpamʔ	w a r p a m ʔ	w a r p a m 7	W V R P V M H	W A R P A M H	ALL:121	121	warpam7	81	ALL:1	36
285	Gurindji	guri1247	ALL		purpːaɳi	p u r pː a ɳ i	p u r p a n i	P V R P V N V	P Y R P A N I	ALL:129	129	purpani	82	ALL:16	44
287	Guyani	guya1249	ALL		kuɹu	k u ɹ u	k u r u	K V R V	K Y R Y	ALL:133	133	kuru	83	ALL:44	46
288	Jaru	jaru1254	ALL		waɲcuwuracara	w a ɲ c u w u r a c a r a	w a H T u w u r a T a r a	W V N K V W V R V K V R V	W A N C Y W Y R A C A R A	ALL:137	137	waNTuwuraTara	84	ALL:15	47
289	Djiwarli	djiw1241	ALL		ɖan	ɖ a n	d a n	T V N	T A N	ALL:153	153	dan	85	ALL:43	63
290	Gamilaraay	gami1243	ALL		guno	g u n o	g u n o	K V N V	K Y N U	ALL:131	131	guno	86	ALL:46	33
291	Karadjeri	kara1476	ALL		wakac	w a k a c	w a k a T	W V K V K	W A K A C	ALL:165	165	wakaT	87	ALL:42	48
294	Kartujarra	kart1247	ALL		jaɳŋala	j a ɳ ŋ a l a	y a n N a l a	J V N N V R V	J A N N A L A	ALL:1	1	yanNala	88	ALL:9	38
295	Kaurna	kaur1267	ALL		paʈanːa	p a ʈ a nː a	p a t a n a	P V T V N V	P A T A N A	ALL:128	128	patana	89	ALL:41	31
296	Kukatja	kuka1246	ALL		laltu	l a l t u	l a l t u	R V R T V	L A L T Y	ALL:120	120	laltu	90	ALL:5	39
297	Kuku-Yalanji	kuku1273	ALL		wubul	w u b u l	w u b u l	W V P V R	W Y P Y L	ALL:155	155	wubul	91	ALL:40	40
301	Gurdjar	gurd1238	ALL		βaːr	β aː r	b a r	P V R	B A R	ALL:162	162	bar	92	ALL:14	32
302	Kuuku-Ya'u	kuuk1238	ALL		mukamukan	m u k a m u k a n	m u k a m u k a n	M V K V M V K V N	M Y K A M Y K A N	ALL:122	122	mukamukan	93	ALL:21	49
303	Kala Lagaw Ya	kala1377	ALL		muɹa	m u ɹ a	m u r a	M V R V	M Y R A	ALL:123	123	mura	94	ALL:13	41
306	Margany	marg1253	ALL		biriɲ	b i r i ɲ	b i r i H	P V R V N	P I R I N	ALL:151	151	biriN	95	ALL:20	51
307	Martu Wangka	mart1256	ALL		jaɳŋa	j a ɳ ŋ a	y a n N a	J V N N V	J A N N A	ALL:146	146	yanNa	96	ALL:9	38
311	Mudburra	mudb1240	ALL		kuwaɲca	k u w a ɲ c a	k u w a H T a	K V W V N K V	K Y W A N C A	ALL:134	134	kuwaNTa	97	ALL:38	34
313	Muruwari	muru1266	ALL		kurukuru	k u r u k u r u	k u r u k u r u	K V R V K V R V	K Y R Y K Y R Y	ALL:133	133	kurukuru	98	ALL:4	43
315	Ngaanyatjarra	ngaa1240	ALL		piɳiɲaʈu	p i ɳ i ɲ a ʈ u	p i n i H a t u	P V N V N V T V	P I N I N A T Y	ALL:118	118	piniNatu	99	ALL:12	31
316	Lower Riverland	lowe1402	ALL		m_upːo	m u pː o	m u p o	M V P V	M Y P U	ALL:157	157	mupo	100	ALL:19	50
317	Ngamini	ngam1284	ALL		parcana	p a r c a n a	p a r T a n a	P V R K V N V	P A R C A N A	ALL:128	128	parTana	101	ALL:11	44
319	Ngarluma	ngar1287	ALL		cuɭu	c u ɭ u	T u L u	K V R V	C Y L Y	ALL:168	168	TuLu	102	ALL:3	37
320	Narrinyeri	narr1259	ALL		tulda	t u l d a	t u l d a	T V R T V	T Y L T A	ALL:140	140	tulda	103	ALL:37	52
323	Northern Coastal Nyangumarta	nort2754	ALL		wir	w i r	w i r	W V R	W I R	ALL:167	167	wir	104	ALL:2	32
324	Nyamal	nyam1271	ALL		wiːr	w iː r	w i r	W V R	W I R	ALL:1	1	wir	105	ALL:2	32
325	Nyangumarta	nyan1301	ALL		wir	w i r	w i r	W V R	W I R	ALL:167	167	wir	106	ALL:2	32
326	Nyunga	nyun1247	ALL		bunduŋ	b u n d u ŋ	b u n d u N	P V N T V N	P Y N T Y N	ALL:1	1	bunduN	107	ALL:36	31
327	Paakantyi	darl1243	ALL		gudaguda	g u d a g u d a	g u d a g u d a	K V T V K V T V	K Y T A K Y T A	ALL:126	126	gudaguda	108	ALL:18	53
328	Panytyima	pany1241	ALL		cuɭu	c u ɭ u	T u L u	K V R V	C Y L Y	ALL:168	168	TuLu	109	ALL:3	37
329	Banggarla	bang1339	ALL		padlujunu	p a d l u j u n u	p a d l u y u n u	P V T R V J V N V	P A T L Y J Y N Y	ALL:135	135	padluyunu	110	ALL:35	61
330	Bayungu	bayu1240	ALL		wurajimpa	w u r a j i m p a	w u r a y i m p a	W V R V J V M P V	W Y R A J I M P A	ALL:1	1	wurayimpa	111	ALL:34	45
332	Pitjantjatjara	pitj1243	ALL		uwankaɹa	u w a n k a ɹ a	u w a n k a r a	V W V N K V R V	Y W A N K A R A	ALL:119	119	uwankara	112	ALL:33	34
333	Pitjantjatjara	pitj1243	ALL		winki	w i n k i	w i n k i	W V N K V	W I N K I	ALL:119	119	winki	113	ALL:32	34
335	Ritarungo	rita1239	ALL		warpamʔ	w a r p a m ʔ	w a r p a m 7	W V R P V M H	W A R P A M H	ALL:121	121	warpam7	114	ALL:1	36
338	Wagaya	waga1260	ALL		mukeɭ	m u k e ɭ	m u k e L	M V K V R	M Y K E L	ALL:148	148	mukeL	115	ALL:31	35
345	Ngura	ngur1261	ALL		maru	m a r u	m a r u	M V R V	M A R Y	ALL:130	130	maru	116	ALL:30	41
349	Warlpiri	warl1254	ALL		muku	m u k u	m u k u	M V K V	M Y K Y	ALL:122	122	muku	117	ALL:8	35
350	Warumungu	waru1265	ALL		mukːu	m u kː u	m u k u	M V K V	M Y K Y	ALL:122	122	muku	118	ALL:8	35
353	Wik-Mungkan	wikm1247	ALL		maˀmaŋkam	m a ˀm a ŋ k a m	m a m a N k a m	M V M V N K V M	M A M A N K A M	ALL:156	156	mamaNkam	119	ALL:29	54
354	Wiradhuri	wira1262	ALL		bijaŋgalaŋ	b i j a ŋ g a l a ŋ	b i y a N g a l a N	P V J V N K V R V N	P I J A N K A L A N	ALL:147	147	biyaNgalaN	120	ALL:28	55
355	Wirangu-Nauo	wira1260	ALL		jabu	j a b u	y a b u	J V P V	J A P Y	ALL:138	138	yabu	121	ALL:27	56
357	Yan-nhangu	yann1237	ALL		bukmak	b u k m a k	b u k m a k	P V K M V K	P Y K M A K	ALL:125	125	bukmak	122	ALL:7	42
358	Yandruwandha	yand1253	ALL		malka	m a l k a	m a l k a	M V R K V	M A L K A	ALL:139	139	malka	123	ALL:26	35
359	Yandruwandha	yand1253	ALL		pani	p a n i	p a n i	P V N V	P A N I	ALL:139	139	pani	124	ALL:25	31
360	Yandruwandha	yand1253	ALL		panina	p a n i n a	p a n i n a	P V N V N V	P A N I N A	ALL:139	139	panina	125	ALL:6	31
363	Yawarawarga	yawa1258	ALL		panina	p a n i n a	p a n i n a	P V N V N V	P A N I N A	ALL:152	152	panina	126	ALL:6	31
364	Yindjibarndi	yind1247	ALL		culu	c u l u	T u l u	K V R V	C Y L Y	ALL:168	168	Tulu	127	ALL:3	37
365	Yorta Yorta	yort1237	ALL		wuta	w u t a	w u t a	W V T V	W Y T A	ALL:160	160	wuta	128	ALL:24	32
367	Yulparitja	yulp1238	ALL		laltu	l a l t u	l a l t u	R V R T V	L A L T Y	ALL:120	120	laltu	129	ALL:5	39
368	Yuwaalaraay	yuwa1242	ALL		ganu	g a n u	g a n u	K V N V	K A N Y	ALL:131	131	ganu	130	ALL:10	33
369	Yuwaalaraay	yuwa1242	ALL		ganuŋawu	g a n u ŋ a w u	g a n u N a w u	K V N V N V W V	K A N Y N A W Y	ALL:131	131	ganuNawu	131	ALL:23	33
370	Yuwaalaraay	yuwa1242	ALL		guruguru	g u r u g u r u	g u r u g u r u	K V R V K V R V	K Y R Y K Y R Y	ALL:131	131	guruguru	132	ALL:4	43
371	Yuwaalaraay	yuwa1242	ALL		aːbali	aː b a l i	a b a l i	V P V R V	A P A L I	ALL:131	131	abali	133	ALL:22	59
261	Yugambeh-Bandjalang	band1339	ALL		gumbih	g u m b i h	g u m b i h	K V M P V H	K Y M P I H	ALL:1	1	gumbih	134	ALL:49	57
274	Djinang	djin1253	ALL		ŋajama	ŋ a j a m a	N a y a m a	N V J V M V	N A J A M A	ALL:124	124	Nayama	135	ALL:47	62
280	Kumbainggar	kumb1268	ALL		biːn	b iː n	b i n	P V N	P I N	ALL:118	118	bin	136	ALL:45	31
300	Gurdjar	gurd1238	ALL		wok	w o k	w o k	W V K	W U K	ALL:162	162	wok	137	ALL:39	58
372	Adnyamathanha	adny1235	AND		adni	a d n i	a d n i	V T N V	A T N I	AND:202	202	adni	138	AND:42	75
373	Arabana	arab1267	AND		ncuɖu	n c u ɖ u	n T u d u	N K V T V	N C Y T Y	AND:204	204	nTudu	139	AND:10	76
375	Yugambeh-Bandjalang	band1339	AND		ŋula	ŋ u l a	N u l a	N V R V	N Y L A	AND:220	220	Nula	140	AND:36	91
377	Dhangu	dhan1270	AND		ga	g a	g a	K V	K A	AND:223	223	ga	141	AND:2	65
380	Dhuwal	dhuw1249	AND		ga	g a	g a	K V	K A	AND:223	223	ga	142	AND:2	65
382	Dieri	dier1241	AND		ja	j a	y a	J V	J A	AND:225	225	ya	143	AND:5	70
383	Dyaabugay	dyaa1242	AND		cata	c a t a	T a t a	K V T V	C A T A	AND:181	181	Tata	144	AND:35	97
384	Djambarrpuyngu	djam1256	AND		ga	g a	g a	K V	K A	AND:223	223	ga	145	AND:2	65
386	Djinang	djin1253	AND		a	a	a	V	A	AND:224	224	a	146	AND:41	82
389	Gamilaraay	gami1243	AND		jilːibu	j i lː i b u	y i l i b u	J V R V P V	J I L I P Y	AND:1	1	yilibu	147	AND:34	73
391	Kumbainggar	kumb1268	AND		garaː	g a r aː	g a r a	K V R V	K A R A	AND:198	198	gara	148	AND:11	65
392	Kumbainggar	kumb1268	AND		waw	w a w	w a w	W V W	W A W	AND:198	198	waw	149	AND:33	94
393	Kumbainggar	kumb1268	AND		jurga	j u r g a	y u r g a	J V R K V	J Y R K A	AND:198	198	yurga	150	AND:32	96
397	Gupapuyngu	gupa1247	AND		ga	g a	g a	K V	K A	AND:223	223	ga	151	AND:2	65
398	Gurindji	guri1247	AND		purpur	p u r p u r	p u r p u r	P V R P V R	P Y R P Y R	AND:185	185	purpur	152	AND:39	83
400	Guyani	guya1249	AND		cudɹu	c u d ɹ u	T u d r u	K V T R V	C Y T R Y	AND:213	213	Tudru	153	AND:10	78
401	Guyani	guya1249	AND		puntuna	p u n t u n a	p u n t u n a	P V N T V N V	P Y N T Y N A	AND:213	213	puntuna	154	AND:31	93
402	Guyani	guya1249	AND		cunpanalu	c u n p a n a l u	T u n p a n a l u	K V N P V N V R V	C Y N P A N A L Y	AND:213	213	Tunpanalu	155	AND:38	95
403	Djiwarli	djiw1241	AND		cibi	c i b i	T i b i	K V P V	C I P I	AND:195	195	Tibi	156	AND:4	68
404	Kalkutung	kalk1246	AND		jana	j a n a	y a n a	J V N V	J A N A	AND:193	193	yana	157	AND:30	69
405	Gamilaraay	gami1243	AND		jilːibu	j i lː i b u	y i l i b u	J V R V P V	J I L I P Y	AND:212	212	yilibu	158	AND:40	73
406	Karadjeri	kara1476	AND		pa	p a	p a	P V	P A	AND:211	211	pa	159	AND:1	66
409	Kartujarra	kart1247	AND		wituka	w i t u k a	w i t u k a	W V T V K V	W I T Y K A	AND:218	218	wituka	160	AND:29	80
411	Kaurna	kaur1267	AND		kuma	k u m a	k u m a	K V M V	K Y M A	AND:201	201	kuma	161	AND:37	67
413	Kukatja	kuka1246	AND		kamu	k a m u	k a m u	K V M V	K A M Y	AND:189	189	kamu	162	AND:3	67
414	Kuku-Yalanji	kuku1273	AND		ŋara	ŋ a r a	N a r a	N V R V	N A R A	AND:191	191	Nara	163	AND:11	71
416	Gurdjar	gurd1238	AND		ar	a r	a r	V R	A R	AND:191	191	ar	164	AND:28	77
417	Kuuku-Ya'u	kuuk1238	AND		kuji	k u j i	k u y i	K V J V	K Y J I	AND:180	180	kuyi	165	AND:14	84
418	Kala Lagaw Ya	kala1377	AND		a	a	a	V	A	AND:224	224	a	166	AND:27	79
420	Martu Wangka	mart1256	AND		ka	k a	k a	K V	K A	AND:223	223	ka	167	AND:7	65
421	Martu Wangka	mart1256	AND		kaː	k aː	k a	K V	K A	AND:223	223	ka	168	AND:7	65
425	Muruwari	muru1266	AND		t̪aka	t̪ a k a	t a k a	T V K V	T A K A	AND:207	207	taka	169	AND:26	85
426	Ngaanyatjarra	ngaa1240	AND		ka	k a	k a	K V	K A	AND:223	223	ka	170	AND:7	65
428	Lower Riverland	lowe1402	AND		meːto	m eː t o	m e t o	M V T V	M E T U	AND:200	200	meto	171	AND:13	74
429	Lower Riverland	lowe1402	AND		metko	m e t k o	m e t k o	M V T K V	M E T K U	AND:200	200	metko	172	AND:12	74
430	Ngamini	ngam1284	AND		ja	j a	y a	J V	J A	AND:225	225	ya	173	AND:5	70
431	Narrinyeri	narr1259	AND		uŋenaŋ	u ŋ e n a ŋ	u N e n a N	V N V N V N	Y N E N A N	AND:187	187	uNenaN	174	AND:25	86
