ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	ASJP1	id	svmCC	lpCC
9895	ELFDALIAN	qov	all		olː	o lː	o l	V R	U L	all:A	3	ol	73	all:6	11
9896	DANISH	dan	all		ˈalə	ˈa l ə	a l I	V R V	A L E	all:A	3	al3	74	all:1	11
9897	DANISH_FJOLDE		all		ɔlʲ	ɔ lʲ	o l	V R	U L	all:A	3	ol	75	all:6	11
9898	GUTNISH_LAU		all		alːɛ	a lː ɛ	a l E	V R V	A L E	all:A	3	alE	76	all:1	11
9899	ENGLISH	eng	all		ɔ:l	ɔ: l	o l	V R	U L	all:A	3	ol	77	all:6	11
9901	DUTCH	nld	all		ɑlə	ɑ l ə	o l I	V R V	A L E	all:A	3	ol3	78	all:1	11
9902	GERMAN	deu	all		alə	a l ə	a l I	V R V	A L E	all:A	3	al3	79	all:1	11
9903	LATIN	lat	all		ˈtoːtus	ˈt oː t u s	t o t u s	T V T V S	T U T Y S	all:C	4	totus	80	all:3	13
9904	LATIN	lat	all		ˈomnis	ˈo m n i s	o m n i s	V M N V S	U M N I S	all:M	10	omnis	81	all:9	19
9905	CATALAN	cat	all		tot	t o t	t o t	T V T	T U T	all:C	4	tot	82	all:3	13
9906	PORTUGUESE	por	all		ˈtoðu	ˈt o ð u	t o 8 u	T V T V	T U D Y	all:C	4	to8u	83	all:3	13
9907	SPANISH	spa	all		toðo	t o ð o	t o 8 o	T V T V	T U D U	all:C	4	to8o	84	all:3	13
9908	FRENCH	fra	all		tu	t u	t u	T V	T Y	all:C	4	tu	85	all:3	13
9909	ITALIAN	ita	all		tutto	t u tt o	t u t o	T V T V	T Y T U	all:C	4	tuto	86	all:3	13
9910	OLD_IRISH	sga	all		ulʹe	u lʹ e	u l e	V R V	Y L E	all:G	6	ule	87	all:1	11
8396	ANCIENT_GREEK	grc	and		kái̯	k ái̯	k a	K V	K A	and:J	17	ka	88	and:8	35
8397	ANCIENT_GREEK	grc	and		te	t e	t e	T V	T E	and:O	19	te	89	and:6	29
8398	GREEK	ell	and		ce̞	c e̞	T e	K V	C E	and:J	17	Te	90	and:6	34
8402	OSSETIC_IRON	oss	and		ɐmɐ	ɐ m ɐ	a m a	V M V	E M E	and:Q	20	ama	91	and:4	26
8403	OSSETIC_DIGOR	oss	and		ɐma	ɐ m a	a m a	V M V	E M A	and:Q	20	ama	92	and:4	26
8404	ORIYA	ori	and		o	o	o	V	U	and:A	11	o	93	and:2	31
8405	BIHARI	mai	and		aur	au r	a r	V R	A R	and:A	11	ar	94	and:5	28
8407	URDU	urd	and		ʔɔɾ	ʔ ɔ ɾ	7 o r	H V R	H U R	and:A	11	7or	95	and:5	30
8408	MARATHI	mar	and		ani	a n i	a n i	V N V	A N I	and:K	18	ani	96	and:9	33
8409	OLD_CHURCH_SLAVONIC	chu	and		i	i	i	V	I	and:H	15	i	97	and:1	21
8410	SERBO-CROATIAN	srp	and		i	i	i	V	I	and:H	15	i	98	and:1	21
8411	BULGARIAN	bul	and		i	i	i	V	I	and:H	15	i	99	and:1	21
8412	MACEDONIAN	mkd	and		i	i	i	V	I	and:H	15	i	100	and:1	21
8413	RUSSIAN	rus	and		i	i	i	V	I	and:H	15	i	101	and:1	21
8414	POLISH	pol	and		i	i	i	V	I	and:H	15	i	102	and:1	21
8415	BELARUSIAN	bel	and		i	i	i	V	I	and:H	15	i	103	and:1	21
8416	UKRAINIAN	ukr	and		i	i	i	V	I	and:H	15	i	104	and:1	21
8417	SLOVAK	slk	and		a	a	a	V	A	and:W	21	a	105	and:3	24
8418	CZECH	ces	and		a	a	a	V	A	and:W	21	a	106	and:3	24
8419	SORBIAN_UPPER	hsb	and		a	a	a	V	A	and:W	21	a	107	and:3	24
8420	SORBIAN_LOWER	dsb	and		a	a	a	V	A	and:W	21	a	108	and:3	24
8421	SLOVENIAN	slv	and		in	i n	i n	V N	I N	and:H	15	in	109	and:1	21
8422	OLD_NORSE	non	and		ɔk	ɔ k	o k	V K	U K	and:I	16	ok	110	and:2	22
8423	ICELANDIC	isl	and		ɔːɣ	ɔː ɣ	o x	V K	U G	and:I	16	ox	111	and:2	22
8424	FAROESE	fao	and		oː	oː	o	V	U	and:I	16	o	112	and:2	23
8425	NORWEGIAN_RIKSMAL	nor	and		ɔːɡ	ɔː ɡ	o g	V K	U K	and:I	16	og	113	and:2	22
8426	STAVANGERSK		and		oː	oː	o	V	U	and:I	16	o	114	and:2	23
8427	OLD_SWEDISH		and		ok	o k	o k	V K	U K	and:I	16	ok	115	and:2	22
8428	SWEDISH	swe	and		ɔkː	ɔ kː	o k	V K	U K	and:I	16	ok	116	and:2	22
8429	ELFDALIAN	qov	and		oːg	oː g	o g	V K	U K	and:I	16	og	117	and:2	22
8430	DANISH	dan	and		ɒw	ɒ w	o w	V W	O W	and:I	16	ow	118	and:2	27
8431	DANISH_FJOLDE		and		ɑ	ɑ	o	V	A	and:I	16	o	119	and:2	23
8432	GUTNISH_LAU		and		u	u	u	V	Y	and:I	16	u	120	and:2	23
8433	ENGLISH	eng	and		ænd	æ n d	E n d	V N T	E N T	and:B	12	End	121	and:7	25
8435	DUTCH	nld	and		ɛn	ɛ n	E n	V N	E N	and:B	12	En	122	and:7	25
8436	GERMAN	deu	and		ʊnt	ʊ n t	u n t	V N T	Y N T	and:B	12	unt	123	and:7	25
8437	LATIN	lat	and		et	e t	e t	V T	E T	and:F	13	et	124	and:1	25
8438	CATALAN	cat	and		i	i	i	V	I	and:F	13	i	125	and:1	23
8439	PORTUGUESE	por	and		i	i	i	V	I	and:F	13	i	126	and:1	23
8440	SPANISH	spa	and		i	i	i	V	I	and:F	13	i	127	and:1	23
8441	FRENCH	fra	and		e	e	e	V	E	and:F	13	e	128	and:1	21
8442	ITALIAN	ita	and		e	e	e	V	E	and:F	13	e	129	and:1	21
8443	OLD_IRISH	sga	and		ogus	o g u s	o g u s	V K V S	U K Y S	and:G	14	ogus	130	and:10	32
1893	ANCIENT_GREEK	grc	animal		tʰɛ́ːr	tʰ ɛ́ː r	t E r	T V R	T E R	animal:H	27	tEr	131	animal:16	36
1894	ANCIENT_GREEK	grc	animal		zdɔ̑ːjon	z d ɔ̑ː j o n	z d o y o n	S T V J V N	S T U J U N	animal:G	26	zdoyon	132	animal:20	44
1895	GREEK	ell	animal		ˈzo̞ˌo̞	ˈz o̞ ˌo̞	z o o	S V V	S U U	animal:G	26	zoo	133	animal:19	48
1898	OSSETIC_IRON	oss	animal		sɐrɐgoj	s ɐ r ɐ g o j	s a r a g o y	S V R V K V J	S E R E K U J	animal:E	24	saragoy	134	animal:7	41
1899	OSSETIC_DIGOR	oss	animal		cɐrɐgoj	c ɐ r ɐ g o j	T a r a g o y	K V R V K V J	C E R E K U J	animal:E	24	Taragoy	135	animal:7	41
1902	ORIYA	ori	animal		praɳi	p r a ɳ i	p r a n i	P R V N V	P R A N I	animal:F	25	prani	136	animal:18	45
1903	ORIYA	ori	animal		pɔsu	p ɔ s u	p o s u	P V S V	P U S Y	animal:K	29	posu	137	animal:8	43
1904	ORIYA	ori	animal		ǰɔntu	ǰ ɔ n t u	j o n t u	K V N T V	C U N T Y	animal:D	23	jontu	138	animal:17	42
1905	BIHARI	mai	animal		janbər	j a n b ə r	y a n b I r	J V N P V R	J A N P E R	animal:D	23	yanb3r	139	animal:6	49
1907	URDU	urd	animal		ʤɑnwəɾ	ʤ ɑ n w ə ɾ	j o n w I r	K V N W V R	C A N W E R	animal:D	23	jonw3r	140	animal:6	40
1908	MARATHI	mar	animal		dzənawəɾ	d z ə n a w ə ɾ	d z I n a w I r	T S V N V W V R	T S E N A W E R	animal:D	23	dz3naw3r	141	animal:6	40
1909	OLD_CHURCH_SLAVONIC	chu	animal		zværɪ̆	z v æ r ɪ̆	z v E r i	S W V R V	S B E R I	animal:H	27	zvEri	142	animal:4	37
1910	OLD_CHURCH_SLAVONIC	chu	animal		ʒivɔtʊ̆	ʒ i v ɔ t ʊ̆	Z i v o t u	S V W V T V	S I B U T Y	animal:G	26	Zivotu	143	animal:1	39
1911	SERBO-CROATIAN	srp	animal		ʒiˈvɔ̌tiɲa	ʒ i ˈv ɔ̌ t i ɲ a	Z i v o t i H a	S V W V T V N V	S I B U T I N A	animal:G	26	ZivotiNa	144	animal:1	39
1912	BULGARIAN	bul	animal		ʒiˈvɔtnu	ʒ i ˈv ɔ t n u	Z i v o t n u	S V W V T N V	S I B U T N Y	animal:G	26	Zivotnu	145	animal:1	39
1913	MACEDONIAN	mkd	animal		ˈʒivɔtnɔ	ˈʒ i v ɔ t n ɔ	Z i v o t n o	S V W V T N V	S I B U T N U	animal:G	26	Zivotno	146	animal:1	39
1914	RUSSIAN	rus	animal		ʐɨvɔtnɔjɛ	ʐ ɨ v ɔ t n ɔ j ɛ	Z I v o t n o y E	S V W V T N V J V	S I B U T N U J E	animal:G	26	Z3votnoyE	147	animal:1	39
1915	POLISH	pol	animal		ˈzvjɛʐɛɰ̃	ˈz v j ɛ ʐ ɛ ɰ̃	z v y E Z E w	S W J V S V J	S B J E S E J	animal:H	27	zvyEZEw	148	animal:4	37
1916	BELARUSIAN	bel	animal		ʐɨˈvʲɔɫa	ʐ ɨ ˈvʲ ɔ ɫ a	Z I v o l a	S V W V R V	S I B U L A	animal:G	26	Z3vola	149	animal:1	39
1917	UKRAINIAN	ukr	animal		tʋaˈrɪna	t ʋ a ˈr ɪ n a	t w a r i n a	T W V R V N V	T W A R I N A	animal:T	31	twarina	150	animal:15	37
1918	SLOVAK	slk	animal		ˈzviera	ˈz v ie r a	z v i r a	S W V R V	S B I R A	animal:H	27	zvira	151	animal:4	37
1919	CZECH	ces	animal		ˈzviːr̝ɛ	ˈz v iː r̝ ɛ	z v i r E	S W V R V	S B I R E	animal:H	27	zvirE	152	animal:4	37
1920	SORBIAN_UPPER	hsb	animal		ˈzwɪʀʲɔ	ˈz w ɪ ʀʲ ɔ	z w i r o	S W V R V	S W I R U	animal:H	27	zwiro	153	animal:4	37
1921	SORBIAN_LOWER	dsb	animal		ˈzwɪrʲɛ	ˈz w ɪ rʲ ɛ	z w i r E	S W V R V	S W I R E	animal:H	27	zwirE	154	animal:4	37
1922	SLOVENIAN	slv	animal		ʒiˈvǎːw	ʒ i ˈv ǎː w	Z i v a w	S V W V W	S I B A W	animal:G	26	Zivaw	155	animal:1	39
1923	OLD_NORSE	non	animal		dyːr	d yː r	d i r	T V R	T Y R	animal:A	22	dir	156	animal:2	36
1924	ICELANDIC	isl	animal		d̥iːr	d̥ iː r	d i r	T V R	T I R	animal:A	22	dir	157	animal:2	36
1925	FAROESE	fao	animal		d̥ʊiːɹ	d̥ ʊiː ɹ	d u r	T V R	T Y R	animal:A	22	dur	158	animal:2	36
1926	FAROESE	fao	animal		d̥ʒɔuːɹ	d̥ ʒ ɔuː ɹ	d Z o r	T S V R	T S U R	animal:A	22	dZor	159	animal:5	36
1927	NORWEGIAN_RIKSMAL	nor	animal		dyːɾ	d yː ɾ	d i r	T V R	T Y R	animal:A	22	dir	160	animal:2	36
1928	STAVANGERSK		animal		dyːʁ	d yː ʁ	d i G	T V R	T Y R	animal:A	22	diG	161	animal:2	36
1929	OLD_SWEDISH		animal		diuːr	d iuː r	d i r	T V R	T I R	animal:A	22	dir	162	animal:2	36
1930	SWEDISH	swe	animal		jʉːr	j ʉː r	y I r	J V R	J Y R	animal:A	22	y3r	163	animal:5	36
1931	ELFDALIAN	qov	animal		krỳtyːr	k r y t yː r	k r i t i r	K R V T V R	K R Y T Y R	animal:P	30	kritir	164	animal:14	36
1932	ELFDALIAN	qov	animal		djʉər	d j ʉə r	d y I r	T J V R	T J Y R	animal:A	22	dy3r	165	animal:5	36
1933	DANISH	dan	animal		ˈd̥yɐ̯ˀ	ˈd̥ yɐ̯ˀ	d i	T V	T Y	animal:A	22	di	166	animal:13	36
1934	DANISH_FJOLDE		animal		deːɹd	d eː ɹ d	d e r d	T V R T	T E R T	animal:A	22	derd	167	animal:12	36
1935	GUTNISH_LAU		animal		djaur	d j au r	d y a r	T J V R	T J A R	animal:A	22	dyar	168	animal:5	36
1936	ENGLISH	eng	animal		ænɪməl	æ n ɪ m ə l	E n i m I l	V N V M V R	E N I M E L	animal:F	25	Enim3l	169	animal:3	38
1938	DUTCH	nld	animal		dir	d i r	d i r	T V R	T I R	animal:A	22	dir	170	animal:2	36
1939	GERMAN	deu	animal		ti:ɐ̯	t i:ɐ̯	t i	T V	T I	animal:A	22	ti	171	animal:11	36
1940	LATIN	lat	animal		ˈbestia	ˈb e s t ia	b e s t i	P V S T V	P E S T I	animal:I	28	besti	172	animal:10	47
1941	LATIN	lat	animal		ˈanimal	ˈa n i m a l	a n i m a l	V N V M V R	A N I M A L	animal:F	25	animal	173	animal:3	38
1942	CATALAN	cat	animal		ənimal	ə n i m a l	I n i m a l	V N V M V R	E N I M A L	animal:F	25	3nimal	174	animal:3	38
1943	PORTUGUESE	por	animal		ɐniˈmaɫ	ɐ n i ˈm a ɫ	a n i m a l	V N V M V R	E N I M A L	animal:F	25	animal	175	animal:3	38
1944	SPANISH	spa	animal		animal	a n i m a l	a n i m a l	V N V M V R	A N I M A L	animal:F	25	animal	176	animal:3	38
1945	FRENCH	fra	animal		animal	a n i m a l	a n i m a l	V N V M V R	A N I M A L	animal:F	25	animal	177	animal:3	38
1946	ITALIAN	ita	animal		animale	a n i m a l e	a n i m a l e	V N V M V R V	A N I M A L E	animal:F	25	animale	178	animal:3	38
1947	OLD_IRISH	sga	animal		anṽande	a n ṽ a n d e	a n v a n d e	V N W V N T V	A N W A N T E	animal:F	25	anvande	179	animal:9	46
8219	ANCIENT_GREEK	grc	ant		mýrmɛːks	m y r m ɛː k s	m i r m E k s	M V R M V K S	M Y R M E K S	ant:B	33	mirmEks	180	ant:7	51
8220	GREEK	ell	ant		mirˈmiŋɟi	m i r ˈm i ŋ ɟ i	m i r m i N C i	M V R M V N K V	M I R M I N C I	ant:B	33	mirmiNCi	181	ant:6	51
8221	OLD_CHURCH_SLAVONIC	chu	ant		mrɑvɪ̆jɪ̆	m r ɑ v ɪ̆ j ɪ̆	m r o v i y i	M R V W V J V	M R A B I J I	ant:A	32	mroviyi	182	ant:4	50
8222	SERBO-CROATIAN	srp	ant		mrâːv	m r âː v	m r a v	M R V W	M R A B	ant:A	32	mrav	183	ant:1	50
8223	BULGARIAN	bul	ant		ˈmravka	ˈm r a v k a	m r a v k a	M R V W K V	M R A B K A	ant:A	32	mravka	184	ant:1	50
8224	MACEDONIAN	mkd	ant		ˈmravka	ˈm r a v k a	m r a v k a	M R V W K V	M R A B K A	ant:A	32	mravka	185	ant:1	50
8225	RUSSIAN	rus	ant		muraˈvʲɛj	m u r a ˈvʲ ɛ j	m u r a v E y	M V R V W V J	M Y R A B E J	ant:A	32	muravEy	186	ant:4	50
8226	POLISH	pol	ant		ˈmruvka	ˈm r u v k a	m r u v k a	M R V W K V	M R Y B K A	ant:A	32	mruvka	187	ant:1	50
8227	BELARUSIAN	bel	ant		muˈraʂka	m u ˈr a ʂ k a	m u r a S k a	M V R V S K V	M Y R A S K A	ant:A	32	muraSka	188	ant:3	50
8228	UKRAINIAN	ukr	ant		muˈraxa	m u ˈr a x a	m u r a x a	M V R V K V	M Y R A G A	ant:A	32	muraxa	189	ant:3	50
8229	SLOVAK	slk	ant		ˈmravɛts	ˈm r a v ɛ t s	m r a v E t s	M R V W V T S	M R A B E T S	ant:A	32	mravEts	190	ant:5	50
8230	CZECH	ces	ant		ˈmravɛnɛts	ˈm r a v ɛ n ɛ t s	m r a v E n E t s	M R V W V N V T S	M R A B E N E T S	ant:A	32	mravEnEts	191	ant:5	50
8231	SORBIAN_UPPER	hsb	ant		ˈmroja	ˈm r o j a	m r o y a	M R V J V	M R U J A	ant:A	32	mroya	192	ant:2	50
8232	SORBIAN_LOWER	dsb	ant		ˈmrɔja	ˈm r ɔ j a	m r o y a	M R V J V	M R U J A	ant:A	32	mroya	193	ant:2	50
8233	SLOVENIAN	slv	ant		mrǎːvlja	m r ǎː v l j a	m r a v l y a	M R V W R J V	M R A B L J A	ant:A	32	mravlya	194	ant:1	50
10624	ANCIENT_GREEK	grc	ashes		spódos	s p ó d o s	s p o d o s	S P V T V S	S P U T U S	ashes:B	35	spodos	195	ashes:20	65
10625	ANCIENT_GREEK	grc	ashes		tépʰraː	t é pʰ r aː	t e p r a	T V P R V	T E P R A	ashes:L	41	tepra	196	ashes:9	56
10626	ANCIENT_GREEK	grc	ashes		kóniːs	k ó n iː s	k o n i s	K V N V S	K U N I S	ashes:U	45	konis	197	ashes:5	57
10627	GREEK	ell	ashes		ˈte̞fra	ˈt e̞ f r a	t e f r a	T V P R V	T E B R A	ashes:L	41	tefra	198	ashes:9	56
10628	GREEK	ell	ashes		ˈstaxti	ˈs t a x t i	s t a x t i	S T V K T V	S T A G T I	ashes:H	39	staxti	199	ashes:12	64
10632	OSSETIC_IRON	oss	ashes		fɐnyk	f ɐ n y k	f a n i k	P V N V K	B E N Y K	ashes:P	44	fanik	200	ashes:8	59
10633	OSSETIC_DIGOR	oss	ashes		funuk	f u n u k	f u n u k	P V N V K	B Y N Y K	ashes:P	44	funuk	201	ashes:8	59
10635	ORIYA	ori	ashes		bhɔsmoɔ	b h ɔ s m oɔ	b h o s m o	P H V S M V	P H U S M U	ashes:N	43	bhosmo	202	ashes:7	58
10636	ORIYA	ori	ashes		pãũsɔ	p ãũ s ɔ	p a s o	P V S V	P A S U	ashes:W	46	paso	203	ashes:11	54
10637	BIHARI	mai	ashes		chaur	c h au r	T h a r	K H V R	C H A R	ashes:M	42	Thar	204	ashes:10	66
10639	URDU	urd	ashes		ɾɑkʰ	ɾ ɑ kʰ	r o k	R V K	R A K	ashes:I	40	rok	205	ashes:6	60
10640	MARATHI	mar	ashes		ɾakʰ	ɾ a kʰ	r a k	R V K	R A K	ashes:I	40	rak	206	ashes:6	60
10641	MARATHI	mar	ashes		bʱəsmə	bʱ ə s m ə	b I s m I	P V S M V	P E S M E	ashes:N	43	b3sm3	207	ashes:7	58
10642	OLD_CHURCH_SLAVONIC	chu	ashes		pɔpɛlʊ̆	p ɔ p ɛ l ʊ̆	p o p E l u	P V P V R V	P U P E L Y	ashes:G	38	popElu	208	ashes:1	53
10643	SERBO-CROATIAN	srp	ashes		ˈpɛ̂pɛɔ	ˈp ɛ̂ p ɛ ɔ	p E p E o	P V P V V	P E P E U	ashes:G	38	pEpEo	209	ashes:1	53
10644	BULGARIAN	bul	ashes		ˈpɛpɘɫ	ˈp ɛ p ɘ ɫ	p E p I l	P V P V R	P E P E L	ashes:G	38	pEp3l	210	ashes:1	53
10645	MACEDONIAN	mkd	ashes		ˈpepɛl	ˈp e p ɛ l	p e p E l	P V P V R	P E P E L	ashes:G	38	pepEl	211	ashes:1	53
